x,z
140.6882,-217.1469
140.3260,-216.9277
139.1414,-216.2105
137.6659,-215.3171
136.1001,-214.3691
134.5068,-213.4044
132.9146,-212.4404
131.3481,-211.4920
129.8454,-210.5822
128.4853,-209.7587
127.4635,-209.1401
122.2164,-205.9616
121.4265,-205.4827
120.1848,-204.7301
118.7522,-203.8618
117.2432,-202.9471
115.7102,-202.0179
114.1877,-201.0950
112.7139,-200.2017
111.3543,-199.3776
110.2467,-198.7063
109.6401,-198.3386
103.7761,-194.7844
102.7456,-194.1599
101.4313,-193.3633
99.9918,-192.4909
98.5014,-191.5877
97.0050,-190.6808
95.5424,-189.7943
94.1700,-188.9625
92.9958,-188.2509
92.2211,-187.7814
86.1888,-184.1252
85.3414,-183.6114
84.1335,-182.8793
82.7519,-182.0418
81.2939,-181.1580
79.8143,-180.2611
78.3524,-179.3749
76.9570,-178.5290
75.7131,-177.7750
74.7783,-177.2083
74.3646,-176.9576
74.4858,-177.0310
74.8800,-177.2700
75.3323,-177.5442
75.7584,-177.8025
76.1367,-178.0318
60.5610,-168.5905
58.9474,-167.6125
57.3194,-166.6257
55.6830,-165.6338
54.0422,-164.6392
52.4019,-163.6449
50.7651,-162.6528
49.1364,-161.6656
47.5214,-160.6867
45.9285,-159.7212
44.3720,-158.7777
42.8762,-157.8711
41.4892,-157.0303
40.3078,-156.3142
39.5112,-155.8314
32.3972,-151.5203
31.7010,-151.0984
30.5777,-150.4179
29.2217,-149.5963
27.7452,-148.7018
26.2009,-147.7661
24.6167,-146.8063
23.0095,-145.8326
21.3878,-144.8501
19.7585,-143.8629
18.1255,-142.8736
16.4937,-141.8849
14.8668,-140.8992
13.2497,-139.9195
11.6493,-138.9499
10.0762,-137.9968
8.5461,-137.0698
7.0895,-136.1873
5.7640,-135.3842
4.6813,-134.7282
4.0240,-134.3300
-3.4213,-129.8204
-4.2061,-129.3451
-5.3635,-128.6442
-6.7268,-127.8187
-8.2019,-126.9255
-9.7396,-125.9943
-11.3156,-125.0399
-12.9144,-124.0718
-14.5269,-123.0954
-16.1461,-122.1148
-17.7680,-121.1327
-19.3873,-120.1521
-20.9998,-119.1757
-22.5984,-118.2077
-24.1756,-117.2526
-25.7193,-116.3178
-27.2089,-115.4157
-28.6083,-114.5683
-29.8519,-113.8152
-30.8235,-113.2269
-31.3612,-112.9013
-39.4696,-107.9914
-40.2810,-107.5000
-41.4260,-106.8067
-42.7655,-105.9956
-44.2158,-105.1174
-45.7310,-104.1999
-47.2856,-103.2585
-48.8641,-102.3027
-50.4567,-101.3383
-52.0568,-100.3694
-53.6570,-99.4004
-55.2531,-98.4340
-56.8391,-97.4736
-58.4073,-96.5240
-59.9473,-95.5914
-61.4441,-94.6851
-62.8724,-93.8202
-64.1910,-93.0217
-75.3855,-86.2430
-75.0866,-86.4240
-75.0837,-86.4258
-75.4968,-86.1757
-76.3085,-85.6841
-77.4066,-85.0192
-78.6824,-84.2466
-80.0629,-83.4107
-81.5035,-82.5384
-82.9755,-81.6470
-84.4586,-80.7489
-85.9349,-79.8550
-87.3864,-78.9761
-88.7893,-78.1265
-90.1103,-77.3266
-91.2972,-76.6079
-101.5870,-70.3769
-101.5368,-70.4073
-101.7703,-70.2659
-102.3440,-69.9185
-103.2127,-69.3924
-104.2810,-68.7455
-105.4629,-68.0298
-106.6884,-67.2876
-107.9019,-66.5528
-109.0442,-65.8611
-118.4013,-60.1948
-118.4110,-60.1889
-118.5721,-60.0914
-118.9376,-59.8701
-119.4843,-59.5390
-120.1136,-59.1579
-120.6982,-58.8039
-121.1288,-58.5432
-127.7641,-54.5253
-128.2714,-54.2182
-128.8802,-53.8495
-129.4698,-53.4925
-129.9270,-53.2157
-136.5948,-49.1780
-137.0639,-48.8939
-137.6513,-48.5382
-138.2434,-48.1797
-138.7251,-47.8880
-145.4284,-43.8289
-145.8614,-43.5667
-146.4282,-43.2235
-147.0218,-42.8640
-147.5261,-42.5586
-154.2914,-38.4621
-154.7002,-38.2146
-155.2623,-37.8742
-155.8777,-37.5015
-156.4259,-37.1696
-163.2057,-33.0639
-163.5946,-32.8284
-164.1707,-32.4795
-164.8388,-32.0750
-165.4645,-31.6961
-171.9611,-27.7542
-172.3529,-27.5159
-173.0113,-27.1155
-173.8382,-26.6126
-174.6668,-26.1088
-180.1687,-22.7112
-180.5493,-22.4716
-181.4036,-21.9337
-182.5956,-21.1832
-183.9645,-20.3213
-185.3355,-19.4581
-187.1306,-18.1554
-188.4735,-17.0919
