x,z
-611.3474,-142.5488
-606.3500,-142.5564
-601.3522,-142.5630
-596.3540,-142.5685
-591.3555,-142.5729
-586.3566,-142.5763
-581.3575,-142.5788
-576.3580,-142.5803
-571.3583,-142.5808
-566.3583,-142.5805
-561.3581,-142.5793
-556.3577,-142.5773
-551.3570,-142.5744
-546.3561,-142.5708
-541.3550,-142.5663
-536.3538,-142.5612
-531.3524,-142.5553
-526.3509,-142.5488
-521.3493,-142.5416
-516.3475,-142.5338
-511.3457,-142.5254
-506.3437,-142.5164
-501.3418,-142.5069
-496.3397,-142.4968
-491.3377,-142.4863
-486.3356,-142.4753
-481.3336,-142.4639
-476.3315,-142.4521
-471.3295,-142.4399
-466.3276,-142.4273
-461.3257,-142.4144
-456.3239,-142.4012
-451.3222,-142.3878
-446.3206,-142.3741
-441.3191,-142.3602
-436.3178,-142.3461
-431.3166,-142.3319
-426.3156,-142.3175
-421.3148,-142.3030
-416.3142,-142.2884
-411.3139,-142.2738
-406.3137,-142.2592
-401.3139,-142.2446
-396.3142,-142.2300
-391.3149,-142.2155
-386.3159,-142.2010
-381.3172,-142.1867
-376.3188,-142.1725
-371.3208,-142.1585
-366.3231,-142.1447
-361.3258,-142.1311
-356.3290,-142.1177
-351.3325,-142.1047
-346.3364,-142.0919
-341.3408,-142.0795
-336.3455,-142.0675
-331.3503,-142.0558
-326.3552,-142.0445
-321.3600,-142.0336
-316.3644,-142.0232
-311.3685,-142.0133
-306.3720,-142.0038
-301.3748,-141.9949
-296.3768,-141.9865
-291.3777,-141.9787
-286.3775,-141.9714
-281.3760,-141.9648
-276.3731,-141.9587
-271.3686,-141.9533
-266.3623,-141.9486
-261.3542,-141.9446
-256.3441,-141.9413
-251.3318,-141.9387
-246.3171,-141.9369
-241.3000,-141.9359
-236.2804,-141.9357
-231.2579,-141.9363
-226.2326,-141.9377
-221.2042,-141.9400
-216.1726,-141.9432
-211.1377,-141.9473
-206.1127,-141.9811
-201.2542,-142.3796
-196.8056,-143.6640
-193.0056,-146.3356
-189.9548,-150.3734
-187.6143,-155.2291
-185.9390,-160.3312
-184.7059,-165.1374
-182.7379,-169.2639
-179.2347,-172.3689
-174.5911,-174.1507
-169.4649,-174.9004
-164.4087,-175.1592
-159.4268,-175.2108
-154.4471,-175.2377
-149.4599,-175.2671
-144.4667,-175.2986
-139.4688,-175.3317
-134.4679,-175.3657
-129.4653,-175.4004
-124.4624,-175.4351
-119.4603,-175.4694
-114.4587,-175.5034
-109.4577,-175.5369
-104.4571,-175.5697
-99.4568,-175.6018
-94.4567,-175.6331
-89.4567,-175.6635
-84.4567,-175.6930
-79.4567,-175.7214
-74.4567,-175.7488
-69.4567,-175.7753
-64.4566,-175.8008
-59.4565,-175.8254
-54.4565,-175.8491
-49.4564,-175.8718
-44.4563,-175.8937
-39.4562,-175.9147
-34.4561,-175.9348
-29.4560,-175.9540
-24.4558,-175.9724
-19.4557,-175.9899
-14.4555,-176.0066
-9.4554,-176.0225
-4.4552,-176.0376
0.5450,-176.0520
5.5451,-176.0655
10.5453,-176.0783
15.5455,-176.0903
20.5457,-176.1016
25.5460,-176.1122
30.5462,-176.1221
35.5464,-176.1312
40.5466,-176.1397
45.5469,-176.1475
50.5471,-176.1547
55.5474,-176.1612
60.5476,-176.1670
65.5479,-176.1723
70.5481,-176.1769
75.5484,-176.1809
80.5487,-176.1844
85.5490,-176.1873
90.5493,-176.1896
95.5495,-176.1913
100.5498,-176.1926
105.5501,-176.1933
110.5504,-176.1935
115.5507,-176.1932
120.5510,-176.1924
125.5513,-176.1911
130.5516,-176.1894
135.5520,-176.1873
140.5523,-176.1847
145.5526,-176.1817
150.5529,-176.1782
155.5532,-176.1744
160.5535,-176.1702
165.5538,-176.1656
170.5542,-176.1607
175.5545,-176.1554
180.5548,-176.1498
185.5551,-176.1439
190.5554,-176.1376
195.5557,-176.1311
200.5561,-176.1243
205.5564,-176.1172
210.5567,-176.1098
215.5570,-176.1022
220.5573,-176.0944
225.5576,-176.0863
230.5579,-176.0781
235.5582,-176.0696
240.5585,-176.0610
245.5588,-176.0522
250.5591,-176.0432
255.5594,-176.0341
260.5597,-176.0249
265.5600,-176.0156
270.5602,-176.0061
275.5605,-175.9965
280.5608,-175.9869
285.5610,-175.9772
290.5613,-175.9674
295.5615,-175.9576
300.5618,-175.9478
305.5620,-175.9379
310.5623,-175.9281
315.5625,-175.9182
320.5627,-175.9084
325.5629,-175.8986
330.5631,-175.8888
335.5633,-175.8791
340.5635,-175.8695
345.5637,-175.8599
350.5639,-175.8505
355.5640,-175.8411
360.5642,-175.8319
365.5644,-175.8228
370.5645,-175.8139
375.5646,-175.8051
380.5647,-175.7964
385.5649,-175.7880
390.5650,-175.7798
395.5651,-175.7717
400.5651,-175.7639
405.5652,-175.7563
410.5653,-175.7490
415.5653,-175.7419
420.5654,-175.7351
425.5654,-175.7286
430.5654,-175.7224
435.5654,-175.7164
440.5654,-175.7108
445.5654,-175.7056
450.5654,-175.7007
455.5653,-175.6961
460.5653,-175.6925
465.5656,-175.6929
470.5664,-175.7014
475.5682,-175.7219
480.5711,-175.7582
485.5756,-175.8144
490.5819,-175.8943
495.5892,-175.9844
500.5936,-176.0269
505.5908,-175.9564
510.5775,-175.7231
515.5549,-175.3478
520.5254,-174.8721
525.4916,-174.3370
530.4550,-173.7687
535.4160,-173.1713
