x,z
427.6752,-47.7083
432.6771,-47.7044
437.6789,-47.7010
442.6807,-47.6982
447.6826,-47.6959
452.6845,-47.6940
457.6863,-47.6925
462.6882,-47.6915
467.6902,-47.6909
472.6921,-47.6907
477.6940,-47.6908
482.6960,-47.6913
487.6979,-47.6921
492.6999,-47.6932
497.7019,-47.6946
502.7039,-47.6963
507.7059,-47.6982
512.7079,-47.7004
517.7099,-47.7028
522.7120,-47.7055
527.7140,-47.7083
532.7161,-47.7112
537.7181,-47.7143
542.7202,-47.7176
547.7223,-47.7209
552.7243,-47.7244
557.7264,-47.7279
562.7285,-47.7315
567.7306,-47.7351
572.7327,-47.7388
577.7348,-47.7424
582.7369,-47.7460
587.7390,-47.7497
592.7411,-47.7532
597.7432,-47.7567
602.7453,-47.7601
607.7474,-47.7634
612.7495,-47.7665
617.7516,-47.7693
622.7538,-47.7717
627.7559,-47.7737
632.7579,-47.7750
637.7600,-47.7757
642.7621,-47.7755
647.7642,-47.7744
652.7662,-47.7724
657.7682,-47.7692
662.7703,-47.7648
667.7722,-47.7590
672.7742,-47.7519
677.7762,-47.7432
682.7781,-47.7329
687.7800,-47.7209
692.7819,-47.7070
697.7837,-47.6911
702.7855,-47.6733
707.7873,-47.6533
712.7890,-47.6310
717.7907,-47.6064
722.7924,-47.5793
727.7940,-47.5496
732.7956,-47.5173
737.7971,-47.4822
742.7986,-47.4443
747.8000,-47.4033
752.8014,-47.3593
757.8028,-47.3121
762.8041,-47.2616
767.8053,-47.2078
772.8065,-47.1507
777.8077,-47.0912
782.8089,-47.0301
787.8102,-46.9680
792.8116,-46.9059
797.8131,-46.8444
802.8149,-46.7843
807.8168,-46.7264
812.8190,-46.6715
817.8215,-46.6204
822.8243,-46.5738
827.8275,-46.5325
832.8311,-46.4973
837.8352,-46.4689
842.8397,-46.4482
847.8448,-46.4358
852.8500,-46.4265
857.8543,-46.4061
862.8568,-46.3594
867.8562,-46.2712
872.8516,-46.1265
877.8418,-45.9101
882.8259,-45.6069
887.8026,-45.2011
892.7593,-44.6444
897.6663,-43.8372
902.4921,-42.6759
907.2051,-41.0578
911.7570,-38.9320
916.0740,-36.3273
920.0802,-33.2792
923.7003,-29.8233
926.8831,-26.0004
929.6143,-21.8591
931.8821,-17.4488
933.6751,-12.8187
934.9817,-8.0181
935.7904,-3.0963
936.0895,1.8973
935.8708,6.9139
935.2819,11.9154
934.6882,16.8804
934.0898,21.7932
932.9422,26.6418
930.9074,31.2710
928.0035,35.3270
924.4060,38.7240
920.4708,41.7734
916.4255,44.6876
912.3004,47.4994
908.1113,50.2285
903.8741,52.8946
899.6045,55.5173
895.3183,58.1165
891.0314,60.7117
886.7593,63.3223
882.5096,65.9583
878.2784,68.6162
874.0614,71.2914
869.8539,73.9797
865.6515,76.6767
861.4497,79.3780
857.2439,82.0791
853.0296,84.7757
848.8036,87.4643
844.5676,90.1449
840.3245,92.8187
836.0774,95.4866
831.8293,98.1498
827.5832,100.8092
823.3421,103.4660
819.1091,106.1211
814.8838,108.7714
810.6520,111.3963
806.3964,113.9709
802.0993,116.4703
797.7432,118.8695
793.3105,121.1437
788.7837,123.2679
784.1453,125.2171
779.3863,126.9610
774.5311,128.4476
769.6128,129.6194
764.6644,130.4191
759.7187,130.7892
754.8089,130.6723
749.9678,130.0111
745.2284,128.7481
740.6115,126.8758
736.0920,124.5782
731.6332,122.0850
727.1988,119.6260
722.7467,117.4127
718.2135,115.5877
713.5307,114.2770
708.6299,113.6071
703.5196,113.6878
698.4930,114.5693
693.8088,116.2200
689.3596,118.3609
684.9870,120.7096
680.6513,123.1785
676.3395,125.7236
672.0390,128.3011
667.7392,130.8755
663.4382,133.4414
659.1361,135.9998
654.8330,138.5519
650.5290,141.0990
646.2239,143.6423
641.9180,146.1829
637.6113,148.7219
633.3038,151.2605
628.9956,153.7987
624.6868,156.3366
620.3774,158.8744
616.0674,161.4119
611.7571,163.9493
607.4464,166.4865
603.1353,169.0237
598.8241,171.5609
594.5127,174.0981
590.2012,176.6353
585.8896,179.1727
581.5781,181.7102
577.2667,184.2478
572.9555,186.7857
568.6446,189.3239
564.3339,191.8623
560.0236,194.4011
555.7135,196.9401
551.4037,199.4793
547.0942,202.0188
542.7848,204.5584
538.4756,207.0981
534.1666,209.6380
529.8577,212.1779
525.5488,214.7179
521.2401,217.2579
516.9313,219.7978
512.6226,222.3377
508.3138,224.8775
504.0049,227.4172
499.6960,229.9567
495.3870,232.4961
491.0778,235.0352
486.7685,237.5741
482.4589,240.1126
478.1491,242.6509
473.8391,245.1888
469.5287,247.7264
465.2181,250.2635
460.9071,252.8002
456.5957,255.3364
452.2840,257.8721
447.9718,260.4072
443.6591,262.9418
439.3459,265.4758
435.0323,268.0091
430.7180,270.5418
426.4033,273.0738
422.0881,275.6053
417.7728,278.1367
413.4577,280.6685
409.1430,283.2009
404.8290,285.7344
400.5160,288.2693
396.2042,290.8060
391.8940,293.3449
387.5856,295.8864
383.2793,298.4308
378.9754,300.9786
374.6742,303.5301
370.3758,306.0856
366.0807,308.6456
361.7890,311.2104
357.5008,313.7800
353.2127,316.3489
348.9193,318.9089
344.6152,321.4513
340.2952,323.9677
335.9538,326.4496
331.5856,328.8886
327.1853,331.2762
322.7476,333.6031
318.2687,335.8532
313.7457,338.0057
309.1756,340.0402
304.5554,341.9360
299.8822,343.6726
295.1529,345.2293
290.3647,346.5855
285.5147,347.7209
280.6066,348.6267
275.6551,349.3139
270.6761,349.7954
265.6852,350.0838
260.6928,350.1989
255.7003,350.1712
250.7084,350.0325
245.7178,349.8142
240.7289,349.5392
235.7415,349.2156
230.7556,348.8506
225.7710,348.4510
220.7875,348.0240
215.8050,347.5764
210.8235,347.1153
205.8426,346.6476
200.8624,346.1780
195.8828,345.7069
190.9036,345.2347
185.9248,344.7617
180.9463,344.2882
175.9681,343.8145
170.9900,343.3408
166.0119,342.8675
161.0338,342.3949
156.0557,341.9231
151.0773,341.4526
146.0987,340.9837
141.1198,340.5165
136.1404,340.0514
131.1605,339.5888
126.1800,339.1288
121.1989,338.6716
116.2172,338.2172
111.2350,337.7652
106.2524,337.3157
101.2693,336.8685
96.2858,336.4233
91.3020,335.9802
86.3179,335.5389
81.3336,335.0993
76.3491,334.6612
71.3645,334.2246
66.3797,333.7892
61.3950,333.3550
56.4102,332.9218
51.4256,332.4894
46.4410,332.0577
41.4566,331.6266
36.4724,331.1960
31.4885,330.7656
26.5048,330.3353
21.5216,329.9051
16.5387,329.4747
11.5563,329.0440
6.5744,328.6129
1.5930,328.1813
-3.3877,327.7489
-8.3678,327.3157
-13.3472,326.8815
-18.3258,326.4461
-23.3037,326.0095
-28.2807,325.5715
-33.2568,325.1320
-38.2326,324.6920
-43.2096,324.2547
-48.1893,323.8230
-53.1733,323.4001
-58.1631,322.9890
-63.1602,322.5930
-68.1663,322.2151
-73.1827,321.8578
-78.2043,321.5025
-83.2167,321.0997
-88.2048,320.5979
-93.1534,319.9454
-98.0475,319.0907
-102.8720,317.9820
-107.6117,316.5677
-112.2514,314.7970
-116.7652,312.6468
-121.1132,310.1336
-125.2543,307.2762
-129.1472,304.0940
-132.7510,300.6059
-136.0243,296.8310
-138.9262,292.7885
-141.4166,288.4978
-143.5016,283.9893
-145.2501,279.3089
-146.7355,274.5035
-148.0292,269.6196
-149.1187,264.6942
-149.8792,259.7513
-150.1777,254.8138
-149.8842,249.9047
-148.9897,245.0380
-147.6460,240.2163
-146.0157,235.4415
-144.2600,230.7152
-142.4753,226.0323
-140.6725,221.3789
-138.8570,216.7403
-137.0340,212.1022
-135.2074,207.4566
-133.3791,202.8042
-131.5510,198.1461
-129.7248,193.4833
-127.9025,188.8170
-126.0859,184.1484
-124.2767,179.4785
-122.4768,174.8085
-120.6850,170.1393
-118.8964,165.4719
-117.1059,160.8068
-115.3083,156.1449
-113.4984,151.4869
-111.6712,146.8337
-109.8214,142.1860
-107.9446,137.5444
-106.0564,132.9028
-104.1987,128.2467
-102.4146,123.5612
-100.7488,118.8316
-99.2976,114.0521
-98.2215,109.2288
-97.6853,104.3680
-97.8537,99.4763
-98.8418,94.5830
-100.5817,89.8012
-102.9628,85.2638
-105.8743,81.1036
-109.2133,77.4144
-112.9036,74.1480
-116.8758,71.2239
-121.0600,68.5615
-125.3917,66.0859
-129.8244,63.7425
-134.3158,61.4813
-138.8235,59.2523
-143.3143,57.0155
-147.7870,54.7666
-152.2479,52.5091
-156.7030,50.2466
-161.1573,47.9820
-165.6118,45.7159
-170.0662,43.4482
-174.5207,41.1791
-178.9752,38.9087
-183.4296,36.6368
-187.8839,34.3637
-192.3381,32.0894
-196.7921,29.8138
-201.2459,27.5372
-205.6995,25.2594
-210.1527,22.9807
-214.6057,20.7009
-219.0584,18.4203
-223.5106,16.1388
-227.9625,13.8564
-232.4139,11.5734
-236.8649,9.2897
-241.3157,7.0056
-245.7662,4.7212
-250.2167,2.4366
-254.6670,0.1521
-259.1174,-2.1323
-263.5679,-4.4164
-268.0185,-6.7000
-272.4695,-8.9830
-276.9207,-11.2652
-281.3724,-13.5465
-285.8246,-15.8267
-290.2773,-18.1056
-294.7307,-20.3832
-299.1848,-22.6592
-303.6398,-24.9336
-308.0956,-27.2061
-312.5524,-29.4766
-317.0102,-31.7449
-321.4692,-34.0110
-325.9293,-36.2745
-330.3908,-38.5355
-334.8536,-40.7937
-339.3178,-43.0490
-343.7835,-45.3012
-348.2508,-47.5502
-352.7198,-49.7959
-357.1906,-52.0380
-361.6632,-54.2764
-366.1377,-56.5110
-370.6141,-58.7416
-375.0926,-60.9680
-379.5731,-63.1908
-384.0551,-65.4104
-388.5384,-67.6276
-393.0229,-69.8429
-397.5081,-72.0570
-401.9938,-74.2705
-406.4797,-76.4841
-410.9655,-78.6984
-415.4511,-80.9141
-419.9359,-83.1317
-424.4199,-85.3520
-428.9028,-87.5756
-433.3841,-89.8030
-437.8637,-92.0350
-442.3413,-94.2721
-446.8145,-96.5184
-451.2589,-98.8127
-455.6367,-101.2151
-459.9102,-103.7857
-464.0437,-106.5798
-468.0270,-109.5995
-471.8646,-112.8157
-475.5612,-116.1985
-479.1214,-119.7196
-482.5460,-123.3651
-485.8342,-127.1296
-488.9851,-131.0075
-491.9977,-134.9936
-494.8709,-139.0825
-497.6039,-143.2687
-500.1957,-147.5469
-502.6480,-151.9105
-504.9899,-156.3394
-507.2660,-160.8060
