x,z
519.2878,16.9874
519.3642,14.9887
519.4407,12.9899
519.5171,10.9912
519.5935,8.9925
519.6700,6.9938
519.7464,4.9951
519.8229,2.9964
519.8993,0.9977
519.9758,-1.0010
520.0521,-2.9998
520.1286,-4.9985
520.2051,-6.9972
520.2814,-8.9959
520.3579,-10.9946
520.4344,-12.9933
520.5108,-14.9920
520.5873,-16.9908
520.6636,-18.9895
520.7401,-20.9882
520.8165,-22.9869
520.8930,-24.9856
520.9694,-26.9842
521.0459,-28.9828
521.1223,-30.9813
521.1987,-32.9798
521.2751,-34.9782
521.3516,-36.9766
521.4280,-38.9751
521.5045,-40.9738
521.5809,-42.9725
521.6573,-44.9712
521.7338,-46.9699
521.8102,-48.9687
521.8867,-50.9674
521.9631,-52.9661
522.0395,-54.9648
522.1160,-56.9635
522.1924,-58.9622
522.2689,-60.9609
522.3453,-62.9596
522.4218,-64.9584
522.4982,-66.9571
522.5746,-68.9557
522.6511,-70.9544
522.7275,-72.9530
522.8039,-74.9516
522.8804,-76.9502
522.9568,-78.9489
523.0333,-80.9476
523.1097,-82.9463
523.1861,-84.9450
523.2625,-86.9437
523.3390,-88.9424
523.4154,-90.9411
523.4919,-92.9398
523.5684,-94.9386
523.6447,-96.9373
523.7211,-98.9360
523.7974,-100.9347
523.8738,-102.9334
523.9502,-104.9322
524.0266,-106.9309
524.1029,-108.9296
524.1793,-110.9283
524.2556,-112.9270
524.3320,-114.9257
524.4083,-116.9245
524.4847,-118.9232
524.5611,-120.9219
524.6374,-122.9206
524.7137,-124.9193
524.7902,-126.9180
524.8665,-128.9167
524.9429,-130.9154
525.0192,-132.9142
525.0956,-134.9129
525.1719,-136.9116
525.2483,-138.9103
525.3246,-140.9090
525.4010,-142.9077
525.4774,-144.9064
525.5537,-146.9051
525.6301,-148.9038
525.7064,-150.9025
525.7828,-152.9012
525.8591,-154.8999
525.9355,-156.8986
526.0118,-158.8973
526.0882,-160.8960
526.1646,-162.8947
526.2409,-164.8934
526.3173,-166.8921
526.3937,-168.8908
526.4700,-170.8895
526.5464,-172.8882
526.6227,-174.8869
526.6991,-176.8856
526.7755,-178.8843
526.8518,-180.8830
526.9282,-182.8817
527.0045,-184.8804
527.0809,-186.8791
527.1572,-188.8778
527.2336,-190.8765
527.3099,-192.8752
527.3863,-194.8739
527.4626,-196.8726
527.5390,-198.8713
527.6154,-200.8700
527.6917,-202.8687
527.7681,-204.8674
527.8445,-206.8661
527.9208,-208.8648
527.9971,-210.8635
528.0735,-212.8622
528.1499,-214.8609
528.2263,-216.8596
528.3026,-218.8584
528.3790,-220.8571
528.4553,-222.8558
528.5317,-224.8545
528.6080,-226.8532
528.6844,-228.8519
528.7607,-230.8506
528.8371,-232.8493
528.9135,-234.8480
528.9898,-236.8467
529.0662,-238.8454
529.1426,-240.8441
529.2189,-242.8428
529.2953,-244.8415
529.3716,-246.8402
529.4479,-248.8389
