x,z
200.6565,-293.9765
205.6570,-293.9750
210.6575,-293.9736
215.6581,-293.9723
220.6586,-293.9712
225.6591,-293.9703
230.6595,-293.9696
235.6600,-293.9690
240.6605,-293.9686
245.6610,-293.9684
250.6615,-293.9683
255.6619,-293.9685
260.6624,-293.9689
265.6629,-293.9695
270.6633,-293.9703
275.6637,-293.9713
280.6642,-293.9725
285.6646,-293.9737
290.6650,-293.9750
295.6654,-293.9759
300.6659,-293.9765
305.6663,-293.9765
310.6667,-293.9759
315.6670,-293.9743
320.6674,-293.9718
325.6678,-293.9681
330.6682,-293.9631
335.6685,-293.9565
340.6689,-293.9484
345.6693,-293.9384
350.6696,-293.9266
355.6700,-293.9126
360.6703,-293.8963
365.6707,-293.8776
370.6710,-293.8564
375.6714,-293.8324
380.6717,-293.8056
385.6720,-293.7757
390.6724,-293.7426
395.6727,-293.7062
400.6730,-293.6663
405.6734,-293.6227
410.6737,-293.5753
415.6740,-293.5239
420.6744,-293.4684
425.6747,-293.4086
430.6750,-293.3444
435.6753,-293.2755
440.6757,-293.2019
445.6760,-293.1235
450.6763,-293.0400
455.6766,-292.9522
460.6769,-292.8606
465.6771,-292.7661
470.6772,-292.6692
475.6772,-292.5707
480.6771,-292.4713
485.6768,-292.3717
490.6764,-292.2726
495.6757,-292.1747
500.6749,-292.0786
505.6738,-291.9852
510.6725,-291.8951
515.6709,-291.8089
520.6689,-291.7275
525.6667,-291.6515
530.6641,-291.5816
535.6613,-291.5174
540.6588,-291.4563
545.6572,-291.3949
550.6571,-291.3300
555.6590,-291.2583
560.6636,-291.1766
565.6714,-291.0817
570.6830,-290.9702
575.6970,-290.8313
580.6947,-290.5858
585.6486,-290.1202
590.5311,-289.3204
595.3150,-288.0744
599.9937,-286.3694
604.5910,-284.3382
609.1331,-282.1253
613.6461,-279.8749
618.1531,-277.7045
622.6636,-275.6095
627.1830,-273.5507
631.7169,-271.4888
636.2676,-269.3923
640.8233,-267.2643
645.3680,-265.1176
649.8859,-262.9650
654.3467,-260.7979
658.4712,-258.2333
661.7828,-254.6147
664.0398,-250.0123
665.1941,-245.0853
665.1327,-240.2430
663.7130,-235.6642
661.2516,-231.3355
658.4365,-227.0939
655.7553,-222.8218
653.2146,-218.5155
650.7541,-214.1871
648.3135,-209.8487
645.8513,-205.5092
643.3675,-201.1705
640.8683,-196.8336
638.3596,-192.4994
635.8469,-188.1688
633.3309,-183.8424
630.8102,-179.5208
628.2835,-175.2044
625.7494,-170.8938
623.2065,-166.5895
620.6534,-162.2921
618.0888,-158.0019
615.5112,-153.7197
612.9198,-149.4456
610.3152,-145.1792
607.6986,-140.9198
605.0712,-136.6667
602.4342,-132.4192
599.7887,-128.1766
597.1359,-123.9383
594.4770,-119.7035
591.8131,-115.4716
589.1454,-111.2418
586.4751,-107.0135
583.8033,-102.7860
581.1312,-98.5585
578.4600,-94.3305
575.7908,-90.1012
573.1249,-85.8699
570.4633,-81.6359
567.8068,-77.3989
565.1551,-73.1589
562.5079,-68.9162
559.8647,-64.6711
557.2252,-60.4237
554.5889,-56.1744
551.9556,-51.9234
549.3247,-47.6708
546.6959,-43.4170
544.0688,-39.1621
541.4431,-34.9065
538.8183,-30.6503
536.1940,-26.3938
533.5699,-22.1373
530.9455,-17.8809
528.3205,-13.6249
525.6945,-9.3696
523.0673,-5.1150
520.4389,-0.8611
517.8094,3.3921
515.1789,7.6446
512.5475,11.8965
509.9151,16.1479
507.2819,20.3987
504.6479,24.6491
502.0132,28.8990
499.3778,33.1485
496.7419,37.3977
494.1054,41.6465
491.4685,45.8950
488.8312,50.1433
486.1935,54.3915
483.5556,58.6394
480.9174,62.8872
478.2791,67.1350
475.6408,71.3827
473.0024,75.6304
470.3641,79.8782
467.7258,84.1260
465.0878,88.3740
462.4499,92.6221
459.8124,96.8704
457.1752,101.1190
454.5385,105.3678
451.9023,109.6170
449.2666,113.8666
446.6315,118.1165
443.9971,122.3670
441.3634,126.6178
438.7305,130.8693
436.0985,135.1213
433.4674,139.3738
430.8371,143.6269
428.2074,147.8804
425.5783,152.1342
422.9497,156.3884
420.3215,160.6429
417.6936,164.8976
415.0660,169.1524
412.4385,173.4072
409.8110,177.6621
407.1834,181.9170
404.5558,186.1717
401.9278,190.4263
399.2996,194.6807
396.6709,198.9347
