x,z
-223.2825,-211.7743
-221.2825,-211.7666
-219.2823,-211.7589
-217.2821,-211.7511
-215.2820,-211.7434
-213.2818,-211.7357
-211.2815,-211.7279
-209.2813,-211.7202
-207.2811,-211.7125
-205.2809,-211.7047
-203.2807,-211.6970
-201.2805,-211.6893
-199.2804,-211.6815
-197.2802,-211.6738
-195.2800,-211.6661
-193.2797,-211.6584
-191.2795,-211.6506
-189.2793,-211.6429
-187.2791,-211.6352
-185.2790,-211.6274
-183.2788,-211.6197
-181.2786,-211.6120
-179.2784,-211.6042
-177.2782,-211.5965
-175.2780,-211.5888
-173.2778,-211.5810
-171.2776,-211.5733
-169.2774,-211.5656
-167.2772,-211.5579
-165.2770,-211.5501
-163.2768,-211.5424
-161.2766,-211.5347
-159.2764,-211.5269
-157.2762,-211.5192
-155.2760,-211.5115
-153.2758,-211.5038
-151.2756,-211.4960
-149.2754,-211.4883
-147.2753,-211.4805
-145.2751,-211.4728
-143.2749,-211.4651
-141.2747,-211.4574
-139.2745,-211.4496
-137.2743,-211.4419
-135.2741,-211.4342
-133.2739,-211.4264
-131.2737,-211.4187
-129.2735,-211.4110
-127.2733,-211.4032
-125.2731,-211.3955
-123.2729,-211.3878
-121.2728,-211.3801
-119.2726,-211.3723
-117.2724,-211.3646
-115.2722,-211.3569
-113.2720,-211.3491
-111.2719,-211.3414
-109.2717,-211.3337
-107.2715,-211.3259
-105.2713,-211.3182
-103.2711,-211.3105
-101.2710,-211.3027
-99.2708,-211.2950
-97.2706,-211.2873
-95.2704,-211.2796
-93.2703,-211.2718
-91.2701,-211.2641
-89.2699,-211.2564
-87.2697,-211.2486
-85.2695,-211.2409
-83.2693,-211.2332
-81.2692,-211.2254
-79.2690,-211.2177
-77.2688,-211.2100
-75.2686,-211.2023
-73.2684,-211.1945
-71.2682,-211.1868
-69.2680,-211.1791
-67.2678,-211.1713
-65.2676,-211.1636
-63.2675,-211.1559
-61.2673,-211.1481
-59.2671,-211.1404
-57.2668,-211.1327
-55.2666,-211.1249
-53.2664,-211.1172
-51.2663,-211.1095
-49.2661,-211.1018
-47.2659,-211.0940
-45.2657,-211.0863
-43.2655,-211.0786
-41.2654,-211.0708
-39.2652,-211.0631
-37.2650,-211.0554
-35.2648,-211.0476
-33.2647,-211.0399
-31.2645,-211.0322
-29.2643,-211.0244
-27.2641,-211.0167
-25.2639,-211.0090
-23.2638,-211.0013
-21.2636,-210.9935
-19.2634,-210.9858
-17.2632,-210.9781
-15.2631,-210.9703
-13.2629,-210.9626
-11.2628,-210.9549
-9.2626,-210.9471
-7.2624,-210.9394
-5.2622,-210.9317
-3.2621,-210.9240
-1.2619,-210.9162
0.7383,-210.9085
2.7385,-210.9008
4.7387,-210.8930
6.7389,-210.8853
8.7391,-210.8776
10.7393,-210.8698
12.7395,-210.8621
14.7397,-210.8544
16.7398,-210.8466
18.7400,-210.8389
20.7402,-210.8312
22.7404,-210.8235
24.7406,-210.8157
26.7408,-210.8080
28.7410,-210.8003
30.7412,-210.7943
32.7414,-210.7884
34.7415,-210.7824
36.7417,-210.7765
38.7420,-210.7705
40.7422,-210.7646
42.7425,-210.7587
44.7429,-210.7527
46.7432,-210.7468
48.7432,-210.7408
50.7429,-210.7348
52.7428,-210.7288
54.7429,-210.7229
56.7432,-210.7169
58.7434,-210.7110
60.7437,-210.7050
62.7439,-210.6991
64.7441,-210.6931
66.7443,-210.6872
68.7445,-210.6812
70.7447,-210.6753
72.7449,-210.6693
74.7451,-210.6634
76.7453,-210.6574
78.7455,-210.6515
80.7457,-210.6455
82.7459,-210.6396
84.7461,-210.6336
86.7463,-210.6277
88.7465,-210.6217
90.7467,-210.6158
92.7469,-210.6098
94.7471,-210.6039
96.7473,-210.5979
98.7475,-210.5919
100.7477,-210.5860
102.7479,-210.5800
104.7481,-210.5741
106.7483,-210.5681
108.7485,-210.5622
110.7486,-210.5562
112.7488,-210.5503
114.7490,-210.5443
116.7492,-210.5384
118.7494,-210.5324
120.7496,-210.5254
122.7498,-210.5183
124.7500,-210.5112
126.7502,-210.5042
128.7504,-210.4971
130.7506,-210.4900
132.7507,-210.4829
134.7509,-210.4759
136.7511,-210.4688
138.7513,-210.4617
140.7515,-210.4547
142.7517,-210.4476
144.7518,-210.4405
146.7520,-210.4334
148.7522,-210.4264
150.7523,-210.4193
152.7504,-210.4963
154.7428,-210.6312
156.7320,-210.7990
158.7227,-210.9714
160.7160,-211.1477
162.7115,-211.3260
164.7084,-211.5056
166.7053,-211.6873
168.7005,-211.8719
170.6922,-212.0602
172.6784,-212.2537
174.6559,-212.4549
176.6266,-212.6285
178.5931,-212.7690
180.5623,-212.8736
182.5436,-212.9377
184.5355,-212.9578
186.5303,-212.9294
188.5253,-212.8370
190.5251,-212.6649
192.5317,-212.4492
194.5275,-212.2255
196.4937,-212.0111
198.4326,-211.8003
200.3615,-211.5862
202.2962,-211.3624
204.2449,-211.1245
206.2042,-210.8714
208.1689,-210.6024
210.1381,-210.3206
212.1112,-210.0295
214.0824,-209.7347
216.0492,-209.4426
218.0071,-209.1523
219.9512,-208.8642
221.8854,-208.5712
223.8160,-208.2671
225.7442,-207.9459
227.6734,-207.6213
229.6069,-207.2668
231.5536,-206.8796
233.4805,-206.4746
235.3700,-206.0934
237.2320,-205.6362
239.0170,-204.9544
240.6905,-204.0341
242.2874,-202.9613
243.8648,-201.8089
245.4801,-200.6529
247.0899,-199.4798
248.6631,-198.2671
250.2049,-197.0189
251.7195,-195.7416
253.2149,-194.4451
254.6917,-193.1268
256.1499,-191.7849
257.5843,-190.4133
258.9938,-189.0123
260.3755,-187.5844
261.7290,-186.1347
263.0560,-184.6654
264.3603,-183.1780
265.6456,-181.6736
266.9151,-180.1545
268.1680,-178.6192
269.4051,-177.0662
270.6257,-175.4945
271.8282,-173.9050
273.0122,-172.2997
274.1772,-170.6815
275.3274,-169.0538
276.4485,-167.4071
277.5243,-165.7344
278.5383,-164.0294
279.4881,-162.2958
280.3745,-160.5328
281.1992,-158.7378
281.9799,-156.9182
282.7329,-155.0821
283.4750,-153.2372
284.1996,-151.3823
284.8994,-149.5174
285.5671,-147.6417
286.2137,-145.7569
286.8501,-143.8647
287.4868,-141.9699
288.1177,-140.0748
288.7358,-138.1787
289.3354,-136.2786
289.9174,-134.3740
290.4827,-132.4645
291.0319,-130.5500
291.5620,-128.6304
292.0702,-126.7064
292.5544,-124.7763
293.0172,-122.8386
293.4608,-120.8958
293.8881,-118.9508
294.2970,-117.0024
294.6852,-115.0497
295.0502,-113.0931
295.3931,-111.1331
295.7155,-109.1684
296.0190,-107.1991
296.2887,-105.2278
296.5099,-103.2536
296.6884,-101.2732
296.8291,-99.2866
296.9352,-97.2965
297.0090,-95.3037
297.0532,-93.3081
297.0688,-91.3110
297.0568,-89.3144
297.0186,-87.3177
296.9555,-85.3206
296.8689,-83.3232
296.7603,-81.3259
296.6317,-79.3297
296.4843,-77.3349
296.3203,-75.3415
296.1410,-73.3494
295.9486,-71.3586
295.7448,-69.3689
295.6974,-67.3614
295.6969,-65.3442
295.6345,-63.3311
295.4024,-61.3441
295.1712,-59.3630
294.9384,-57.3824
294.7029,-55.3981
294.4665,-53.4123
294.2318,-51.4270
293.9983,-49.4398
293.7621,-47.4422
293.4666,-45.4380
293.0701,-43.4665
292.6897,-41.5042
292.3093,-39.5417
291.9282,-37.5763
291.5471,-35.6103
291.1661,-33.6456
290.7854,-31.6820
290.4114,-29.7177
290.0373,-27.7532
289.6632,-25.7886
289.2891,-23.8238
288.9149,-21.8591
288.5407,-19.8942
288.1666,-17.9293
287.7924,-15.9646
287.4183,-13.9998
287.0441,-12.0348
286.6700,-10.0698
286.2959,-8.1058
285.9223,-6.1434
285.5485,-4.1805
285.1817,-2.2143
284.6507,-0.2771
284.0645,1.6495
283.5325,3.5853
283.1636,5.5511
282.7947,7.5170
282.4258,9.4828
282.0568,11.4487
281.6850,13.4141
281.3109,15.3790
280.9354,17.3436
280.5591,19.3081
280.1829,21.2726
279.8079,23.2374
279.4340,25.2023
279.0609,27.1674
278.6884,29.1326
278.3165,31.0979
277.9451,33.0634
277.5741,35.0289
277.2035,36.9944
276.8329,38.9600
276.4623,40.9255
276.0913,42.8910
275.7200,44.8565
275.3484,46.8219
274.9767,48.7872
274.6045,50.7525
274.2318,52.7177
273.8590,54.6828
273.4862,56.6479
273.1140,58.6131
272.7424,60.5784
272.3718,62.5439
272.0019,64.5096
271.6324,66.4754
271.2632,68.4411
270.8941,70.4069
270.5249,72.3728
270.1556,74.3387
269.7861,76.3044
269.4164,78.2700
269.0462,80.2356
268.6758,82.2012
268.3057,84.1670
267.9370,86.1329
267.5704,88.0993
267.2067,90.0661
266.8467,92.0336
266.4750,93.9987
266.1004,95.9636
265.7316,97.9295
265.3681,99.8962
265.0091,101.8639
264.6543,103.8326
264.3033,105.8021
263.9532,107.7719
263.6011,109.7414
263.2449,111.7096
262.8851,113.6761
262.5447,115.6449
262.2468,117.6175
262.0143,119.5947
261.8394,121.5758
261.7138,123.5629
261.6289,125.5567
261.5542,127.5536
261.4887,129.5518
261.4315,131.5504
261.3820,133.5492
261.3389,135.5493
261.3015,137.5498
261.2688,139.5499
261.2396,141.5499
261.2138,143.5500
261.1914,145.5501
261.1721,147.5502
261.1558,149.5504
261.1424,151.5505
261.1312,153.5507
261.1215,155.5509
261.1126,157.5511
261.1037,159.5513
261.0941,161.5515
261.0840,163.5516
261.0736,165.5518
261.0631,167.5520
261.0527,169.5521
261.0424,171.5523
261.0325,173.5525
261.0230,175.5527
261.0137,177.5529
261.0047,179.5530
260.9958,181.5532
260.9868,183.5534
260.9777,185.5536
260.9680,187.5538
260.9577,189.5539
260.9465,191.5541
260.9347,193.5543
260.9227,195.5544
260.9111,197.5546
260.9002,199.5547
260.8908,201.5549
260.8824,203.5551
260.8744,205.5553
260.8663,207.5555
260.8577,209.5556
260.8481,211.5558
260.8380,213.5560
260.8276,215.5561
260.8170,217.5563
260.8063,219.5565
260.7957,221.5566
260.7849,223.5568
260.7068,225.5572
260.5812,227.5590
260.4277,229.5526
260.2663,231.5146
260.0500,233.4661
259.7623,235.4393
259.4387,237.4109
259.0990,239.3756
258.7508,241.3374
258.3758,243.2921
257.9494,245.2367
257.4924,247.1790
257.0612,249.1220
256.6382,251.0578
255.9183,252.8828
255.0619,254.6455
254.0509,256.3268
252.8779,257.8989
251.5567,259.3475
250.0989,260.6610
248.5464,261.8695
246.9334,263.0081
245.2859,264.1100
243.6284,265.2094
241.9480,266.2857
240.2329,267.3192
238.4740,268.2877
236.6654,269.1675
234.7822,269.8779
232.8042,270.3241
230.8123,270.6824
228.8110,270.9576
226.7947,271.1908
224.7804,271.3623
222.7773,271.4478
220.7786,271.4218
218.7792,271.3958
216.7804,271.3698
214.7829,271.3436
212.7848,271.3403
210.7859,271.3369
208.7865,271.3336
206.7868,271.3303
204.7869,271.3270
202.7869,271.3237
200.7873,271.3204
198.7876,271.3170
196.7859,271.3138
194.7809,271.3105
192.7776,271.3073
190.7999,271.2789
188.8502,271.2879
186.9112,271.4853
184.9984,271.9315
183.1112,272.5355
181.2401,273.2089
179.3935,273.9448
177.5703,274.7351
175.7663,275.5732
173.9815,276.4555
172.2175,277.3780
170.4750,278.3370
168.6935,279.2376
166.9044,280.1405
165.1469,281.1021
163.4640,282.1833
161.7828,283.2670
160.1069,284.3589
158.4368,285.4597
156.7730,286.5699
155.2119,287.8315
153.6994,289.1562
152.1793,290.4575
150.5878,291.6539
149.0096,292.8685
147.4409,294.0961
145.8764,295.3330
144.3123,296.5738
142.7368,297.8019
141.0109,298.8505
139.2328,299.8395
137.5053,300.8849
135.9286,302.1046
134.3374,303.2985
132.7247,304.4566
131.0816,305.5694
129.4020,306.6283
127.6922,307.6417
125.9578,308.6184
124.2049,309.5669
122.4333,310.4794
120.6434,311.3475
118.8318,312.1647
116.9992,312.9417
115.1484,313.6879
113.2886,314.4098
111.4210,315.0943
109.5407,315.7308
