x,z
-717.2026,68.7341
-717.2167,68.8340
-717.3622,69.8662
-713.7707,44.5507
-712.9542,38.8084
-712.1274,32.9931
-711.3159,27.2853
-710.5444,21.8588
-709.8800,17.1863
-708.1602,4.9670
-707.6432,1.2457
-706.8896,-4.1792
-706.0702,-10.0770
-705.2371,-16.0744
-704.3970,-22.1218
-703.5581,-28.1604
-702.8130,-33.5237
-702.2060,-37.8932
-700.6246,-49.3237
-699.9542,-54.1847
-699.1836,-59.7720
-698.3867,-65.5502
-697.5743,-71.4410
-696.7443,-77.4598
-695.9160,-83.4652
-695.1067,-89.3338
-694.3550,-94.7839
-692.6546,-107.1396
-692.2016,-110.4424
-691.4448,-115.9607
-690.6150,-122.0112
-689.7707,-128.1674
-688.9251,-134.3333
-688.0874,-140.4414
-687.2719,-146.3877
-686.5246,-151.8363
-684.7112,-165.0832
-684.3444,-167.7713
-683.6370,-172.9550
-682.8587,-178.6578
-682.0666,-184.4627
-681.2785,-190.2374
-680.5074,-195.8879
-679.7425,-201.4934
-677.2832,-219.5107
-677.3369,-219.1175
-676.8277,-222.8467
-676.1088,-228.1112
-675.3566,-233.6199
-674.6114,-239.0774
-671.4723,-262.0477
-671.6064,-261.0687
-671.4728,-262.0439
-670.9422,-265.9169
-670.3686,-270.1045
-668.8292,-281.3013
-668.5667,-283.1975
-667.2773,-292.4850
-667.0027,-294.4568
-665.7080,-303.7190
-665.4500,-305.5592
-664.1040,-315.0938
-662.8141,-324.1165
-662.5007,-326.2893
-661.2085,-335.1339
-659.9157,-343.5363
-659.2917,-347.3316
-658.1437,-353.3937
-656.9562,-358.5153
-653.4547,-366.5531
-652.0847,-368.5634
-644.4012,-374.1421
-641.5635,-374.8832
-634.4327,-375.9117
-629.2518,-375.7481
-621.6033,-375.6572
-618.5042,-375.6864
-609.3821,-376.4764
-607.5723,-376.7481
-598.0481,-379.0859
-588.5558,-382.8209
-587.0196,-383.6016
-578.5017,-388.6975
-576.8716,-389.8825
-569.6047,-395.9847
-567.9778,-397.5977
-562.2369,-404.0233
-557.3578,-410.5618
-555.5040,-413.2924
-551.8150,-418.2889
-549.0914,-421.5768
-542.5661,-426.3562
-533.9374,-428.9921
-532.0417,-429.0583
-523.0601,-427.5529
-521.1423,-426.7367
-514.2565,-421.7784
-512.2228,-419.4645
-508.6281,-412.5795
-506.6856,-406.2492
-505.7817,-401.6358
-504.6010,-394.5705
-503.4930,-386.8510
-502.4681,-378.9411
-502.2312,-376.9753
-501.3338,-369.2416
-500.5576,-361.4599
-500.3482,-358.9605
-499.8283,-350.2794
-499.6315,-346.0630
-499.6155,-338.1262
-499.7556,-332.9314
-500.2595,-326.1136
-500.9066,-320.2798
-501.8757,-313.8231
-503.0725,-307.6185
-504.3981,-301.7335
-506.0150,-295.8844
-507.8069,-289.8502
-509.8641,-284.0941
-511.3878,-279.8305
-514.1106,-272.7021
-516.5046,-266.4783
-518.7691,-260.6386
-521.1075,-254.6325
-523.3433,-248.8898
-525.7693,-242.6340
-527.9284,-237.0633
-530.4378,-230.5773
-532.5010,-225.1972
-534.6615,-219.5636
-537.0426,-213.2891
-539.1177,-207.6903
-541.1941,-202.0882
-543.4748,-195.5788
-545.3895,-189.7448
-547.0338,-184.7347
-549.1712,-177.6004
-550.5481,-172.6843
-552.5139,-165.3215
-554.3970,-157.4380
-555.0497,-154.4219
-556.5166,-147.1223
-557.8832,-139.4917
-558.2618,-137.1905
-559.4122,-129.4206
-560.3579,-121.5925
-561.1477,-113.3197
-561.2857,-111.6679
-561.9363,-103.3660
-562.5329,-95.2537
-562.6784,-93.2616
-563.2670,-84.7380
-563.6601,-77.2340
-563.6972,-71.2735
-563.3276,-66.5124
-561.4200,-59.3823
-557.1706,-51.8605
-555.1819,-49.7676
-549.1056,-44.5995
-543.1835,-40.8504
-539.2976,-38.9501
-533.4990,-36.6292
-527.3164,-34.6812
-521.8602,-33.4870
-515.5379,-32.5747
-508.6795,-32.0566
-505.6676,-31.9909
-497.9742,-32.1347
-490.2265,-32.5063
-481.9599,-32.9766
-479.9394,-33.0957
-471.9126,-33.5716
-463.8513,-34.0536
