x,z
739.0076,-681.6340
743.9438,-682.4330
748.8800,-683.2311
753.8161,-684.0285
758.7521,-684.8252
763.6881,-685.6225
768.6240,-686.4216
773.5600,-687.2237
778.4961,-688.0303
783.4322,-688.8424
788.3684,-689.6615
793.3047,-690.4888
798.2412,-691.3256
803.1780,-692.1685
808.1162,-692.9885
813.0570,-693.7481
818.0017,-694.4096
822.9488,-694.9154
827.8342,-694.7498
832.6723,-693.5635
837.5263,-691.8088
841.9330,-689.3349
845.3584,-685.9003
847.5574,-681.6340
848.4934,-676.8684
848.5454,-671.8456
848.3222,-666.7536
848.1981,-661.7061
848.1682,-656.6978
848.1937,-651.7129
848.2358,-646.7355
848.2613,-641.7520
848.2658,-636.7603
848.2540,-631.7620
848.2304,-626.7586
848.1997,-621.7518
848.1666,-616.7430
848.1356,-611.7338
848.1115,-606.7258
848.0989,-601.7205
848.1013,-596.7193
848.1130,-591.7217
848.1230,-586.7263
848.1200,-581.7313
848.0932,-576.7355
848.0445,-571.7374
847.9955,-566.7361
847.9699,-561.7307
847.9912,-556.7204
848.0780,-551.7048
848.1438,-546.6965
847.9782,-541.7294
846.8461,-537.0227
844.1955,-532.9226
840.4695,-529.6449
836.0634,-527.2223
831.3292,-525.6330
826.4472,-524.6392
821.5052,-523.8900
816.5578,-523.1660
811.6091,-522.4494
806.6595,-521.7393
801.7089,-521.0350
796.7575,-520.3356
791.8054,-519.6402
786.8528,-518.9479
781.8997,-518.2580
776.9464,-517.5695
771.9929,-516.8817
767.0393,-516.1936
762.0859,-515.5045
757.1326,-514.8134
752.1797,-514.1196
747.2273,-513.4222
742.2754,-512.7203
737.3243,-512.0130
732.3740,-511.2997
727.4246,-510.5797
722.4762,-509.8535
717.5285,-509.1212
712.5817,-508.3832
707.6357,-507.6398
702.6905,-506.8912
697.7460,-506.1377
692.8022,-505.3797
687.8591,-504.6174
682.9166,-503.8512
677.9748,-503.0813
673.0335,-502.3080
668.0928,-501.5316
663.1527,-500.7525
658.2130,-499.9708
653.2738,-499.1869
648.3351,-498.4011
643.3968,-497.6137
638.4588,-496.8250
633.5212,-496.0352
628.5837,-495.2448
623.6464,-494.4540
618.7090,-493.6632
613.7716,-492.8726
608.8341,-492.0826
603.8962,-491.2935
598.9580,-490.5056
594.0194,-489.7192
589.0802,-488.9347
584.1404,-488.1524
579.1998,-487.3725
574.2585,-486.5955
569.3162,-485.8216
