x,z
262.6490,-403.6060
267.6463,-403.6079
272.6435,-403.6097
277.6408,-403.6113
282.6380,-403.6128
287.6353,-403.6140
292.6325,-403.6151
297.6296,-403.6159
302.6267,-403.6165
307.6238,-403.6168
312.6208,-403.6168
317.6178,-403.6164
322.6148,-403.6157
327.6116,-403.6146
332.6084,-403.6131
337.6051,-403.6112
342.6018,-403.6089
347.5984,-403.6060
352.5949,-403.6027
357.5913,-403.5988
362.5876,-403.5945
367.5838,-403.5901
372.5801,-403.5861
377.5765,-403.5827
382.5730,-403.5806
387.5697,-403.5799
392.5666,-403.5812
397.5637,-403.5849
402.5612,-403.5914
407.5591,-403.6010
412.5575,-403.6142
417.5563,-403.6314
422.5556,-403.6530
427.5556,-403.6793
432.5556,-403.7080
437.5548,-403.7344
442.5521,-403.7540
447.5466,-403.7619
452.5374,-403.7534
457.5234,-403.7238
462.5038,-403.6638
467.4777,-403.5199
472.4445,-403.2144
477.4035,-402.6730
482.3525,-401.8992
487.2881,-400.9693
492.2070,-399.9625
497.1064,-398.9459
501.9884,-397.9253
506.8566,-396.8868
511.7142,-395.8167
516.5649,-394.7012
521.4121,-393.5267
526.2589,-392.2798
531.1019,-390.9560
535.9312,-389.5594
540.7370,-388.0946
545.5090,-386.5658
550.2374,-384.9776
554.9120,-383.3344
559.5240,-381.6325
564.0751,-379.7897
568.5732,-377.6787
573.0183,-375.1742
577.2392,-372.2009
580.8996,-368.7317
583.6561,-364.7417
585.2572,-360.2335
585.9262,-355.3529
586.0392,-350.2919
585.9511,-345.2292
585.8081,-340.2167
585.6393,-335.2344
585.4722,-330.2620
585.3272,-325.2836
585.2040,-320.2980
585.0986,-315.3063
585.0069,-310.3096
584.9248,-305.3091
584.8485,-300.3059
584.7739,-295.3012
584.6969,-290.2961
584.6136,-285.2917
584.5199,-280.2892
584.4118,-275.2898
584.2853,-270.2945
584.1363,-265.3045
583.9614,-260.3209
583.7660,-255.3423
583.5648,-250.3652
583.3728,-245.3859
583.2051,-240.4007
583.0765,-235.4060
583.0023,-230.3979
582.9927,-225.3739
583.0117,-220.3405
582.9960,-215.3098
582.8820,-210.2940
582.6059,-205.3053
582.1041,-200.3560
581.3130,-195.4581
580.1773,-190.6260
578.6875,-185.8858
576.8495,-181.2675
574.6690,-176.8011
572.1519,-172.5166
569.3041,-168.4441
566.1320,-164.6130
562.6552,-161.0412
558.9064,-157.7352
554.9188,-154.7008
550.7259,-151.9440
546.3607,-149.4707
541.8566,-147.2868
537.2459,-145.3950
532.5503,-143.7652
527.7856,-142.3479
522.9673,-141.0933
518.1110,-139.9516
513.2323,-138.8729
508.3468,-137.8076
503.4681,-136.7126
498.5983,-135.5817
493.7358,-134.4216
488.8791,-133.2389
484.0265,-132.0400
479.1764,-130.8315
474.3273,-129.6201
469.4777,-128.4107
464.6277,-127.2042
459.7771,-126.0003
454.9260,-124.7991
450.0745,-123.6003
445.2225,-122.4038
440.3701,-121.2096
435.5172,-120.0174
430.6640,-118.8272
425.8104,-117.6389
420.9564,-116.4523
416.1022,-115.2672
411.2476,-114.0837
406.3927,-112.9015
401.5375,-111.7206
396.6821,-110.5407
391.8265,-109.3619
386.9707,-108.1839
382.1146,-107.0067
377.2585,-105.8301
372.4021,-104.6540
367.5457,-103.4782
362.6891,-102.3028
357.8325,-101.1275
352.9758,-99.9521
348.1190,-98.7767
343.2623,-97.6011
338.4055,-96.4250
333.5489,-95.2482
328.6925,-94.0700
323.8366,-92.8900
318.9812,-91.7076
314.1265,-90.5223
309.2727,-89.3337
304.4198,-88.1412
299.5681,-86.9443
294.7176,-85.7424
289.8686,-84.5352
285.0211,-83.3220
280.1752,-82.1023
275.3313,-80.8757
270.4893,-79.6416
265.6494,-78.3995
260.8118,-77.1489
255.9766,-75.8892
251.1440,-74.6201
246.3141,-73.3409
241.4870,-72.0512
236.6628,-70.7503
231.8418,-69.4379
227.0241,-68.1134
222.2098,-66.7764
217.3990,-65.4261
212.5919,-64.0623
207.7881,-62.6862
202.9855,-61.3058
198.1816,-59.9302
193.3739,-58.5686
188.5599,-57.2302
183.7371,-55.9242
178.9030,-54.6598
174.0566,-53.4411
169.1995,-52.2628
164.3338,-51.1182
159.4615,-50.0009
154.5845,-48.9044
149.7049,-47.8222
144.8246,-46.7479
139.9446,-45.6782
135.0647,-44.6131
130.1844,-43.5530
125.3035,-42.4982
120.4216,-41.4488
115.5385,-40.4053
110.6538,-39.3685
105.7657,-38.3459
100.8720,-37.3498
95.9703,-36.3926
91.0581,-35.4864
86.1330,-34.6437
81.1926,-33.8766
76.2352,-33.1973
71.2633,-32.6158
66.2810,-32.1413
61.2924,-31.7831
56.3019,-31.5504
51.3134,-31.4526
46.3312,-31.4989
41.3595,-31.6986
36.4024,-32.0610
31.4641,-32.5952
26.5487,-33.3106
21.6604,-34.2165
16.8034,-35.3221
11.9817,-36.6348
7.1962,-38.1373
2.4460,-39.7952
-2.2699,-41.5739
-6.9524,-43.4384
-11.6027,-45.3541
-16.2216,-47.2862
-20.8078,-49.2124
-25.3438,-51.1935
-29.8057,-53.3242
-34.1703,-55.6933
-38.4261,-58.3138
-42.5697,-61.1447
-46.5982,-64.1439
-50.5172,-67.2669
-54.3651,-70.4606
-58.1875,-73.6699
-62.0302,-76.8400
-65.9388,-79.9156
-69.9592,-82.8417
-74.1368,-85.5633
-78.4975,-88.0219
-83.0265,-90.1519
-87.7038,-91.8869
-92.5071,-93.1864
-97.4064,-94.1069
-102.3696,-94.7272
-107.3648,-95.1247
-112.3673,-95.3294
-117.3607,-95.3140
-122.3292,-95.0477
-127.2569,-94.4999
-132.1281,-93.6396
-136.9270,-92.4362
-141.6372,-90.8610
-146.2369,-88.9160
-150.7002,-86.6250
-155.0010,-84.0122
-159.1131,-81.1021
-163.0105,-77.9188
-166.6672,-74.4868
-170.0601,-70.8299
-173.1867,-66.9688
-176.0529,-62.9229
-178.6650,-58.7119
-181.0291,-54.3550
-183.1512,-49.8718
-185.0380,-45.2817
-186.7103,-40.6028
-188.2072,-35.8516
-189.5684,-31.0448
-190.8341,-26.1987
-192.0440,-21.3299
-193.2381,-16.4548
-194.4546,-11.5892
-195.7063,-6.7385
-196.9876,-1.9006
-198.2926,2.9267
-199.6150,7.7456
-200.9491,12.5585
-202.2886,17.3675
-203.6277,22.1749
-204.9603,26.9829
-206.2803,31.7939
-207.5818,36.6100
-208.8587,41.4336
-210.1050,46.2668
-211.3147,51.1119
-212.4851,55.9701
-213.6270,60.8385
-214.7539,65.7132
-215.8797,70.5904
-217.0182,75.4661
-218.1831,80.3365
-219.3880,85.1977
-220.6273,90.0493
-221.8526,94.8982
-223.0100,99.7525
-224.0458,104.6200
-224.9059,109.5088
-225.5366,114.4270
-225.8846,119.3820
-225.9207,124.3685
-225.6464,129.3644
-225.0656,134.3464
-224.1818,139.2912
-222.9987,144.1757
-221.5201,148.9765
-219.7495,153.6704
-217.6907,158.2341
-215.3474,162.6444
-212.7231,166.8780
-209.8217,170.9117
-206.6467,174.7222
-203.2019,178.2863
-199.4929,181.5825
-195.5407,184.6031
-191.3730,187.3461
-187.0175,189.8101
-182.5020,191.9933
-177.8543,193.8940
-173.1020,195.5104
-168.2693,196.8372
-163.3755,197.8642
-158.4397,198.5812
-153.4811,198.9776
-148.5187,199.0431
-143.5715,198.7672
-138.6582,198.1414
-133.7878,197.1851
-128.9627,195.9396
-124.1845,194.4468
-119.4554,192.7487
-114.7771,190.8872
-110.1515,188.9041
-105.5796,186.8391
-101.0546,184.7129
-96.5661,182.5381
-92.1038,180.3270
-87.6573,178.0919
-83.2164,175.8453
-78.7706,173.5994
-74.3120,171.3638
-69.8418,169.1367
-65.3640,166.9128
-60.8825,164.6874
-56.4012,162.4553
-51.9239,160.2116
-47.4541,157.9521
-42.9889,155.6857
-38.5204,153.4321
-34.0403,151.2110
-29.5405,149.0423
-25.0128,146.9458
-20.4492,144.9415
-15.8429,143.0449
-11.1998,141.2381
-6.5319,139.4873
-1.8508,137.7586
2.8316,136.0181
7.5034,134.2318
12.1529,132.3658
16.7722,130.3997
21.3711,128.3707
25.9643,126.3317
30.5663,124.3356
35.1915,122.4355
39.8546,120.6841
44.5700,119.1344
49.3462,117.8153
54.1769,116.6986
59.0537,115.7473
63.9680,114.9243
68.9115,114.1927
73.8755,113.5156
78.8522,112.8606
83.8368,112.2344
88.8265,111.6623
93.8183,111.1700
98.8093,110.7829
103.7967,110.5268
108.7775,110.4272
113.7493,110.5038
118.7119,110.7501
123.6658,111.1523
128.6115,111.6967
133.5493,112.3694
138.4797,113.1567
143.4031,114.0447
148.3175,115.0261
153.2147,116.1088
158.0854,117.3034
162.9204,118.6206
167.7104,120.0708
172.4464,121.6646
177.1190,123.4125
181.7236,125.3170
186.2617,127.3700
190.7351,129.5620
195.1460,131.8839
199.4963,134.3265
203.7880,136.8803
208.0232,139.5362
212.2037,142.2850
216.3317,145.1173
220.4091,148.0239
224.4378,150.9956
228.4200,154.0230
232.3576,157.0969
236.2511,160.2107
240.0884,163.3794
243.8506,166.6296
247.5190,169.9881
251.0747,173.4814
254.4988,177.1361
257.7726,180.9790
260.8352,185.0368
263.4281,189.3363
265.2346,193.9046
265.9649,198.7477
265.5650,203.6875
264.1036,208.4500
261.6501,212.7607
258.3183,216.4279
254.3324,219.4694
249.9344,221.9362
245.3382,223.8974
240.6309,225.5045
235.8639,226.9325
231.0846,228.3434
226.3089,229.7882
221.5367,231.2618
216.7676,232.7586
212.0014,234.2731
207.2377,235.7998
202.4763,237.3331
197.7169,238.8683
192.9590,240.4037
188.2022,241.9387
