x,z
459.4761,623.8980
464.4774,623.9002
469.4788,623.9026
474.4802,623.9053
479.4817,623.9085
484.4832,623.9121
489.4847,623.9163
494.4863,623.9211
499.4880,623.9266
504.4897,623.9329
509.4915,623.9400
514.4934,623.9480
519.4953,623.9570
524.4974,623.9670
529.4995,623.9776
534.5015,623.9872
539.5033,623.9942
544.5047,623.9971
549.5056,623.9944
554.5058,623.9844
559.5052,623.9656
564.5037,623.9365
569.5014,623.8980
574.4999,623.8639
579.5010,623.8517
584.5068,623.8791
589.5190,623.9534
594.5358,623.8812
599.5243,623.2634
603.9124,621.2759
606.8673,617.5206
608.2167,612.7445
608.6334,607.5880
608.6418,602.5118
608.0830,597.6101
606.8101,592.8988
604.9647,588.3387
602.7325,583.8821
600.2992,579.4813
597.8363,575.0921
595.3983,570.7001
592.9823,566.3055
590.5850,561.9086
588.2029,557.5095
585.8329,553.1085
583.4715,548.7059
581.1153,544.3020
578.7611,539.8969
576.4061,535.4908
574.0494,531.0841
571.6913,526.6769
569.3315,522.2692
566.9701,517.8613
564.6070,513.4534
562.2423,509.0455
559.8758,504.6379
557.5076,500.2308
555.1375,495.8242
552.7657,491.4185
550.3920,487.0136
548.0164,482.6098
545.6389,478.2073
543.2595,473.8062
540.8780,469.4066
538.4946,465.0088
536.1093,460.6128
533.7236,456.2177
531.3396,451.8223
528.9594,447.4252
526.5852,443.0251
524.2192,438.6208
521.8633,434.2109
519.5198,429.7941
517.1907,425.3692
514.8739,420.9372
512.5621,416.5022
510.2475,412.0684
507.9221,407.6402
505.5783,403.2217
503.2080,398.8174
500.8036,394.4315
498.3571,390.0683
495.8591,385.7334
493.2730,381.4557
490.5407,377.2822
487.6037,373.2602
484.4035,369.4375
480.9019,365.8621
477.1084,362.5838
473.0389,359.6524
468.7093,357.1180
464.1389,355.0490
459.3703,353.6549
454.4591,353.1575
449.4730,353.3882
444.4847,354.0043
439.5331,354.7915
434.6127,355.7050
429.7150,356.7116
424.8315,357.7779
419.9551,358.8757
415.0843,359.9988
410.2189,361.1459
405.3586,362.3159
400.5033,363.5078
395.6527,364.7204
390.8066,365.9526
385.9648,367.2033
381.1272,368.4715
376.2934,369.7559
371.4634,371.0555
366.6369,372.3692
361.8137,373.6958
356.9935,375.0343
352.1763,376.3836
347.3617,377.7424
342.5495,379.1099
337.7394,380.4834
332.9282,381.8508
328.1122,383.1958
323.2873,384.5020
318.4510,385.7582
313.6100,386.9919
308.7749,388.2472
303.9565,389.5682
299.1653,390.9980
294.4029,392.5426
289.6594,394.1608
284.9244,395.8085
280.1872,397.4415
275.4373,399.0157
270.6643,400.4870
265.8575,401.8114
261.0065,402.9446
256.1017,403.8443
251.1482,404.4916
246.1619,404.8848
241.1588,405.0230
236.1550,404.9050
