x,z
-593.0072,-446.6932
-591.4116,-446.0373
-589.4225,-445.2197
-607.0062,-452.4644
-610.9143,-454.0764
-614.8368,-455.6943
-618.7649,-457.3145
-622.6897,-458.9334
-626.6069,-460.5491
-630.5047,-462.1567
-634.3620,-463.7478
-638.1130,-465.2949
-641.4762,-466.6821
-642.7925,-467.2250
-651.3068,-470.7353
-654.9031,-472.2176
-658.7043,-473.7844
-662.5724,-475.3788
-666.4676,-476.9843
-670.3720,-478.5936
-674.2787,-480.2039
-678.1788,-481.8115
-682.0642,-483.4130
-685.9179,-485.0014
-689.3905,-486.4327
-693.3717,-488.0737
-706.0323,-493.2868
-705.2623,-492.9703
-707.1139,-493.7313
-710.2856,-495.0348
-713.8167,-496.4860
-717.4680,-497.9865
-721.1650,-499.5059
-724.8776,-501.0317
-728.5821,-502.5541
-732.2573,-504.0645
-735.8620,-505.5459
-753.8813,-512.9501
-752.7201,-512.4731
-752.1714,-512.2477
-753.6081,-512.8378
-756.4544,-514.0069
-759.7566,-515.3632
-763.1700,-516.7652
-766.5165,-518.1398
-769.5443,-519.3834
-779.9031,-523.6380
-780.8353,-524.0209
-783.2355,-525.0067
-786.1219,-526.1922
-797.6381,-530.9223
-797.6633,-530.9326
-798.7253,-531.3688
-800.3107,-532.0200
-807.4779,-534.9639
-808.9513,-535.5692
-810.1120,-536.0459
-817.5683,-539.1089
-819.0480,-539.7167
-826.2808,-542.6884
-827.7882,-543.3078
-835.1294,-546.3250
-836.4639,-546.8736
-837.8575,-547.4465
-845.2083,-550.4710
-846.8320,-551.1396
-853.9654,-554.0794
-855.7042,-554.7968
-862.4696,-557.5912
-864.0791,-558.2573
-866.9967,-559.4647
-871.2000,-561.2805
-874.3126,-562.6704
-875.5814,-563.2370
-881.0781,-567.8958
-882.6563,-569.5949
-886.4753,-577.4983
-886.6527,-579.2604
-886.9066,-581.7819
-886.6072,-588.4650
-885.8666,-590.8867
-884.8350,-594.2600
-883.4740,-598.2494
-882.4261,-601.2062
-880.1863,-607.4945
-879.4309,-609.6034
-876.7765,-617.0524
-876.2459,-618.5524
-875.6967,-620.1050
-873.0505,-627.5890
-872.4658,-629.2433
-869.8279,-636.6433
-869.2370,-638.2861
-866.4737,-645.6288
-865.9440,-646.9552
-865.3045,-648.5570
-862.4319,-655.4341
-861.6732,-657.1824
-861.2262,-658.2125
-861.2604,-658.1338
-856.3240,-669.3863
-855.0199,-672.3483
-853.8901,-674.9145
-853.4036,-676.0195
-853.6396,-675.4835
-854.0013,-674.6618
-846.4418,-691.7539
-844.8968,-695.2412
-843.3326,-698.7716
-841.7690,-702.3010
-840.2256,-705.7845
-838.7488,-709.1177
-837.5035,-711.9285
-834.0323,-719.7785
-833.0472,-722.0114
-831.6366,-725.2088
-830.1129,-728.6628
-828.5519,-732.2011
-826.9798,-735.7646
-825.4113,-739.3201
-823.8659,-742.8230
-822.3886,-746.1717
-821.1471,-748.9858
-817.7375,-756.7569
-816.7415,-759.0418
-815.3397,-762.2578
-813.8320,-765.7168
-812.2877,-769.2599
-810.6424,-773.0344
-809.0969,-776.5802
-807.5896,-780.0382
-801.4693,-794.1112
-801.8185,-793.3039
-801.6095,-793.7870
-800.5872,-796.1507
-799.2847,-799.1622
-797.9891,-802.1578
-796.9741,-804.5046
-793.5735,-812.4090
