x,z
-20.1749,-369.1300
-15.1762,-369.0677
-10.1771,-368.9878
-5.1773,-368.9021
-0.1762,-368.8224
4.8267,-368.7604
9.8319,-368.7278
14.8392,-368.7293
19.8479,-368.7582
24.8570,-368.8069
29.8657,-368.8679
34.8729,-368.9334
39.8778,-368.9959
44.8800,-369.0502
49.8799,-369.0952
54.8779,-369.1300
59.8746,-369.1537
64.8704,-369.1654
69.8657,-369.1645
74.8611,-369.1499
79.8570,-369.1208
84.8539,-369.0764
89.8522,-369.0159
94.8525,-368.9383
99.8552,-368.8429
104.8606,-368.7284
109.8680,-368.5921
114.8763,-368.4306
119.8845,-368.2407
124.8917,-368.0191
129.8967,-367.7626
134.8987,-367.4678
139.8966,-367.1315
144.8893,-366.7503
149.8759,-366.3211
154.8554,-365.8405
159.8266,-365.3052
164.7887,-364.7120
169.7407,-364.0576
174.6814,-363.3387
179.6099,-362.5519
184.5251,-361.6942
189.4261,-360.7621
194.3119,-359.7523
199.1814,-358.6617
204.0336,-357.4869
208.8676,-356.2246
213.6822,-354.8716
218.4765,-353.4245
223.2491,-351.8799
227.9930,-350.2312
232.6962,-348.4687
237.3468,-346.5830
241.9325,-344.5644
246.4414,-342.4034
250.8621,-340.0913
255.1952,-337.6329
259.4514,-335.0444
263.6416,-332.3423
267.7768,-329.5432
271.8678,-326.6636
275.9251,-323.7201
279.9514,-320.7279
283.9432,-317.7019
287.8966,-314.6531
291.8076,-311.5653
295.6718,-308.4094
299.4831,-305.1566
303.2095,-301.7849
306.7984,-298.2780
310.1975,-294.6201
313.4057,-290.8202
316.4902,-286.9204
319.5226,-282.9648
322.5467,-278.9820
325.5431,-274.9651
328.4833,-270.9021
331.3391,-266.7812
334.0822,-262.5903
336.6843,-258.3176
339.1190,-253.9547
341.3644,-249.5008
343.3991,-244.9561
345.2018,-240.3208
346.7511,-235.5953
348.0257,-230.7798
349.0145,-225.8808
349.7286,-220.9184
350.1821,-215.9147
350.3891,-210.8913
350.3635,-205.8704
350.1192,-200.8737
349.6362,-195.9245
348.8225,-191.0490
347.5768,-186.2736
345.8300,-181.6258
343.6321,-177.1366
341.0612,-172.8379
338.1925,-168.7545
335.0840,-164.8651
331.7862,-161.1287
328.3496,-157.5043
324.8248,-153.9512
321.2624,-150.4282
317.7076,-146.8989
314.1709,-143.3546
310.6492,-139.7982
307.1389,-136.2322
303.6367,-132.6597
300.1393,-129.0832
296.6435,-125.5053
293.1486,-121.9267
289.6545,-118.3474
286.1612,-114.7673
282.6687,-111.1864
279.1769,-107.6048
275.6859,-104.0223
272.1957,-100.4391
268.7061,-96.8550
265.2174,-93.2700
261.7293,-89.6841
258.2419,-86.0974
254.7553,-82.5098
251.2692,-78.9213
247.7837,-75.3321
