x,z
156.4579,-382.4218
161.4578,-382.4166
166.4577,-382.4122
171.4575,-382.4087
176.4574,-382.4061
181.4574,-382.4045
186.4573,-382.4040
191.4573,-382.4047
196.4573,-382.4067
201.4573,-382.4099
206.4573,-382.4142
211.4574,-382.4188
216.4574,-382.4233
221.4574,-382.4270
226.4573,-382.4293
231.4572,-382.4296
236.4570,-382.4273
241.4567,-382.4218
246.4562,-382.4125
251.4556,-382.3989
256.4549,-382.3802
261.4540,-382.3560
266.4529,-382.3256
271.4516,-382.2895
276.4504,-382.2531
281.4493,-382.2225
286.4487,-382.2043
291.4488,-382.2048
296.4498,-382.2304
301.4519,-382.2874
306.4549,-382.3726
311.4579,-382.4615
316.4599,-382.5267
321.4599,-382.5408
326.4567,-382.4763
331.4494,-382.3057
336.4368,-382.0018
341.4152,-381.5372
346.3698,-380.8854
351.2830,-380.0202
356.1371,-378.9153
360.9147,-377.5444
365.5981,-375.8812
370.1698,-373.8994
374.6060,-371.5835
378.8695,-368.9416
382.9213,-365.9848
386.7223,-362.7244
390.2335,-359.1717
393.4159,-355.3378
396.2308,-351.2343
398.6550,-346.8847
400.6849,-342.3279
402.3185,-337.6036
403.5533,-332.7517
404.3873,-327.8121
404.8181,-322.8245
404.8440,-317.8284
404.4701,-312.8555
403.7068,-307.9322
402.5644,-303.0848
401.0533,-298.3396
399.1839,-293.7228
396.9665,-289.2605
394.4127,-284.9783
391.5408,-280.8955
388.3722,-277.0291
384.9283,-273.3961
381.2305,-270.0133
377.3001,-266.8977
373.1585,-264.0662
368.8257,-261.5534
364.3152,-259.4590
359.6397,-257.8983
354.8148,-256.9566
349.8777,-256.5234
344.8741,-256.4094
339.8498,-256.4258
334.8354,-256.4437
329.8314,-256.4541
324.8348,-256.4619
319.8426,-256.4723
314.8519,-256.4902
309.8596,-256.5205
304.8628,-256.5682
299.8608,-256.6322
294.8552,-256.7048
289.8479,-256.7777
284.8405,-256.8428
279.8351,-256.8920
274.8332,-256.9171
269.8369,-256.9099
264.8462,-256.8711
259.8586,-256.8183
254.8707,-256.7711
249.8796,-256.7491
244.8821,-256.7719
239.8751,-256.8592
234.8556,-257.0289
229.8281,-257.2497
224.8051,-257.4333
219.7996,-257.4882
214.8247,-257.3230
209.8934,-256.8463
205.0188,-255.9667
200.2177,-254.5978
195.5522,-252.7161
191.1155,-250.3401
187.0009,-247.4892
183.3020,-244.1826
180.1124,-240.4399
177.5254,-236.2802
175.6229,-231.7334
174.4136,-226.8930
173.8790,-221.8765
174.0004,-216.8018
174.7591,-211.7864
176.1364,-206.9482
178.1135,-202.4047
180.6499,-198.2253
183.6350,-194.3244
186.9443,-190.5857
190.4733,-186.9324
194.2317,-183.5126
198.2698,-180.5544
202.6372,-178.2845
207.3266,-176.7970
212.2300,-175.9514
217.2290,-175.5836
222.2317,-175.5363
227.2279,-175.6749
232.2230,-175.8690
237.2223,-175.9916
242.2273,-175.9976
247.2358,-175.9264
252.2451,-175.8214
257.2528,-175.7262
262.2563,-175.6841
267.2530,-175.7385
272.2407,-175.9294
277.2189,-176.2604
282.1886,-176.7131
287.1506,-177.2685
292.1058,-177.9077
297.0551,-178.6120
301.9994,-179.3624
306.9395,-180.1404
311.8761,-180.9355
316.8097,-181.7455
321.7407,-182.5685
326.6696,-183.4025
331.5968,-184.2457
336.5229,-185.0962
341.4482,-185.9522
346.3732,-186.8116
351.2984,-187.6727
356.2242,-188.5335
361.1511,-189.3922
366.0796,-190.2468
371.0100,-191.0955
375.9432,-191.9315
380.8822,-192.7208
385.8303,-193.4203
390.7893,-193.9750
395.7402,-194.2047
400.6518,-193.8544
405.4929,-192.6682
410.1590,-190.4847
414.3273,-187.4256
417.6344,-183.6656
419.8049,-179.3751
421.0320,-174.7036
421.6635,-169.7939
422.0456,-164.7876
422.4011,-159.7759
422.7492,-154.7665
423.0905,-149.7592
423.4253,-144.7540
423.7541,-139.7507
424.0772,-134.7493
424.3951,-129.7496
424.7082,-124.7515
425.0169,-119.7549
425.3216,-114.7597
425.6228,-109.7658
425.9208,-104.7731
426.2161,-99.7815
426.5091,-94.7909
426.8003,-89.8011
427.0899,-84.8121
427.3785,-79.8238
427.6665,-74.8360
427.9542,-69.8486
428.2422,-64.8615
428.5307,-59.8747
428.8203,-54.8880
429.1113,-49.9013
429.4042,-44.9145
429.6994,-39.9274
429.9973,-34.9401
430.2983,-29.9523
430.6027,-24.9640
430.9107,-19.9752
431.2219,-14.9859
431.5361,-9.9962
431.8531,-5.0060
432.1726,-0.0156
432.4945,4.9752
432.8184,9.9662
433.1441,14.9574
433.4714,19.9488
433.8001,24.9403
434.1299,29.9318
434.4606,34.9234
434.7920,39.9149
435.1238,44.9063
435.4558,49.8977
435.7877,54.8888
436.1193,59.8797
436.4504,64.8704
436.7808,69.8607
437.1101,74.8507
437.4382,79.8402
437.7649,84.8294
438.0899,89.8180
438.4129,94.8060
438.7338,99.7935
439.0522,104.7803
439.3681,109.7664
439.6819,114.7521
439.9949,119.7379
440.3084,124.7241
440.6238,129.7113
440.9423,134.7000
441.2651,139.6906
441.5928,144.6836
441.9159,149.6785
442.2200,154.6746
442.4906,159.6711
442.7131,164.6670
442.8730,169.6616
442.9558,174.6540
442.9380,179.6429
442.7524,184.6249
442.3178,189.5954
441.5588,194.5476
440.4542,199.4487
439.0129,204.2519
437.2441,208.9101
435.1609,213.3955
432.7882,217.7323
430.1523,221.9538
427.2789,226.0900
424.1721,230.1038
420.8160,233.8956
417.1941,237.3635
413.2976,240.4268
409.1561,243.1099
404.8108,245.4695
400.3032,247.5622
395.6745,249.4449
390.9662,251.1741
386.2196,252.8067
381.4663,254.3884
376.7115,255.9360
371.9561,257.4615
367.2010,258.9768
362.4472,260.4937
357.6954,262.0242
352.9467,263.5801
348.2010,265.1646
343.4569,266.7676
338.7131,268.3782
333.9681,269.9853
329.2204,271.5777
324.4686,273.1444
319.7116,274.6756
314.9542,276.1848
310.2067,277.7071
305.4797,279.2784
300.7836,280.9343
296.1291,282.7108
291.5265,284.6436
286.9875,286.7663
