x,z
-201.2494,359.0855
-196.2519,359.0867
-191.2545,359.0876
-186.2570,359.0884
-181.2595,359.0891
-176.2621,359.0896
-171.2646,359.0899
-166.2671,359.0900
-161.2697,359.0901
-156.2723,359.0899
-151.2748,359.0897
-146.2774,359.0893
-141.2800,359.0888
-136.2825,359.0881
-131.2851,359.0874
-126.2877,359.0865
-121.2903,359.0855
-116.2929,359.0844
-111.2955,359.0832
-106.2981,359.0820
-101.3007,359.0806
-96.3033,359.0791
-91.3059,359.0776
-86.3086,359.0760
-81.3112,359.0743
-76.3138,359.0725
-71.3164,359.0707
-66.3191,359.0688
-61.3217,359.0669
-56.3243,359.0649
-51.3270,359.0629
-46.3296,359.0608
-41.3322,359.0587
-36.3349,359.0566
-31.3375,359.0544
-26.3402,359.0522
-21.3428,359.0501
-16.3455,359.0479
-11.3481,359.0456
-6.3508,359.0434
-1.3534,359.0412
3.6439,359.0390
8.6413,359.0368
13.6386,359.0346
18.6360,359.0325
23.6333,359.0304
28.6306,359.0283
33.6280,359.0262
38.6253,359.0242
43.6227,359.0222
48.6200,359.0203
53.6174,359.0184
58.6147,359.0166
63.6121,359.0148
68.6094,359.0131
73.6068,359.0115
78.6041,359.0100
83.6015,359.0085
88.5988,359.0071
93.5962,359.0058
98.5935,359.0047
103.5909,359.0036
108.5882,359.0026
113.5856,359.0017
118.5830,359.0010
123.5803,359.0003
128.5777,358.9998
133.5751,358.9994
138.5724,358.9992
143.5698,358.9991
148.5672,358.9991
153.5646,358.9993
158.5620,358.9996
163.5594,359.0001
168.5568,359.0007
173.5542,359.0015
178.5516,359.0025
183.5490,359.0036
188.5464,359.0050
193.5438,359.0065
198.5412,359.0082
203.5386,359.0101
208.5361,359.0122
213.5335,359.0145
218.5309,359.0170
223.5284,359.0197
228.5258,359.0226
233.5233,359.0258
238.5208,359.0292
243.5182,359.0328
248.5157,359.0366
253.5132,359.0407
258.5107,359.0450
263.5081,359.0496
268.5056,359.0545
273.5031,359.0595
278.5007,359.0649
283.4982,359.0705
288.4957,359.0764
293.4932,359.0826
298.4908,359.0890
303.4883,359.0958
308.4859,359.1029
313.4834,359.1105
318.4810,359.1187
323.4785,359.1277
328.4760,359.1376
333.4735,359.1485
338.4710,359.1606
343.4684,359.1739
348.4658,359.1887
353.4632,359.2050
358.4605,359.2229
363.4578,359.2427
368.4550,359.2644
373.4522,359.2882
378.4493,359.3143
383.4463,359.3426
388.4433,359.3734
393.4402,359.4068
398.4369,359.4429
403.4336,359.4819
408.4303,359.5239
413.4268,359.5690
418.4232,359.6174
423.4195,359.6691
428.4156,359.7244
433.4118,359.7822
438.4079,359.8400
443.4042,359.8952
448.4006,359.9453
453.3975,359.9876
458.3948,360.0195
463.3926,360.0384
468.3910,360.0417
473.3903,360.0267
478.3903,359.9910
483.3914,359.9318
488.3935,359.8465
493.3965,359.7321
498.3991,359.5830
503.3996,359.3929
508.3964,359.1557
513.3878,358.8653
518.3722,358.5152
523.3479,358.0995
528.3133,357.6119
533.2668,357.0461
538.2066,356.3961
543.1311,355.6555
548.0387,354.8181
552.9277,353.8779
557.7964,352.8306
562.6434,351.6773
567.4669,350.4196
572.2654,349.0595
577.0372,347.5986
581.7808,346.0387
586.4945,344.3816
591.1768,342.6291
595.8259,340.7830
600.4405,338.8450
605.0187,336.8169
609.5590,334.7005
614.0599,332.4976
618.5196,330.2099
622.9367,327.8392
627.3094,325.3873
631.6363,322.8560
635.9156,320.2471
640.1458,317.5622
644.3252,314.8032
648.4524,311.9720
652.5256,309.0701
656.5432,306.0995
660.5037,303.0619
664.4055,299.9590
668.2466,296.7918
672.0241,293.5571
675.7346,290.2504
679.3748,286.8673
682.9413,283.4035
686.4308,279.8545
689.8404,276.2175
693.1697,272.4962
696.4192,268.6965
699.5892,264.8241
702.6798,260.8848
705.6916,256.8844
708.6248,252.8287
711.4795,248.7208
714.2553,244.5622
716.9520,240.3542
719.5694,236.0980
722.1072,231.7949
724.5651,227.4462
726.9429,223.0532
729.2403,218.6170
731.4570,214.1391
733.5929,209.6206
735.6475,205.0628
737.6208,200.4671
739.5121,195.8347
741.3194,191.1673
743.0394,186.4668
744.6690,181.7348
746.2052,176.9733
747.6447,172.1842
748.9844,167.3691
750.2212,162.5300
751.3520,157.6687
752.3737,152.7871
753.2830,147.8868
754.0769,142.9699
754.7524,138.0380
755.3113,133.0929
755.7632,128.1357
756.1184,123.1678
756.3868,118.1903
756.5787,113.2044
756.7042,108.2115
756.7734,103.2128
756.7965,98.2095
756.7836,93.2028
756.7449,88.1940
756.6905,83.1844
756.6305,78.1751
756.5737,73.1672
756.5219,68.1609
756.4751,63.1561
756.4330,58.1527
756.3955,53.1506
756.3625,48.1498
756.3339,43.1501
756.3094,38.1514
756.2891,33.1537
756.2726,28.1568
756.2600,23.1608
756.2510,18.1653
756.2455,13.1705
756.2434,8.1762
756.2445,3.1823
756.2487,-1.8113
756.2559,-6.8047
756.2658,-11.7979
756.2785,-16.7911
756.2937,-21.7844
756.3113,-26.7778
756.3311,-31.7714
756.3531,-36.7654
756.3770,-41.7597
756.4028,-46.7546
756.4301,-51.7500
756.4567,-56.7461
756.4794,-61.7427
756.4951,-66.7400
756.5006,-71.7377
756.4927,-76.7361
756.4683,-81.7349
756.4241,-86.7343
756.3570,-91.7342
756.2638,-96.7346
756.1414,-101.7354
755.9865,-106.7367
755.7959,-111.7384
755.5649,-116.7396
755.2862,-121.7381
754.9524,-126.7316
754.5559,-131.7176
754.0894,-136.6937
753.5453,-141.6577
752.9161,-146.6072
752.1945,-151.5398
751.3730,-156.4531
750.4441,-161.3448
749.4002,-166.2125
748.2341,-171.0538
746.9384,-175.8665
745.5120,-180.6481
743.9590,-185.3963
742.2840,-190.1090
740.4914,-194.7837
738.5855,-199.4182
736.5709,-204.0101
734.4521,-208.5573
732.2333,-213.0573
729.9192,-217.5080
727.5140,-221.9069
725.0224,-226.2518
722.4487,-230.5405
719.7965,-234.7712
717.0676,-238.9442
714.2630,-243.0600
711.3840,-247.1190
708.4318,-251.1219
705.4076,-255.0690
702.3127,-258.9609
699.1483,-262.7982
695.9155,-266.5812
692.6155,-270.3106
689.2497,-273.9868
685.8192,-277.6103
682.3252,-281.1816
678.7689,-284.7001
675.1513,-288.1634
671.4734,-291.5689
667.7362,-294.9141
663.9407,-298.1964
660.0880,-301.4133
656.1791,-304.5622
652.2150,-307.6406
