x,z
-352.5848,274.8995
-353.7665,273.2917
-354.9396,271.6777
-356.1024,270.0561
-357.2541,268.4261
-358.3925,266.7880
-359.5173,265.1400
-360.6225,263.4793
-361.7033,261.8016
-362.7538,260.1049
-363.7761,258.3906
-364.7728,256.6608
-365.7459,254.9177
-366.6980,253.1629
-367.6313,251.3985
-368.5490,249.6261
-369.4537,247.8475
-370.3484,246.0640
-371.2359,244.2778
-372.1182,242.4893
-372.9976,240.6987
-373.8756,238.9067
-374.7536,237.1148
-375.6362,235.3248
-376.5218,233.5362
-377.4088,231.7484
-378.2959,229.9605
-379.1815,228.1721
-380.0656,226.3831
-380.9482,224.5935
-381.8293,222.8033
-382.7084,221.0123
-383.5853,219.2205
-384.4602,217.4276
-385.3328,215.6336
-386.2033,213.8385
-387.0713,212.0424
-387.9375,210.2455
-388.8028,208.4480
-389.6676,206.6499
-390.5321,204.8516
-391.3963,203.0527
-392.2603,201.2537
-393.1242,199.4545
-393.9882,197.6551
-394.8524,195.8557
-395.7170,194.0563
-396.5822,192.2570
-397.4482,190.4577
-398.3147,188.6586
-399.1822,186.8593
-400.0503,185.0602
-400.9188,183.2610
-401.7878,181.4620
-402.6572,179.6631
-403.5273,177.8643
-404.3979,176.0659
-405.2693,174.2676
-406.1414,172.4696
-407.0143,170.6716
-407.8879,168.8737
-408.7620,167.0762
-409.6364,165.2787
-410.5116,163.4815
-411.3879,161.6847
-412.2660,159.8887
-413.1461,158.0937
-414.0285,156.2996
-414.9133,154.5064
-415.8005,152.7142
-416.6904,150.9235
-417.5820,149.1337
-418.4750,147.3447
-419.3689,145.5562
-420.2633,143.7679
-421.1580,141.9798
-422.0529,140.1917
-422.9479,138.4037
-423.8428,136.6157
-424.7377,134.8277
-425.6312,133.0390
-426.5221,131.2491
-427.4089,129.4571
-428.2900,127.6625
-429.1638,125.8642
-430.0284,124.0614
-430.8817,122.2534
-431.7220,120.4394
-432.5476,118.6189
-433.3571,116.7911
-434.1488,114.9559
-434.9217,113.1127
-435.6741,111.2613
-436.4045,109.4014
-437.1134,107.5331
-437.8012,105.6570
-438.4685,103.7735
-439.1158,101.8834
-439.7436,99.9870
-440.3528,98.0846
-440.9442,96.1764
-441.5181,94.2627
-442.0746,92.3445
-442.6140,90.4212
-443.1367,88.4930
-443.6427,86.5600
-444.1238,84.6209
-444.5720,82.6740
-444.9788,80.7182
-445.3542,78.7560
-445.7082,76.7898
-446.0392,74.8202
-446.3463,72.8463
-446.6280,70.8684
-446.8830,68.8864
-447.1135,66.9015
-447.3219,64.9143
-447.5104,62.9254
