x,z
-373.6602,870.7249
-374.9280,869.2841
-376.8927,867.0514
-379.6338,863.9364
-381.8259,861.4453
-388.3130,854.0847
-390.4126,851.7061
-392.8928,848.8963
-394.3064,847.2948
-395.2629,846.2113
-402.3470,838.1862
-404.5234,835.7208
-406.9058,833.0220
-408.6224,831.0775
-415.7626,822.9895
-418.0241,820.4277
-420.6744,817.4257
-423.1869,814.5797
-424.8076,812.7439
-424.7592,812.7987
-434.7415,801.4860
-437.5912,798.2558
-440.5338,794.9203
-443.3947,791.6774
-445.8687,788.8729
-453.7410,779.9484
-455.2303,778.2596
-457.7860,775.3618
-460.6564,772.1072
-463.5744,768.7986
-466.3539,765.6470
-468.6080,763.0912
-476.3765,754.2826
-478.1291,752.2953
-480.6744,749.4092
-483.3872,746.3331
-494.2465,734.0148
-494.1068,734.1735
-494.8877,733.2866
-496.5129,731.4409
-503.1469,723.9014
-503.9422,722.9964
-504.9568,721.8418
-510.6415,715.3690
-511.6396,714.2319
-517.3630,707.7163
-518.3786,706.5607
-524.1120,700.0378
-525.1120,698.9003
-530.8620,692.3595
-531.8966,691.1828
-537.6500,684.6379
-538.7749,683.3580
-544.3866,676.9739
-545.7508,675.4220
-550.9310,669.5230
-552.8753,667.3071
-556.9319,662.6536
-559.6893,659.4716
-562.6396,655.5372
-564.7182,652.3843
-567.8153,644.4068
-568.2660,641.8239
-568.0390,631.6079
-567.4607,629.5568
-566.9280,627.6676
-563.0472,619.3691
-561.6031,617.0720
-556.9215,611.4563
-554.2141,608.8911
-549.9576,605.5357
-546.0664,603.1470
-541.4732,600.6710
-537.5412,598.9872
-531.4988,596.7484
-528.3018,595.8005
-521.3765,594.1537
-518.5330,593.6688
-511.2416,592.9432
-508.4182,592.8728
-501.2657,593.1424
-498.2504,593.4424
-491.5012,594.5743
-488.1192,595.3563
-482.0751,597.1491
-478.2213,598.5166
-473.0252,600.6411
-468.7862,602.5750
-464.2565,604.8575
-459.9621,607.2217
-455.5997,609.8074
-451.6498,612.3507
-449.0212,614.0432
-443.2661,618.2121
-440.2177,620.5142
-434.2780,625.3812
-431.8512,627.5650
-429.6896,629.5102
-423.5935,635.2632
-421.1648,637.6391
-415.3570,643.3181
-413.2565,645.3708
-410.5449,648.0204
-405.8259,652.5024
-402.5958,655.4967
-398.8757,658.9175
-395.1251,661.7915
-391.4958,664.5726
-386.3276,667.9087
-382.7452,669.7253
-379.6993,671.2698
-372.3885,673.9589
-368.9922,674.8717
-366.5936,675.5163
-357.7559,676.7895
-354.4097,677.0157
-345.7929,676.9845
-343.0584,676.6927
-339.5977,676.3234
-332.0987,675.0477
-328.5954,674.2084
-325.2333,673.4029
-318.4539,671.2252
-314.4644,669.7382
-308.2557,667.1673
-304.9840,665.4805
-300.9357,663.3934
-296.0295,660.5080
-292.1677,657.8983
-288.3505,655.3188
-284.0982,651.8427
-280.3540,648.6046
-276.5837,645.1715
-273.2479,641.5158
-269.8673,637.8109
-266.7529,633.8802
-263.8381,629.8274
-260.5737,625.1515
-258.4556,621.3371
-256.1138,617.1200
-253.7111,612.1840
-251.9709,607.8842
-250.4765,604.1915
-248.6729,598.1591
-247.5931,593.9603
-246.2046,587.4887
-245.6472,583.8122
-245.1528,580.5516
-244.2936,573.1091
-243.9729,569.6036
-243.3128,561.4034
-243.1346,558.6412
-242.9431,555.6729
-242.5398,547.4699
-242.4270,544.3293
-242.1786,535.6777
-242.1374,533.2920
-242.0845,530.2218
-241.9599,522.0484
-241.9193,518.9834
-241.8858,516.4499
-241.7743,507.9464
-241.7326,504.7466
-241.7134,503.2751
-241.7208,503.8412
-241.5219,488.4962
-241.4644,484.0546
-241.4118,479.9938
-241.2872,470.3800
-241.2513,467.6185
-241.1963,463.3889
-241.1381,458.9163
-241.0832,454.6919
-241.0483,452.0102
-240.9237,442.4180
-240.8701,438.2849
-240.8119,433.7993
-240.7556,429.4597
-240.7141,426.2624
-240.5857,417.1546
-240.5260,413.1665
-240.4590,408.6859
-240.3930,404.2671
-240.3392,400.6710
-240.1532,391.7879
-240.0532,388.0243
-239.9347,383.5614
-239.8152,379.0633
-239.7102,375.1100
-239.4290,366.4474
-239.2900,362.9298
-239.1134,358.4584
-238.9318,353.8636
-238.7625,349.5786
-238.3885,341.1787
-238.2182,337.9330
-237.9811,333.4147
-237.7341,328.7082
-237.4935,324.1232
-237.3279,320.9682
-236.8566,313.0721
-236.5656,308.4597
-236.2615,303.6388
-235.9579,298.8251
-235.6917,294.6056
-235.2934,288.3515
-234.9880,283.5795
-234.6732,278.6601
-234.3570,273.7190
-234.0460,268.8592
-233.7404,263.6052
-233.4760,258.6877
-233.2083,253.7092
-232.9402,248.7231
-232.6720,243.7358
-232.4301,238.7249
-232.2305,233.7334
-232.0306,228.7344
-231.8308,223.7364
-231.6309,218.7391
-231.4747,213.7344
-231.3520,208.7344
-231.2293,203.7320
-231.1066,198.7308
-230.9838,193.7291
-230.8623,188.7027
-230.8014,183.7231
-230.7403,178.7217
-230.6791,173.7195
-230.6180,168.7198
-230.5573,163.7478
-230.4951,158.7050
-230.4335,153.7084
-230.3718,148.7123
-230.3103,143.7218
-230.2495,138.7973
-230.2598,139.6317
-230.2895,142.0391
-230.0528,123.6860
-229.9873,118.6915
-229.9218,113.6956
-229.8563,108.7010
-229.7908,103.7097
-229.7255,98.7267
-229.6604,93.7643
-229.5967,88.9064
-229.5211,83.1392
-229.4608,78.5462
-229.3961,73.6123
-229.3309,68.6422
-229.2656,63.6632
-229.2003,58.6834
-229.1351,53.7080
-229.0700,48.7450
-229.0053,43.8142
-228.9422,39.0013
-228.8939,35.3250
-228.8007,28.2225
-228.7383,23.4651
-228.6738,18.5543
-228.6089,13.6079
-228.5438,8.6519
-228.4788,3.6983
-228.4140,-1.2404
-228.3497,-6.1406
-228.2869,-10.9237
-228.2321,-15.0995
-228.1344,-22.5418
-228.0785,-26.8100
-228.0157,-31.5962
-227.9516,-36.4854
-227.8871,-41.4057
-227.8225,-46.3310
-227.7581,-51.2435
-227.6941,-56.1168
-227.6317,-60.8819
-227.5745,-65.2437
-227.4580,-74.1240
-227.4165,-77.2902
-227.3569,-81.8330
-227.2940,-86.6292
-227.2301,-91.4991
-227.1660,-96.3909
-227.1019,-101.2772
-227.0382,-106.1298
-226.9758,-110.8885
-226.7535,-127.9800
-226.7754,-126.2705
-226.7540,-127.9467
-226.7014,-132.0640
-226.6422,-136.6970
-226.5814,-141.4543
-226.5206,-146.2169
-226.2563,-166.7785
-226.2688,-165.8265
-226.2766,-165.2247
-226.2479,-167.4161
-226.1979,-171.2257
-226.0594,-181.6620
-226.0477,-182.5097
-226.0186,-184.6340
-225.9195,-191.7434
-225.8143,-199.0987
-225.7864,-201.0021
-225.6810,-208.0911
-225.6489,-210.2133
-225.5414,-217.2791
-225.5095,-219.3665
-225.3983,-226.6498
-225.2950,-233.4096
-225.2503,-236.3424
-225.1715,-242.0951
-225.1175,-246.5446
-225.3581,-251.1437
-225.5367,-253.6974
-227.6462,-260.8012
-232.0887,-267.9258
-233.6755,-269.5740
-240.3189,-274.3976
-242.7942,-275.5490
-249.3397,-277.2602
-253.6609,-277.7329
-258.1805,-277.7673
-264.5229,-277.7627
-267.3233,-277.7540
-274.1985,-277.7325
-276.3097,-277.7260
-283.5705,-277.7068
-290.7777,-277.6922
-292.8160,-277.6889
-299.8536,-277.6818
-302.0713,-277.6810
-309.0974,-277.6793
-311.1712,-277.6790
-318.8049,-277.6772
-321.3099,-277.6765
-328.9806,-277.6759
-333.4862,-277.6757
-338.9930,-277.6757
-343.7660,-277.6757
-348.6781,-277.6757
-353.7037,-277.6758
-358.6289,-277.6759
-363.8990,-277.6760
-368.6461,-277.6759
-372.9967,-277.6758
-378.9088,-277.6757
-383.5184,-277.6756
-389.7091,-277.6755
-393.8266,-277.6754
-398.3993,-277.6754
-404.0115,-277.7069
-408.7810,-277.7547
-413.2389,-277.7993
-418.7628,-278.1577
-423.7229,-278.5070
-428.7265,-279.0058
-433.6130,-279.7116
-438.2151,-280.3764
-443.5623,-281.4431
-448.1967,-282.4668
-454.1683,-283.9142
-458.0462,-285.0788
-462.2500,-286.3414
-468.0826,-288.3336
-472.0708,-289.8641
-475.4085,-291.1450
-481.7130,-293.9337
-485.4935,-295.7206
-491.7737,-298.9048
-494.8373,-300.6467
-498.2101,-302.5646
-504.1138,-306.2239
-507.3834,-308.4113
-510.0254,-310.1789
-516.0434,-314.6139
-519.1886,-317.0523
-524.7536,-321.6430
-527.3224,-323.9757
-530.1511,-326.5443
-535.0791,-331.4020
-537.8307,-334.3153
-540.0553,-336.6707
-544.7821,-342.2077
-547.4666,-345.5076
-551.4309,-350.6737
-553.7009,-353.9366
-556.1631,-357.4759
-559.3362,-362.4257
-561.5778,-366.1425
-564.2675,-370.9298
-566.7627,-375.6313
-568.7586,-379.7784
-570.8166,-384.3046
-572.6562,-388.6056
-574.5089,-393.4316
-576.3888,-398.6947
-577.4952,-402.1059
-579.1706,-407.7847
-580.8408,-414.2132
-581.3702,-416.5118
-582.6949,-422.8870
-583.8562,-429.8003
-584.1001,-431.5754
-584.8874,-438.3426
-585.0673,-440.2356
-585.5432,-447.3496
-585.7504,-453.4365
-585.8073,-457.2173
-585.6329,-461.8864
-584.3604,-468.1351
-583.3330,-470.5820
-578.0409,-476.8983
-576.1266,-478.0622
-569.5985,-480.4795
-565.6740,-480.9935
-561.4086,-481.4997
-554.6020,-482.9810
-552.4560,-483.7422
-545.6201,-487.5673
-544.2403,-488.6170
-538.6069,-494.6186
-534.6735,-501.3188
-533.8917,-503.1639
-531.8803,-510.3144
-531.5386,-512.4395
-531.4576,-519.9828
-532.5745,-526.7637
-533.4148,-529.7301
-535.7651,-535.8625
-538.0431,-540.8157
-539.9521,-544.6178
-542.4145,-549.4584
-544.4062,-553.2674
-547.0815,-558.3670
-548.7987,-561.6262
-551.7706,-567.2589
-553.1574,-569.8839
-556.4506,-576.1181
-557.6690,-578.4247
-561.1011,-584.9221
-564.0373,-590.7281
-565.3911,-593.7133
-567.1215,-598.6686
-567.7632,-602.8814
-567.4917,-609.7721
-566.8388,-612.6469
-563.4832,-620.1599
-561.9315,-622.4057
-556.0543,-627.8663
-553.1828,-629.5756
-547.0589,-631.5964
-542.4085,-632.2242
-537.5277,-632.3877
-534.8542,-632.4232
-527.7522,-632.4824
-520.3160,-632.5353
-517.9772,-632.5556
-510.6110,-632.6381
-508.3069,-632.6708
-501.0084,-632.7858
-498.7555,-632.8248
-491.4312,-632.9495
-489.2305,-632.9865
-489.0007,-632.9903
-477.0078,-633.1897
-473.1236,-633.2541
-471.1550,-633.2867
-461.1172,-633.4533
-456.7458,-633.5260
-452.1141,-633.6029
-447.5489,-633.6787
-443.7996,-633.7410
-443.8687,-633.7398
-431.5750,-633.9500
-426.8290,-634.0321
-421.9646,-634.1163
-417.0689,-634.2010
-412.1917,-634.2853
-407.4688,-634.3670
-400.4872,-634.4878
-396.7179,-634.5531
-391.9019,-634.6365
-386.9720,-634.7218
-382.0101,-634.8077
-377.0396,-634.8937
-372.0750,-634.9797
-367.1982,-635.0641
-361.8987,-635.1558
-356.9946,-635.2407
-352.0142,-635.3270
-347.0220,-635.4134
-342.0250,-635.4999
-322.2723,-635.8418
-323.7095,-635.8169
-326.5872,-635.7671
-322.0240,-635.8461
-317.0461,-635.9322
-312.1476,-636.0170
-306.9182,-636.1075
-302.0251,-636.1923
-297.1299,-636.2770
-291.3471,-636.3772
-286.9484,-636.4533
-282.0668,-636.5378
-277.5073,-636.6167
-271.8371,-636.7149
-266.9869,-636.7989
-262.1208,-636.8832
-256.7157,-636.9960
-251.9472,-637.1250
-246.9926,-637.2590
-242.3047,-637.3858
-236.9786,-637.7440
-232.0025,-638.1003
-227.0208,-638.4571
-222.0403,-638.9543
-217.0762,-639.5612
-212.1109,-640.1682
-207.1499,-640.8153
-202.2210,-641.6625
-197.2919,-642.5097
-192.3646,-643.3566
-187.4667,-644.3973
-182.5865,-645.4912
-177.7057,-646.5852
-172.8406,-647.7690
-168.0215,-649.1026
-163.2025,-650.4363
-158.5314,-651.7289
-153.6221,-653.3360
-148.8822,-654.9002
-144.1861,-656.4500
-139.3774,-658.1898
-134.7851,-659.9676
-130.2447,-661.7253
-124.8319,-663.9223
-120.8792,-665.7363
-116.5880,-667.7056
-112.9943,-669.3549
-106.9735,-672.5324
-103.1839,-674.7014
-99.5527,-676.7798
-92.9596,-680.9107
-90.1770,-682.8840
-86.8247,-685.2613
-84.3281,-687.0318
-77.6394,-692.3626
-74.7465,-694.8596
-71.9630,-697.2621
-65.4844,-703.3563
-63.3696,-705.5715
-60.7231,-708.3437
-58.7807,-710.3783
-52.8097,-717.3868
-50.5492,-720.2729
-48.3297,-723.1066
-43.1365,-730.3568
-41.4671,-732.9704
-39.3440,-736.2943
-37.7388,-738.8073
-33.5341,-746.3006
-31.7312,-749.8282
-29.9098,-753.3921
-26.7516,-760.1589
-25.3337,-763.6047
-23.6086,-767.7970
-22.2159,-771.1816
-19.6606,-777.5270
-17.9311,-781.8610
-16.2479,-786.0792
-14.0513,-791.5841
-12.3583,-795.8268
-10.6256,-800.1688
-8.1105,-806.4684
-6.7348,-809.9094
-5.0225,-814.1925
-3.5425,-817.8945
-0.9836,-824.2218
0.6644,-828.2658
2.2840,-832.2399
5.0027,-838.8910
6.4529,-842.4240
8.1437,-846.5432
9.3906,-849.5811
12.3026,-856.4922
14.0923,-860.6893
15.8495,-864.8098
18.4013,-870.2018
20.5242,-874.3164
22.7360,-878.6032
25.4341,-883.5850
27.8130,-887.3937
30.4208,-891.5689
32.9573,-895.6299
36.0161,-899.9356
38.9712,-903.9153
41.9342,-907.9054
45.0906,-911.8887
48.3704,-915.6049
51.6735,-919.3476
54.9271,-923.0342
58.5886,-926.5690
62.2018,-930.0260
65.8149,-933.4829
69.5889,-936.7598
73.4899,-939.8891
77.3893,-943.0170
81.3391,-946.1075
85.4796,-948.8909
89.6287,-951.6801
93.7706,-954.4644
98.0986,-957.0000
102.4688,-959.4254
106.8372,-961.8497
111.2880,-964.1646
115.8426,-966.2031
120.4050,-968.2450
124.9599,-970.2835
129.6750,-971.9793
134.3920,-973.6296
139.1046,-975.2783
143.9044,-976.7082
148.7082,-977.9649
153.4526,-979.2060
158.6070,-980.3744
163.2744,-981.2064
167.8318,-982.0189
174.3821,-983.0955
177.9814,-983.5919
186.6523,-984.7872
187.7145,-984.9334
193.3534,-985.7244
199.0758,-986.5511
200.0886,-986.6991
205.8598,-987.5427
211.6629,-988.3881
217.4885,-989.2224
223.3348,-990.0346
229.1778,-990.8250
234.9744,-991.5975
240.6027,-992.3358
242.0641,-992.5249
247.8590,-993.2271
252.2501,-993.5585
258.1598,-993.0224
259.6802,-992.6863
265.4488,-988.2244
268.3936,-982.8387
269.4368,-979.6395
270.2730,-976.0315
271.4399,-971.1762
272.9186,-965.6589
274.7700,-959.9407
277.0414,-954.2769
277.5616,-953.1274
280.1688,-947.7483
283.4369,-941.4523
284.9968,-938.4824
285.8353,-936.8858
290.2094,-928.5751
292.3011,-924.6041
294.4336,-920.5557
296.0710,-917.4470
299.4125,-910.9598
301.4991,-906.8639
303.6569,-902.6281
305.6362,-898.7427
308.4500,-893.0025
310.3806,-888.9324
312.4144,-884.6449
314.3522,-880.5596
317.5470,-873.8255
319.0711,-870.6139
321.0322,-866.4814
322.9744,-862.3888
324.5338,-859.1028
328.2353,-851.7021
330.1173,-848.0907
332.2416,-844.0143
334.3819,-839.9072
336.3874,-836.0585
337.6653,-833.6063
342.1690,-825.3531
344.2450,-821.6540
346.5000,-817.6359
348.7518,-813.6236
350.7907,-809.9906
355.0493,-802.4078
356.6680,-799.5286
358.8637,-795.6230
361.1528,-791.5512
363.4000,-787.5541
365.2960,-784.1814
369.3040,-777.0423
371.2456,-773.5795
373.5047,-769.5501
375.8062,-765.4453
378.0243,-761.4893
379.6388,-758.6096
383.6957,-751.3546
385.8214,-747.5468
388.1149,-743.4384
390.4144,-739.3193
392.5641,-735.4685
396.4472,-728.5062
398.1356,-725.4744
400.3814,-721.4419
402.7026,-717.2739
404.9959,-713.1561
407.0218,-709.5182
410.6069,-703.1241
412.6805,-699.4498
415.0236,-695.2982
417.4132,-691.0642
419.7856,-686.8607
421.8056,-683.2815
424.9400,-677.7084
427.2931,-673.5182
429.7137,-669.2080
432.1486,-664.8721
434.5874,-660.5294
437.0256,-656.1304
439.3348,-651.7234
441.6539,-647.2973
443.9707,-642.8755
446.2815,-638.4654
448.5493,-634.1372
450.9228,-629.4089
453.0467,-625.0061
455.2004,-620.5415
457.3500,-616.0855
459.4689,-611.6931
461.2399,-608.0220
463.9235,-602.2053
465.9022,-597.8395
467.9202,-593.3872
