x,z
240.1160,-614.0564
240.2237,-612.0594
240.3313,-610.0624
240.4389,-608.0653
240.5466,-606.0683
240.6542,-604.0713
240.7619,-602.0742
240.8675,-600.0771
240.9731,-598.0800
241.0788,-596.0828
241.1844,-594.0858
241.2900,-592.0886
241.3956,-590.0916
241.5012,-588.0944
241.6068,-586.0973
241.7125,-584.1002
241.8181,-582.1030
241.9237,-580.1059
242.0293,-578.1088
242.1403,-576.1119
242.2512,-574.1151
242.3622,-572.1182
242.4792,-570.1217
242.5962,-568.1252
242.7132,-566.1287
242.8302,-564.1322
242.9473,-562.1357
243.0643,-560.1392
243.1813,-558.1428
243.2983,-556.1464
243.4154,-554.1499
243.5324,-552.1534
243.6494,-550.1570
243.7664,-548.1606
243.8834,-546.1642
244.0005,-544.1678
244.1175,-542.1714
244.2345,-540.1750
244.3515,-538.1786
244.4685,-536.1823
244.5856,-534.1859
244.6989,-532.1893
244.8123,-530.1927
244.9257,-528.1961
245.0390,-526.1995
245.1524,-524.2029
245.2658,-522.2064
245.3753,-520.2095
245.4848,-518.2126
245.5943,-516.2158
245.7038,-514.2189
245.8134,-512.2221
245.9229,-510.2253
246.0324,-508.2284
246.1419,-506.2316
246.2514,-504.2348
246.3585,-502.2378
246.4656,-500.2408
246.5727,-498.2437
246.6798,-496.2467
246.7868,-494.2497
246.8939,-492.2527
247.0010,-490.2557
247.1081,-488.2587
247.2152,-486.2617
247.3223,-484.2647
247.4294,-482.2677
247.5365,-480.2706
247.6435,-478.2736
247.7506,-476.2766
247.8577,-474.2796
247.9648,-472.2826
248.0720,-470.2856
248.1792,-468.2886
248.2863,-466.2916
248.3935,-464.2946
248.5007,-462.2976
248.6079,-460.3006
248.7151,-458.3036
248.8223,-456.3066
248.9295,-454.3097
249.0366,-452.3127
249.1438,-450.3157
249.2510,-448.3187
249.3582,-446.3217
249.4654,-444.3247
249.5726,-442.3278
249.6797,-440.3308
249.7869,-438.3338
249.8941,-436.3369
250.0013,-434.3399
250.1085,-432.3430
250.2157,-430.3460
250.3228,-428.3491
250.4300,-426.3521
250.5372,-424.3552
250.6444,-422.3583
250.7516,-420.3614
250.8588,-418.3644
250.9659,-416.3676
251.0731,-414.3706
251.1803,-412.3737
251.2875,-410.3768
251.3947,-408.3799
251.5014,-406.3830
251.6078,-404.3860
251.7139,-402.3891
251.8196,-400.3921
251.9255,-398.3951
252.0318,-396.3981
252.1387,-394.4012
252.2463,-392.4044
252.3546,-390.4077
252.4632,-388.4110
252.5723,-386.4144
252.6815,-384.4178
252.7906,-382.4212
252.8994,-380.4246
253.0076,-378.4279
253.1152,-376.4311
253.2214,-374.4342
253.3271,-372.4373
253.4326,-370.4404
253.5387,-368.4436
253.6459,-366.4470
253.7549,-364.4505
253.8664,-362.4543
253.9811,-360.4586
254.0996,-358.4633
254.2215,-356.4684
254.3465,-354.4741
254.4738,-352.4801
254.6028,-350.4863
254.7328,-348.4928
254.8633,-346.4993
254.9937,-344.5059
255.1235,-342.5124
255.2531,-340.5189
255.3837,-338.5241
255.5155,-336.5280
255.6490,-334.5320
255.7847,-332.5363
255.9232,-330.5409
256.0651,-328.5459
256.2106,-326.5514
256.3597,-324.5574
256.5124,-322.5638
256.6685,-320.5694
256.8277,-318.5752
256.9898,-316.5814
257.1545,-314.5878
257.3213,-312.5946
257.4897,-310.6015
257.6604,-308.6087
257.8339,-306.6163
258.0101,-304.6240
258.1891,-302.6312
258.3708,-300.6388
258.4103,-298.6263
258.4523,-296.6138
258.4968,-294.6015
258.7216,-292.6149
258.9490,-290.6287
259.1789,-288.6428
259.4114,-286.6567
259.6463,-284.6707
259.8831,-282.6850
260.1218,-280.6995
260.3676,-278.7151
260.6201,-276.7318
260.8788,-274.7493
261.1432,-272.7678
261.4126,-270.7870
261.6865,-268.8062
261.9638,-266.8260
262.2438,-264.8462
262.5258,-262.8668
262.8105,-260.8878
263.0986,-258.9093
263.3907,-256.9315
263.6875,-254.9545
263.9896,-252.9780
264.2974,-251.0022
264.6111,-249.0273
264.9311,-247.0535
265.2567,-245.0806
265.5871,-243.1084
265.9216,-241.1370
266.2595,-239.1662
266.5996,-237.1958
266.9414,-235.2268
267.2838,-233.2581
267.6259,-231.2895
267.9685,-229.3212
268.3129,-227.3534
268.6597,-225.3862
269.0102,-223.4199
269.3652,-221.4547
269.7261,-219.4906
270.0940,-217.5276
270.4697,-215.5663
270.8533,-213.6068
271.2452,-211.6493
271.6453,-209.6938
272.0536,-207.7405
272.4683,-205.7890
272.8873,-203.8389
273.3099,-201.8861
273.7337,-199.9333
274.1567,-197.9804
274.5807,-196.0277
275.0076,-194.0757
275.4391,-192.1249
275.8773,-190.1757
276.3219,-188.2280
276.7728,-186.2815
277.2296,-184.3359
277.6919,-182.3916
278.1590,-180.4485
278.6302,-178.5064
279.1052,-176.5652
279.5831,-174.6247
280.0631,-172.6848
280.5470,-170.7458
281.0364,-168.8089
281.5334,-166.8741
282.0376,-164.9409
282.5485,-163.0094
283.0654,-161.0794
283.5878,-159.1507
284.1152,-157.2233
284.6472,-155.2970
285.1828,-153.3718
285.7212,-151.4487
286.2630,-149.5264
286.8087,-147.6050
287.3589,-145.6847
287.9137,-143.7656
288.4733,-141.8476
289.0378,-139.9309
289.6073,-138.0154
290.1814,-136.1025
290.7603,-134.1917
291.3440,-132.2822
291.9325,-130.3738
292.5254,-128.4665
293.1226,-126.5603
293.7236,-124.6551
294.3279,-122.7507
294.9352,-120.8471
295.5451,-118.9461
296.1585,-117.0460
296.7755,-115.1468
297.3965,-113.2487
298.0218,-111.3517
298.6515,-109.4558
299.2860,-107.5611
299.9255,-105.6678
300.5666,-103.7783
301.2085,-101.8946
301.8534,-100.0111
302.5013,-98.1281
303.1523,-96.2455
303.8063,-94.3634
304.5885,-92.5189
305.3734,-90.6762
306.1609,-88.8353
306.9505,-86.9970
307.6480,-85.1304
308.3459,-83.2638
309.0464,-81.3979
309.7491,-79.5327
310.4542,-77.6680
