x,z
217.5149,-381.4624
222.5168,-381.4653
227.5187,-381.4679
232.5205,-381.4700
237.5222,-381.4718
242.5239,-381.4733
247.5255,-381.4745
252.5270,-381.4753
257.5285,-381.4759
262.5299,-381.4762
267.5314,-381.4762
272.5327,-381.4759
277.5341,-381.4754
282.5354,-381.4747
287.5367,-381.4738
292.5380,-381.4726
297.5393,-381.4713
302.5405,-381.4698
307.5418,-381.4682
312.5431,-381.4664
317.5444,-381.4645
322.5458,-381.4624
327.5471,-381.4603
332.5485,-381.4580
337.5499,-381.4557
342.5514,-381.4533
347.5529,-381.4509
352.5544,-381.4484
357.5560,-381.4459
362.5577,-381.4434
367.5595,-381.4409
372.5613,-381.4385
377.5632,-381.4360
382.5651,-381.4336
387.5672,-381.4313
392.5693,-381.4291
397.5715,-381.4271
402.5738,-381.4252
407.5761,-381.4237
412.5785,-381.4225
417.5809,-381.4216
422.5833,-381.4211
427.5858,-381.4211
432.5883,-381.4216
437.5908,-381.4227
442.5933,-381.4243
447.5958,-381.4266
452.5983,-381.4296
457.6007,-381.4333
462.6032,-381.4378
467.6056,-381.4432
472.6080,-381.4494
477.6104,-381.4566
482.6127,-381.4647
487.6149,-381.4739
492.6171,-381.4841
497.6192,-381.4955
502.6213,-381.5080
507.6232,-381.5217
512.6251,-381.5367
517.6269,-381.5530
522.6285,-381.5707
527.6301,-381.5898
532.6315,-381.6103
537.6328,-381.6323
542.6340,-381.6559
547.6350,-381.6811
552.6359,-381.7080
557.6369,-381.7370
562.6378,-381.7684
567.6390,-381.8025
572.6404,-381.8397
577.6422,-381.8803
582.6445,-381.9246
587.6473,-381.9730
592.6505,-382.0213
597.6538,-382.0588
602.6567,-382.0742
607.6587,-382.0562
612.6594,-381.9934
617.6584,-381.8747
622.6553,-381.6886
627.6495,-381.4238
632.6382,-381.0603
637.6067,-380.5353
642.5365,-379.7733
647.4094,-378.6990
652.2037,-377.2498
656.8817,-375.4247
661.4010,-373.2409
665.7192,-370.7158
669.7950,-367.8664
673.6070,-364.7064
677.1518,-361.2462
680.4262,-357.4960
683.4262,-353.4673
686.1246,-349.1895
688.4739,-344.7082
690.4263,-340.0691
691.9339,-335.3184
692.9777,-330.4929
693.6122,-325.6072
693.9031,-320.6720
693.9161,-315.6985
693.7170,-310.6974
693.3715,-305.6798
692.9454,-300.6566
692.5042,-295.6388
692.0953,-290.6336
691.7203,-285.6398
691.3741,-280.6547
691.0515,-275.6757
690.7472,-270.7001
690.4560,-265.7253
690.1728,-260.7486
689.8924,-255.7673
689.6088,-250.7787
689.3106,-245.7793
688.9837,-240.7652
688.6140,-235.7326
688.2633,-230.6907
688.6112,-225.7553
690.5147,-221.1292
693.8500,-217.2950
698.0244,-214.8596
702.6300,-213.9925
707.5101,-214.2770
712.5255,-215.2551
717.5388,-216.4740
722.4784,-217.6749
727.3592,-218.8535
732.2022,-220.0228
737.0282,-221.1956
741.8545,-222.3827
746.6841,-223.5858
751.5163,-224.8045
756.3506,-226.0382
761.1864,-227.2864
766.0231,-228.5486
770.8601,-229.8244
775.6968,-231.1133
780.5327,-232.4146
785.3670,-233.7280
790.1994,-235.0530
795.0290,-236.3889
799.8554,-237.7354
804.6780,-239.0920
809.4962,-240.4581
814.3093,-241.8332
819.1169,-243.2167
823.9196,-244.6067
828.7189,-245.9998
833.5164,-247.3929
838.3134,-248.7828
843.1117,-250.1663
847.9126,-251.5401
852.7178,-252.9012
857.5285,-254.2470
862.3439,-255.5866
867.1614,-256.9375
871.9785,-258.3171
876.7931,-259.7395
881.6113,-261.1646
886.4451,-262.5128
891.3064,-263.7034
896.2076,-264.6561
901.1515,-265.3121
906.1222,-265.6589
911.1014,-265.6898
916.0707,-265.3980
921.0116,-264.7768
925.9057,-263.8197
930.7347,-262.5198
935.4801,-260.8705
940.1087,-258.8651
944.5571,-256.4970
948.7579,-253.7597
952.6442,-250.6465
956.1760,-247.1690
959.3691,-243.3752
962.2463,-239.3178
964.8302,-235.0492
967.1486,-230.6214
969.2635,-226.0810
971.2507,-221.4728
973.1863,-216.8414
975.1377,-212.2264
977.1179,-207.6335
979.1177,-203.0552
981.1277,-198.4835
983.1389,-193.9108
985.1471,-189.3335
987.1538,-184.7528
989.1609,-180.1701
991.1701,-175.5869
993.1834,-171.0047
995.2026,-166.4248
997.2295,-161.8488
999.2661,-157.2780
1001.3135,-152.7136
1003.3712,-148.1550
1005.4378,-143.6015
1007.5122,-139.0523
1009.5934,-134.5066
1011.6801,-129.9637
1013.7711,-125.4227
1015.8654,-120.8829
1017.9616,-116.3436
1020.0588,-111.8038
1022.1557,-107.2629
1024.2512,-102.7200
1026.3440,-98.1744
1028.4331,-93.6253
1030.5173,-89.0720
1032.5954,-84.5136
1034.6667,-79.9499
1036.7364,-75.3873
1038.8135,-70.8368
1040.9071,-66.3092
1043.0262,-61.8138
1045.1783,-57.3391
1047.3702,-52.8597
1049.6083,-48.3501
1051.8969,-43.7836
1053.9428,-39.0395
1054.5186,-34.2936
1052.4679,-30.2460
1048.7194,-26.9312
1044.7142,-23.8746
1040.6169,-20.9809
1036.4578,-18.1964
1032.2671,-15.4675
1028.0713,-12.7469
1023.8767,-10.0236
1019.6826,-7.2988
1015.4883,-4.5736
1011.2931,-1.8495
1007.0961,0.8724
1002.8967,3.5908
998.6942,6.3044
994.4878,9.0120
990.2767,11.7124
986.0604,14.4042
981.8379,17.0861
977.6086,19.7571
973.3718,22.4157
969.1267,25.0607
964.8727,27.6909
960.6089,30.3050
956.3352,32.9028
952.0522,35.4849
947.7601,38.0521
943.4595,40.6049
939.1508,43.1443
934.8344,45.6707
930.5108,48.1851
926.1805,50.6879
921.8438,53.1800
917.5013,55.6621
913.1533,58.1349
908.8003,60.5990
904.4428,63.0552
900.0812,65.5041
895.7159,67.9466
891.3474,70.3832
886.9761,72.8147
882.6023,75.2416
878.2262,77.6641
873.8480,80.0827
869.4679,82.4977
865.0860,84.9095
860.7027,87.3184
856.3180,89.7249
851.9322,92.1291
847.5455,94.5316
843.1580,96.9326
838.7700,99.3325
834.3817,101.7318
829.9932,104.1306
825.6048,106.5294
821.2167,108.9286
816.8290,111.3285
812.4420,113.7296
808.0562,116.1329
803.6719,118.5392
799.2897,120.9494
794.9098,123.3643
790.5328,125.7850
786.1591,128.2122
781.7890,130.6469
777.4196,133.0826
773.0300,135.4752
768.5943,137.7693
764.0861,139.9091
759.4855,141.8512
754.8032,143.6109
750.0595,145.2223
745.2747,146.7193
740.4686,148.1349
735.6497,149.4822
730.8167,150.7561
725.9675,151.9507
721.1003,153.0602
716.2132,154.0786
711.3043,155.0002
706.3716,155.8190
701.4136,156.5289
696.4340,157.1145
691.4414,157.5528
686.4446,157.8202
681.4522,157.8957
676.4663,157.8059
671.4833,157.6201
666.4996,157.4097
661.5113,157.2456
656.5168,157.1638
651.5197,157.1077
646.5242,157.0058
641.5350,156.7865
636.5544,156.4107
631.5795,155.9245
626.6065,155.3876
621.6317,154.8596
616.6516,154.3952
611.6659,154.0041
606.6755,153.6727
601.6816,153.3869
596.6853,153.1331
591.6876,152.8974
586.6896,152.6658
581.6925,152.4246
576.6973,152.1599
571.7045,151.8645
566.7141,151.5401
561.7257,151.1895
556.7391,150.8153
551.7541,150.4202
546.7704,150.0069
541.7877,149.5780
536.8059,149.1363
531.8247,148.6843
526.8439,148.2247
521.8631,147.7602
516.8822,147.2935
511.9010,146.8273
506.9191,146.3641
501.9363,145.9067
496.9524,145.4578
491.9673,145.0196
486.9813,144.5926
481.9951,144.1767
477.0092,143.7720
472.0240,143.3784
467.0403,142.9960
462.0585,142.6246
457.0791,142.2642
452.1024,141.9158
447.1214,141.5963
442.1233,141.3359
437.0949,141.1654
432.0289,141.0962
427.0136,140.8129
422.2182,139.7457
417.8269,137.6448
414.0337,134.5348
410.8722,130.6007
407.9948,126.3878
405.1124,122.2991
402.2050,118.2777
399.2844,114.2387
396.3442,110.1895
393.3756,106.1503
390.3699,102.1416
387.3222,98.1756
384.2369,94.2453
381.1200,90.3410
377.9773,86.4528
374.8201,82.5693
371.6729,78.6741
368.5620,74.7507
365.5135,70.7821
362.5433,66.7592
359.5876,62.7307
356.5458,58.7722
353.3168,54.9595
349.8095,51.3697
346.0054,48.0903
341.9203,45.2140
337.5698,42.8330
332.9701,41.0375
328.1595,39.8173
323.2053,39.0302
318.1767,38.5253
313.1422,38.1532
308.1374,37.8228
303.1557,37.5196
298.1872,37.2341
293.2224,36.9568
288.2532,36.6797
283.2786,36.4006
278.2993,36.1187
273.3157,35.8333
268.3285,35.5436
263.3382,35.2488
258.3456,34.9482
253.3512,34.6409
248.3556,34.3262
243.3594,34.0034
238.3632,33.6716
233.3675,33.3302
228.3732,32.9783
223.3806,32.6151
218.3904,32.2399
213.4033,31.8520
208.4197,31.4508
203.4390,31.0412
198.4601,30.6318
193.4813,30.2312
188.5015,29.8480
183.5192,29.4910
178.5330,29.1687
173.5416,28.8899
168.5436,28.6630
163.5399,28.4940
158.5324,28.3871
153.5231,28.3464
148.5141,28.3761
143.5074,28.4803
138.5052,28.6632
133.5095,28.9288
128.5222,29.2813
123.5450,29.7228
118.5782,30.2508
113.6219,30.8626
108.6766,31.5552
103.7423,32.3257
98.8194,33.1712
93.9080,34.0889
89.0084,35.0759
84.1208,36.1292
79.2455,37.2461
74.3827,38.4236
69.5325,39.6588
64.6953,40.9488
59.8713,42.2908
55.0607,43.6819
50.2637,45.1191
45.4809,46.6004
40.7140,48.1283
35.9656,49.7073
31.2383,51.3420
26.5345,53.0369
21.8568,54.7966
17.2076,56.6255
12.5894,58.5283
8.0048,60.5093
3.4551,62.5699
-1.0596,64.7078
-5.5395,66.9204
-9.9843,69.2053
-14.3943,71.5598
-18.7694,73.9816
-23.1097,76.4681
-27.4150,79.0168
-31.6856,81.6252
-35.9215,84.2909
-40.1231,87.0115
-44.2904,89.7848
-48.4237,92.6082
-52.5233,95.4795
-56.5894,98.3963
-60.6220,101.3562
-64.6211,104.3577
-68.5846,107.4027
-72.5101,110.4936
-76.3954,113.6328
-80.2380,116.8227
-84.0356,120.0657
-87.7860,123.3643
-91.4867,126.7210
-95.1355,130.1379
-98.7308,133.6149
-102.2716,137.1505
-105.7569,140.7428
-109.1856,144.3904
-112.5567,148.0913
-115.8692,151.8441
-119.1220,155.6470
-122.3142,159.4983
-125.4470,163.3953
-128.5262,167.3333
-131.5581,171.3076
-134.5488,175.3132
-137.5045,179.3452
-140.4316,183.3990
-143.3362,187.4694
