x,z
423.8491,-273.6252
428.8516,-273.5898
433.8541,-273.5584
438.8567,-273.5314
443.8593,-273.5088
448.8618,-273.4909
453.8645,-273.4778
458.8671,-273.4697
463.8698,-273.4667
468.8725,-273.4688
473.8752,-273.4758
478.8779,-273.4871
483.8807,-273.5023
488.8834,-273.5212
493.8862,-273.5434
498.8890,-273.5683
503.8919,-273.5957
508.8947,-273.6252
513.8975,-273.6564
518.9004,-273.6889
523.9032,-273.7224
528.9061,-273.7563
533.9090,-273.7905
538.9118,-273.8243
543.9147,-273.8576
548.9176,-273.8899
553.9205,-273.9208
558.9233,-273.9500
563.9262,-273.9770
568.9290,-274.0014
573.9319,-274.0230
578.9347,-274.0412
583.9376,-274.0558
588.9404,-274.0663
593.9432,-274.0723
598.9460,-274.0736
603.9488,-274.0698
608.9515,-274.0610
613.9543,-274.0472
618.9570,-274.0283
623.9596,-274.0044
628.9622,-273.9754
633.9648,-273.9414
638.9673,-273.9022
643.9698,-273.8580
648.9722,-273.8087
653.9745,-273.7543
658.9768,-273.6948
663.9790,-273.6302
668.9812,-273.5629
673.9836,-273.4986
678.9863,-273.4433
683.9896,-273.4031
688.9937,-273.3839
693.9987,-273.3916
699.0046,-273.4285
704.0066,-273.4321
708.9962,-273.2860
713.9646,-272.8743
718.9085,-272.1658
723.8314,-271.2482
728.7375,-270.2180
733.6299,-269.1613
738.5048,-268.0813
743.3550,-266.9418
748.1732,-265.7062
752.9521,-264.3382
757.6845,-262.8013
762.3629,-261.0594
766.9740,-259.0922
771.4965,-256.9004
775.9083,-254.4863
780.1877,-251.8522
784.3127,-249.0003
788.2613,-245.9329
792.0132,-242.6530
795.5696,-239.1752
798.9490,-235.5228
802.1701,-231.7195
805.2520,-227.7890
808.2132,-223.7550
811.0728,-219.6412
813.8465,-215.4687
816.5277,-211.2403
819.0998,-206.9507
821.5463,-202.5945
823.8506,-198.1664
825.9960,-193.6610
827.9661,-189.0729
829.7467,-184.3999
831.3334,-179.6517
832.7242,-174.8411
833.9168,-169.9805
834.9092,-165.0828
835.6992,-160.1605
836.2846,-155.2262
836.6340,-150.2811
836.6549,-145.3019
836.2471,-140.2625
835.1987,-135.2924
832.9043,-131.0806
829.2651,-127.9408
824.8989,-125.5795
820.2142,-123.8050
815.3360,-122.5800
810.3743,-121.8755
805.4030,-121.6283
800.4301,-121.7118
795.4565,-121.9929
790.4828,-122.3445
785.5078,-122.7099
780.5290,-123.0774
775.5437,-123.4358
770.5494,-123.7742
765.5435,-124.0814
760.5236,-124.3463
755.4925,-124.5471
750.4856,-124.5993
745.5493,-124.3957
740.7296,-123.7955
736.0613,-122.2844
731.5553,-119.6987
727.1563,-117.5895
722.5329,-116.4543
717.2907,-115.6356
712.1663,-115.8658
707.8451,-117.7750
704.2564,-120.9655
701.2552,-124.9392
698.6974,-129.2287
696.4450,-133.6585
694.3640,-138.2132
692.3178,-142.8725
690.1256,-147.4806
687.5658,-151.7566
684.4149,-155.4147
680.4844,-158.1556
675.7615,-159.6151
670.6098,-159.5482
665.8466,-157.9296
662.1279,-154.8674
659.6697,-150.6611
657.8838,-145.9249
656.2550,-141.1369
654.7049,-136.3542
653.2165,-131.5746
651.7734,-126.7957
650.3586,-122.0151
648.9555,-117.2305
647.5493,-112.4399
646.1402,-107.6425
644.7348,-102.8385
643.3402,-98.0281
641.9632,-93.2112
640.6107,-88.3881
639.2894,-83.5589
638.0048,-78.7236
636.7557,-73.8822
635.5394,-69.0346
634.3531,-64.1809
633.1941,-59.3210
632.0598,-54.4548
630.9474,-49.5822
629.8541,-44.7033
628.7774,-39.8180
627.7144,-34.9263
626.6624,-30.0280
625.6188,-25.1231
624.5807,-20.2117
623.5435,-15.2945
622.4305,-10.4017
621.0748,-5.6005
619.3041,-0.9609
616.9593,3.3595
613.9084,7.0169
610.0234,9.6439
605.2806,11.0229
600.0450,11.4924
594.7716,11.5197
589.8306,11.5160
585.0227,11.5144
580.0765,11.4441
575.0549,11.3406
570.0301,11.2376
565.0098,11.1384
559.9934,11.0426
554.9806,10.9498
549.9710,10.8595
544.9642,10.7715
539.9598,10.6854
534.9574,10.6006
529.9566,10.5169
524.9570,10.4338
519.9581,10.3510
514.9597,10.2681
509.9613,10.1846
504.9624,10.1002
499.9631,10.0148
494.9633,9.9285
489.9630,9.8413
484.9623,9.7534
479.9612,9.6649
474.9597,9.5757
469.9579,9.4861
464.9559,9.3961
459.9535,9.3058
454.9510,9.2153
449.9482,9.1246
444.9453,9.0339
439.9422,8.9432
434.9391,8.8526
429.9358,8.7623
424.9326,8.6722
419.9293,8.5825
414.9261,8.4934
409.9229,8.4047
404.9199,8.3167
399.9170,8.2295
394.9142,8.1431
389.9116,8.0576
384.9093,7.9730
379.9072,7.8896
374.9054,7.8074
369.9039,7.7263
364.9028,7.6464
359.9018,7.5670
354.9011,7.4877
349.9004,7.4080
344.8997,7.3274
339.8990,7.2454
334.8981,7.1615
329.8971,7.0752
324.8958,6.9861
319.8941,6.8935
314.8920,6.7972
309.8894,6.6964
304.8863,6.5908
299.8826,6.4811
294.8785,6.3699
289.8743,6.2601
284.8702,6.1545
279.8663,6.0562
274.8628,5.9680
269.8601,5.8927
264.8582,5.8332
259.8573,5.7925
254.8578,5.7735
249.8597,5.7789
244.8633,5.8118
239.8688,5.8749
234.8783,5.9848
229.9132,6.2968
225.0065,7.0480
220.1883,8.4533
215.4250,10.2106
210.6325,11.6487
205.7904,12.8183
200.9163,13.9493
196.0556,15.1620
191.2561,16.5665
186.5473,18.2270
181.9062,20.0769
177.3003,22.0260
172.6980,23.9864
168.0832,25.9132
163.4545,27.8033
158.8114,29.6549
154.1532,31.4664
149.4794,33.2364
144.7893,34.9630
140.0822,36.6448
135.3575,38.2801
130.6146,39.8672
125.8529,41.4047
121.0717,42.8908
116.2705,44.3240
111.4485,45.7026
106.6091,47.0339
101.7751,48.3688
96.9750,49.7716
92.2377,51.3066
87.5918,53.0380
83.0661,55.0302
78.6876,57.3439
74.4541,59.9680
70.3367,62.8272
66.3061,65.8444
62.3789,68.9927
58.6407,72.3205
55.1831,75.8826
52.0862,79.7262
49.3333,83.8314
46.8572,88.1436
44.5901,92.6080
42.4644,97.1695
40.4126,101.7733
38.3670,106.3645
36.2733,110.9009
34.1382,115.3970
31.9856,119.8837
29.8283,124.3834
27.5875,128.8474
25.1388,133.1918
22.3573,137.3321
19.1592,141.1845
15.5613,144.6665
11.5952,147.6955
7.3001,150.2066
2.7454,152.2105
-1.9908,153.7388
-6.8313,154.8233
-11.7264,155.5087
-16.6642,155.8582
-21.6356,155.9360
-26.6314,155.8064
-31.6426,155.5335
-36.6600,155.1818
-41.6749,154.8133
-46.6838,154.4559
-51.6872,154.1102
-56.6859,153.7759
-61.6806,153.4530
-66.6722,153.1411
-71.6614,152.8401
-76.6489,152.5498
-81.6355,152.2701
-86.6219,152.0006
-91.6089,151.7412
-96.5972,151.4918
-101.5876,151.2521
-106.5809,151.0219
-111.5776,150.8035
-116.5782,150.6089
-121.5828,150.4524
-126.5917,150.3485
-131.6051,150.3115
-136.6233,150.3560
-141.6441,150.5028
-146.6300,150.8665
-151.5170,151.6326
-156.2418,152.9836
-160.7926,154.9283
-165.2230,157.2547
-169.5909,159.7373
-173.9441,162.1834
-178.2607,164.6336
-182.4888,167.2283
-186.5768,170.1015
-190.4759,173.2899
-194.1396,176.7593
-197.5214,180.4738
-200.5963,184.3963
-203.4182,188.4841
-206.0593,192.6935
-208.5917,196.9807
-211.0878,201.3019
-213.6197,205.6132
-216.2593,209.8711
-219.0591,214.0362
-222.0313,218.0790
-225.1833,221.9707
-228.5226,225.6828
-232.0567,229.1867
-235.7929,232.4537
-239.7350,235.4615
-243.8620,238.2269
-248.1434,240.7829
-252.5486,243.1622
-257.0468,245.3976
-261.6075,247.5220
-266.2002,249.5681
-270.7998,251.5642
-275.4018,253.5230
-280.0055,255.4538
-284.6106,257.3660
-289.2165,259.2688
-293.8227,261.1716
-298.4286,263.0842
-303.0150,265.0557
-307.5277,267.2109
-311.9084,269.6828
-316.0615,272.5831
-319.7666,275.9517
-322.7772,279.8139
-324.8568,284.1909
-326.0266,289.0020
-326.5873,294.0561
-326.8526,299.1573
-327.0386,304.1867
-327.1859,309.1644
-327.3165,314.1256
-327.4476,319.0973
-327.5811,324.0817
-327.7163,329.0764
-327.8522,334.0787
-327.9880,339.0859
-328.1227,344.0957
-328.2554,349.1053
-328.3857,354.1131
-328.5138,359.1192
-328.6400,364.1237
-328.7646,369.1268
-328.8879,374.1287
-329.0101,379.1296
-329.1317,384.1298
-329.2528,389.1292
-329.3738,394.1282
-329.4950,399.1270
-329.6166,404.1257
-329.7391,409.1245
-329.8626,414.1236
-329.9875,419.1232
-330.1137,424.1233
-330.2410,429.1238
-330.3693,434.1248
-330.4983,439.1262
-330.6278,444.1278
-330.7577,449.1297
-330.8878,454.1319
-331.0179,459.1343
-331.1477,464.1367
-331.2771,469.1393
-331.4058,474.1419
-331.5338,479.1445
-331.6607,484.1471
-331.7864,489.1495
-331.9108,494.1518
-332.0335,499.1540
-332.1545,504.1558
-332.2734,509.1574
-332.3902,514.1587
-332.5046,519.1595
-332.6165,524.1600
-332.7255,529.1599
-332.8317,534.1594
-332.9346,539.1583
-333.0342,544.1565
-333.1303,549.1541
-333.2230,554.1511
-333.3192,559.1483
-333.4322,564.1478
-333.5754,569.1514
-333.7625,574.1612
-334.0068,579.1789
-334.3221,584.2065
-334.7960,589.2095
-335.7162,594.0560
-337.4029,598.5979
-340.1004,602.6889
-343.6922,606.1924
-347.9558,608.9741
-352.6682,610.9003
-357.5918,611.8500
-362.4675,611.7208
-367.0344,610.4123
-371.1393,607.9509
-374.8921,604.6735
-378.4423,600.9639
-381.9345,597.1925
-385.4329,593.5161
-388.9360,589.9164
-392.4406,586.3703
-395.9434,582.8545
-399.4410,579.3458
-402.9300,575.8208
-406.4081,572.2595
-409.8792,568.6643
-413.3505,565.0489
-416.8291,561.4268
-420.3222,557.8115
-423.8370,554.2166
-427.3800,550.6550
-430.9391,547.1204
-434.4767,543.5802
-437.9536,540.0003
-441.3304,536.3463
-444.5681,532.5840
-447.6273,528.6791
-450.4418,524.5817
-452.5389,520.0043
-453.1175,514.8597
-451.3432,510.5529
-447.5143,507.5925
-443.1941,504.9998
-438.8483,502.4899
-434.4453,500.1076
-429.9828,497.8547
-425.4718,495.7147
-420.9227,493.6709
-416.3364,491.7046
-411.7070,489.7959
-407.0283,487.9249
-402.3561,486.0222
-397.9730,483.8304
-394.2793,480.7972
-391.7887,476.3129
-391.2296,471.2857
-392.6266,466.6091
-394.6126,462.0498
-396.5904,457.4709
-398.5619,452.8785
-400.5390,448.2809
-402.5333,443.6863
-404.5566,439.1033
-406.6206,434.5400
-408.7345,430.0033
-410.8916,425.4901
-413.0796,420.9937
-415.2862,416.5078
-417.4990,412.0256
-419.7058,407.5407
-421.8943,403.0466
-424.0554,398.5383
-426.1897,394.0164
-428.3002,389.4824
-430.3895,384.9378
-432.4604,380.3843
-434.5156,375.8234
-436.5578,371.2565
-438.5890,366.6848
-440.6098,362.1085
-442.6206,357.5278
-444.6218,352.9430
-446.6139,348.3542
-448.5972,343.7616
-450.5723,339.1653
-452.5395,334.5657
-454.4992,329.9628
-456.4520,325.3569
-458.3982,320.7482
-460.3382,316.1368
-462.2726,311.5229
-464.2016,306.9067
-466.1258,302.2885
-468.0456,297.6684
-469.9613,293.0465
-471.8735,288.4232
-473.7826,283.7985
-475.6889,279.1727
-477.5930,274.5460
-479.4953,269.9185
-481.3961,265.2904
-483.2959,260.6620
-485.1951,256.0334
-487.0943,251.4048
-488.9937,246.7764
-490.8937,242.1484
