x,z
73.0835,1.3596
72.9347,-0.6343
72.7843,-2.6281
72.6331,-4.6219
72.4814,-6.6157
72.3298,-8.6094
72.1783,-10.6032
72.0279,-12.5970
71.8784,-14.5909
71.7302,-16.5849
71.5821,-18.5789
71.4333,-20.5729
71.2838,-22.5668
71.1339,-24.5606
70.9839,-26.5545
70.8341,-28.5483
70.6844,-30.5422
70.5351,-32.5361
70.3862,-34.5300
70.2376,-36.5239
70.0893,-38.5178
69.9412,-40.5117
69.7932,-42.5056
69.6449,-44.4995
69.4964,-46.4934
69.3474,-48.4872
69.1978,-50.4809
69.0475,-52.4747
68.8963,-54.4683
68.7438,-56.4619
68.5897,-58.4553
68.4341,-60.4486
68.2776,-62.4418
68.1207,-64.4350
67.9640,-66.4282
67.8078,-68.4214
67.6523,-70.4146
67.4978,-72.4081
67.3450,-74.4017
67.1922,-76.3953
67.0395,-78.3891
66.8867,-80.3829
66.7339,-82.3762
66.5811,-84.3695
66.4388,-86.3637
66.3027,-88.3585
66.1688,-90.3533
66.0328,-92.3479
65.8908,-94.3420
65.7386,-96.3354
65.5864,-98.3287
65.4342,-100.3219
65.2820,-102.3151
65.1295,-104.3082
64.9769,-106.3013
64.8244,-108.2944
64.6718,-110.2874
64.5193,-112.2804
64.3668,-114.2733
64.2142,-116.2662
64.0617,-118.2591
63.9092,-120.2519
63.7567,-122.2448
63.6041,-124.2377
63.4516,-126.2306
63.2991,-128.2235
63.1465,-130.2165
62.9940,-132.2095
62.8361,-134.2021
62.6782,-136.1947
62.5203,-138.1874
62.3624,-140.1802
62.2045,-142.1730
62.0466,-144.1658
61.8887,-146.1586
61.7307,-148.1515
61.5718,-150.1443
61.4128,-152.1372
61.2537,-154.1301
61.0947,-156.1230
60.9357,-158.1160
60.7767,-160.1089
60.6177,-162.1019
60.4587,-164.0950
60.2996,-166.0880
60.1406,-168.0811
59.9816,-170.0742
59.8225,-172.0673
59.6635,-174.0604
59.5045,-176.0535
59.3455,-178.0466
59.1865,-180.0397
59.0274,-182.0327
58.8684,-184.0258
58.7094,-186.0189
58.5499,-188.0119
58.3920,-190.0051
58.2376,-191.9985
58.0888,-193.9925
57.9475,-195.9870
57.8126,-197.9821
57.6877,-199.9781
57.5675,-201.9745
57.4476,-203.9710
57.3232,-205.9671
57.1896,-207.9623
57.0402,-209.9563
56.8875,-211.9492
56.7445,-213.9415
56.6240,-215.9355
