x,z
350.5791,210.3193
350.9212,205.4268
351.3410,199.4240
351.8170,192.6188
352.3057,185.4798
352.7074,179.2733
353.1141,172.9904
353.5196,166.7256
353.7421,160.6562
353.8017,154.4705
353.8625,148.1570
353.9228,141.8984
353.6841,135.5419
353.3161,129.2757
352.9479,123.0058
352.4223,115.2220
351.7787,110.3703
350.9587,104.1882
350.0155,97.5976
348.9040,91.6969
347.6467,85.3887
346.1008,79.2506
344.3910,72.7548
342.6335,66.9169
340.4844,59.7386
339.4159,56.1318
337.5652,48.8664
335.9610,40.8629
335.6071,38.6938
334.5681,30.5829
333.9611,23.1139
333.7343,18.8296
333.3195,12.3511
331.8726,4.1552
330.7552,1.6061
325.1685,-4.9177
323.5190,-5.7862
316.3466,-8.5021
311.5786,-9.4245
305.2001,-10.4581
298.4413,-11.4354
294.0220,-12.0351
286.7794,-13.0115
279.6755,-13.9707
275.5644,-14.5311
268.5420,-15.4428
265.7255,-15.7980
256.4199,-16.8801
251.8012,-17.4061
244.0003,-18.3050
238.7578,-18.9116
231.4454,-19.8782
225.9875,-20.6648
218.4522,-21.9359
213.5080,-22.9363
205.4809,-24.6737
200.4375,-25.9478
195.4019,-27.2198
186.8139,-29.4836
181.1961,-30.9769
173.6800,-33.0004
166.2151,-35.0137
158.7969,-37.0168
150.8551,-39.1595
142.9569,-41.2852
134.5362,-43.4897
129.3414,-44.8215
122.1131,-46.4366
117.3233,-47.3522
108.8601,-48.8278
104.8374,-49.4080
100.1826,-50.0794
92.4215,-51.1229
86.3418,-51.9160
79.9523,-52.7814
74.0511,-53.5988
67.7167,-54.5931
62.1292,-55.6861
58.1454,-56.4654
49.8118,-58.8379
45.0795,-60.3583
37.9025,-63.1068
32.2327,-65.5063
26.2311,-68.1851
20.5358,-70.8668
14.2915,-73.8365
8.4232,-76.6854
2.5782,-79.4937
-2.8035,-81.9504
-7.9673,-84.3077
-15.0030,-87.1043
-19.9778,-89.0042
-27.1735,-91.3626
-32.4694,-92.9079
-40.2217,-94.8153
-45.3361,-95.8117
-53.4552,-97.2423
-58.4910,-97.9519
-62.5381,-98.5222
-71.0954,-99.6533
-76.1645,-100.3078
-83.5982,-101.2996
-88.1667,-101.9217
-95.7164,-102.9799
-103.1227,-104.0723
-107.8041,-104.8295
-114.6457,-106.0788
-119.8789,-107.1643
-126.7614,-109.0983
-133.1297,-111.2155
-138.4526,-113.5471
-143.9222,-116.2285
-149.3884,-119.3940
-154.5587,-122.8984
-159.5730,-126.5569
-164.4483,-130.9183
-169.2453,-135.5387
-173.1811,-139.9240
-177.2441,-145.3320
-179.7410,-149.2303
-183.0593,-156.3343
-184.3239,-159.6884
-185.7264,-167.9786
-186.0042,-175.3887
-185.6491,-180.0075
-184.9726,-186.3907
-183.9969,-192.1352
-182.5065,-198.3575
-180.8141,-203.9055
-178.4038,-210.0586
-175.2222,-216.9697
-173.0667,-220.5401
-168.9089,-226.3711
-163.7658,-232.2943
-161.0656,-235.0928
-156.1263,-240.0826
-151.1138,-245.0632
-147.6125,-248.5927
-143.2998,-253.2538
-138.8859,-258.7510
-136.6705,-262.6960
-134.3197,-269.6236
-133.9221,-272.1353
-134.6511,-280.0710
-136.9099,-286.9822
-138.9561,-291.4070
-141.7859,-297.1038
-144.9380,-303.0548
-147.3614,-307.3382
-150.8649,-313.1642
-154.7287,-319.0853
-156.9717,-322.2634
-161.3508,-328.2247
-165.4408,-333.6613
-168.0718,-337.1272
-172.3817,-342.7510
-176.1525,-347.6268
-179.7608,-352.2506
-184.9320,-358.8177
-189.8265,-365.0276
-194.7155,-371.2372
-199.6092,-377.4631
-204.5466,-383.7507
-209.6507,-390.2469
-213.4040,-395.0179
-218.6606,-401.6795
-223.7707,-408.1488
-228.6212,-414.3010
-233.0161,-419.8927
-239.3687,-428.0412
-243.6361,-433.5490
-247.7609,-438.8551
-251.6152,-443.7489
-255.7187,-448.3765
-260.7316,-451.9083
-267.2535,-453.3003
