x,z
776.6631,-392.0339
781.6555,-392.2793
786.6480,-392.5208
791.6408,-392.7537
796.6338,-392.9735
801.6272,-393.1756
806.6211,-393.3556
811.6154,-393.5089
816.6104,-393.6309
821.6061,-393.7170
826.6025,-393.7649
831.5994,-393.7766
836.5967,-393.7549
841.5941,-393.7026
846.5916,-393.6223
851.5888,-393.5169
856.5858,-393.3892
861.5822,-393.2417
866.5778,-393.0774
871.5726,-392.8985
876.5666,-392.7051
881.5596,-392.4968
886.5518,-392.2732
891.5431,-392.0339
896.5336,-391.7786
901.5232,-391.5069
906.5119,-391.2183
911.4999,-390.9126
916.4870,-390.5905
921.4736,-390.2557
926.4599,-389.9123
931.4459,-389.5645
936.4321,-389.2162
941.4185,-388.8715
946.4054,-388.5346
951.3930,-388.2095
956.3815,-387.9002
961.3711,-387.6097
966.3616,-387.3357
971.3528,-387.0749
976.3445,-386.8239
981.3365,-386.5792
986.3287,-386.3374
991.3207,-386.0951
996.3125,-385.8488
1001.3037,-385.5952
1006.2943,-385.3308
1011.2839,-385.0521
1016.2724,-384.7558
1021.2596,-384.4384
1026.2453,-384.0965
1031.2293,-383.7267
1036.2114,-383.3256
1041.1913,-382.8897
1046.1689,-382.4156
1051.1438,-381.8999
1056.1145,-381.3395
1061.0796,-380.7311
1066.0375,-380.0716
1070.9867,-379.3579
1075.9254,-378.5869
1080.8523,-377.7552
1085.7656,-376.8599
1090.6639,-375.8978
1095.5456,-374.8656
1100.4091,-373.7602
1105.2528,-372.5786
1110.0752,-371.3175
1114.8747,-369.9737
1119.6497,-368.5442
1124.3987,-367.0258
1129.1201,-365.4152
1133.8123,-363.7095
1138.4737,-361.9054
1143.1013,-360.0016
1147.6908,-357.9977
1152.2381,-355.8936
1156.7391,-353.6892
1161.1895,-351.3842
1165.5851,-348.9785
1169.9218,-346.4718
1174.1954,-343.8639
1178.4017,-341.1548
1182.5366,-338.3442
1186.5957,-335.4318
1190.5750,-332.4177
1194.4703,-329.3014
1198.2773,-326.0829
1201.9920,-322.7620
1205.6100,-319.3384
1209.1273,-315.8121
1212.5397,-312.1828
1215.8434,-308.4520
1219.0352,-304.6223
1222.1118,-300.6962
1225.0699,-296.6765
1227.9061,-292.5656
1230.6173,-288.3662
1233.2000,-284.0810
1235.6510,-279.7124
1237.9664,-275.2635
1240.1372,-270.7388
1242.1524,-266.1440
1244.0007,-261.4844
1245.6708,-256.7658
1247.1514,-251.9936
1248.4315,-247.1734
1249.4996,-242.3107
1250.3446,-237.4111
1250.9544,-232.4804
1251.3018,-227.5291
1251.3471,-222.5713
1251.0506,-217.6212
1250.3724,-212.6932
1249.2958,-207.8042
1247.8595,-202.9770
1246.1100,-198.2354
1244.0939,-193.6035
1241.8544,-189.1036
1239.4057,-184.7485
1236.7480,-180.5461
1233.8817,-176.5043
1230.8071,-172.6311
1227.5246,-168.9343
1224.0345,-165.4218
1220.3369,-162.1016
1216.4324,-158.9816
1212.3219,-156.0709
1208.0202,-153.4023
1203.5528,-151.0271
1198.9458,-148.9974
1194.2250,-147.3650
1189.4144,-146.1447
1184.5336,-145.2632
1179.6011,-144.6343
1174.6357,-144.1718
1169.6560,-143.7901
1164.6732,-143.4370
1159.6882,-143.1064
1154.7014,-142.7953
1149.7130,-142.5008
1144.7234,-142.2202
1139.7327,-141.9506
1134.7413,-141.6891
1129.7494,-141.4329
1124.7573,-141.1791
1119.7653,-140.9256
1114.7733,-140.6722
1109.7813,-140.4188
1104.7893,-140.1654
1099.7974,-139.9121
1094.8056,-139.6588
1089.8137,-139.4055
1084.8219,-139.1523
1079.8302,-138.8991
1074.8385,-138.6459
1069.8468,-138.3927
1064.8551,-138.1395
1059.8635,-137.8863
1054.8719,-137.6331
1049.8803,-137.3799
1044.8887,-137.1268
1039.8972,-136.8736
1034.9057,-136.6204
1029.9143,-136.3671
1024.9228,-136.1139
1019.9314,-135.8606
1014.9400,-135.6073
1009.9487,-135.3540
1004.9573,-135.1006
999.9660,-134.8472
994.9747,-134.5937
989.9834,-134.3402
984.9921,-134.0866
980.0009,-133.8330
975.0097,-133.5793
970.0184,-133.3256
965.0272,-133.0718
960.0361,-132.8179
955.0449,-132.5640
950.0537,-132.3099
945.0626,-132.0558
940.0715,-131.8016
935.0804,-131.5473
930.0892,-131.2929
925.0981,-131.0385
920.1070,-130.7839
915.1160,-130.5292
910.1249,-130.2744
905.1338,-130.0195
900.1428,-129.7644
895.1517,-129.5093
890.1606,-129.2540
885.1696,-128.9986
880.1785,-128.7431
875.1875,-128.4874
870.1964,-128.2316
865.2054,-127.9756
860.2143,-127.7195
855.2233,-127.4633
850.2322,-127.2069
845.2412,-126.9503
840.2501,-126.6936
835.2590,-126.4367
830.2680,-126.1796
825.2769,-125.9224
820.2858,-125.6649
815.2947,-125.4073
810.3036,-125.1496
805.3125,-124.8916
800.3214,-124.6334
795.3302,-124.3750
790.3391,-124.1165
785.3479,-123.8577
780.3568,-123.5987
775.3656,-123.3395
770.3744,-123.0801
765.3832,-122.8205
760.3919,-122.5607
755.4007,-122.3006
750.4094,-122.0404
745.4181,-121.7800
740.4268,-121.5195
735.4355,-121.2590
730.4442,-120.9984
725.4529,-120.7377
720.4616,-120.4771
715.4702,-120.2165
710.4789,-119.9560
705.4875,-119.6955
700.4962,-119.4352
695.5048,-119.1751
690.5135,-118.9151
685.5221,-118.6554
680.5307,-118.3959
675.5394,-118.1366
670.5480,-117.8777
665.5567,-117.6191
