x,z
421.1960,1047.8894
419.2289,1048.2502
417.2616,1048.6106
415.2943,1048.9702
413.3269,1049.3291
411.3594,1049.6876
409.3918,1050.0458
407.4242,1050.4031
405.4565,1050.7603
403.4887,1051.1168
401.5208,1051.4729
399.5529,1051.8284
397.5847,1052.1830
395.6165,1052.5370
393.6480,1052.8900
391.6794,1053.2426
389.7108,1053.5945
387.7420,1053.9459
385.7733,1054.2971
383.8045,1054.6482
381.8358,1054.9994
379.8672,1055.3505
377.8988,1055.7030
375.9305,1056.0559
373.9623,1056.4091
371.9943,1056.7627
370.0265,1057.1177
368.0591,1057.4750
366.0923,1057.8352
364.1264,1058.1997
362.1614,1058.5695
360.1973,1058.9440
358.2340,1059.3225
356.2714,1059.7042
354.3091,1060.0884
352.3473,1060.4746
350.3858,1060.8628
348.4247,1061.2529
346.4638,1061.6445
344.5032,1062.0376
342.5426,1062.4312
340.5821,1062.8252
338.6215,1063.2189
336.6607,1063.6121
334.6997,1064.0042
332.7384,1064.3947
330.7767,1064.7832
328.8146,1065.1702
326.8522,1065.5554
324.8896,1065.9391
322.9266,1066.3213
320.9632,1066.7015
318.9995,1067.0800
317.0353,1067.4564
315.0708,1067.8311
313.1059,1068.2040
311.1408,1068.5758
309.1755,1068.9462
307.2100,1069.3157
305.2442,1069.6837
303.2783,1070.0505
301.3121,1070.4156
299.3458,1070.7800
297.3795,1071.1442
295.4133,1071.5084
293.4472,1071.8737
291.4814,1072.2401
289.5158,1072.6085
287.5507,1072.9786
285.5860,1073.3516
283.6219,1073.7271
281.6582,1074.1051
279.6951,1074.4857
277.7324,1074.8688
275.7702,1075.2544
273.8085,1075.6423
271.8472,1076.0325
269.8863,1076.4247
267.9258,1076.8190
265.9658,1077.2150
264.0062,1077.6132
262.0469,1078.0128
260.0880,1078.4142
258.1295,1078.8169
256.1714,1079.2208
254.2134,1079.6252
252.2557,1080.0298
250.2879,1080.3837
248.3157,1080.7133
246.3448,1081.0453
244.3754,1081.3857
242.4085,1081.7406
240.4456,1082.1157
238.4876,1082.5144
236.5311,1082.9213
234.5730,1083.3204
232.6102,1083.6968
230.6428,1084.0475
228.6715,1084.3727
226.6947,1084.6731
224.7132,1084.9446
222.7282,1085.1947
220.7364,1085.4209
218.7366,1085.6243
216.7244,1085.7848
214.6895,1085.8817
212.6552,1085.8552
210.6355,1085.6451
208.6346,1085.2974
206.6501,1084.8552
204.6960,1084.3011
202.7771,1083.6150
200.8994,1082.7850
199.0958,1081.8118
197.3720,1080.7080
195.7338,1079.4854
194.1810,1078.1514
192.7237,1076.7227
191.3599,1075.2026
190.0912,1073.5974
188.9267,1071.9283
187.8633,1070.2001
186.8985,1068.4170
186.0284,1066.5812
185.2495,1064.7118
184.5515,1062.8129
183.9256,1060.8912
183.3649,1058.9592
182.8580,1057.0142
182.3952,1055.0593
181.9686,1053.1028
181.5670,1051.1414
181.1107,1049.1923
180.6291,1047.2504
180.1511,1045.3086
179.7059,1043.3610
179.3275,1041.3984
178.9491,1039.4359
178.5707,1037.4734
178.1920,1035.5111
177.8133,1033.5487
177.4346,1031.5863
177.0559,1029.6240
176.6771,1027.6617
176.2986,1025.6981
175.9202,1023.7343
175.5415,1021.7723
175.1629,1019.8104
174.7842,1017.8484
174.4056,1015.8865
174.0290,1013.9242
173.6525,1011.9617
173.2760,1009.9988
172.8991,1008.0361
172.5224,1006.0732
172.1459,1004.1099
171.7966,1002.1425
171.4697,1000.1711
171.1605,998.1964
170.8642,996.2191
170.5749,994.2403
170.2893,992.2608
170.0025,990.2815
169.7099,988.3033
169.4066,986.3270
169.0883,984.3536
168.7504,982.3840
168.3976,980.4172
168.0345,978.4524
167.6658,976.4887
167.2961,974.5253
166.9303,972.5612
166.5657,970.5969
166.1999,968.6326
165.8303,966.6691
165.4543,964.7067
165.0728,962.7454
164.6864,960.7850
164.2956,958.8254
163.9011,956.8666
163.5035,954.9084
163.1032,952.9509
162.7007,950.9937
162.2965,949.0369
161.8911,947.0803
161.4846,945.1238
161.0778,943.1675
160.6608,941.2134
160.2434,939.2593
159.8252,937.3055
159.4063,935.3518
158.9867,933.3983
158.5667,931.4448
158.1465,929.4915
157.7266,927.5381
157.3116,925.5837
156.9010,923.6283
156.4948,921.6721
156.0921,919.7151
155.6921,917.7577
155.2940,915.7998
154.8971,913.8417
154.5008,911.8836
154.1043,909.9255
153.7083,907.9674
153.3134,906.0090
152.9199,904.0504
152.5285,902.0914
152.1388,900.1321
151.7505,898.1724
151.3634,896.2126
150.9769,894.2527
150.5918,892.2925
150.2085,890.3320
149.8277,888.3711
149.4497,886.4095
149.0753,884.4474
148.7035,882.4847
148.3334,880.5217
147.9638,878.5587
147.5951,876.5954
147.2276,874.6320
146.8615,872.6683
146.4968,870.7043
146.1340,868.7401
145.7732,866.7754
145.4137,864.8105
145.0548,862.8456
144.6958,860.8807
144.3358,858.9161
143.9741,856.9518
143.6097,854.9881
143.2424,853.0250
142.8725,851.0625
142.4998,849.1006
142.1241,847.1395
141.7449,845.1791
141.3614,843.2196
140.9731,841.2613
140.5797,839.3042
140.1814,837.3481
139.7789,835.3931
139.3726,833.4391
138.9627,831.4859
138.5498,829.5335
138.1343,827.5818
137.7167,825.6306
137.2975,823.6798
136.8773,821.7292
136.4565,819.7788
136.0359,817.8283
135.6159,815.8777
135.1972,813.9267
134.7800,811.9753
134.3644,810.0234
133.9509,808.0710
133.5395,806.1180
133.1302,804.1644
132.7230,802.2102
132.3174,800.2556
131.9122,798.3007
131.5075,796.3456
131.1034,794.3903
130.7001,792.4347
130.2975,790.4789
129.8955,788.5229
129.4960,786.5663
129.0969,784.6097
128.6980,782.6530
128.2993,780.6962
127.9008,778.7394
127.5030,776.7825
127.1056,774.8256
126.7086,772.8687
126.3143,770.9113
125.9202,768.9539
125.5267,766.9965
125.1338,765.0391
124.7415,763.0817
124.3499,761.1243
123.9587,759.1669
123.5677,757.2096
123.1804,755.2516
122.7933,753.2937
122.4062,751.3359
122.0193,749.3781
121.6325,747.4202
121.2459,745.4625
120.8595,743.5047
120.4734,741.5468
120.0878,739.5889
119.7034,737.6306
119.3191,735.6724
118.9346,733.7141
118.5501,731.7557
118.1657,729.7974
117.7814,727.8389
117.3971,725.8803
117.0126,723.9217
116.6279,721.9631
116.2429,720.0045
115.8575,718.0459
115.4719,716.0873
115.0862,714.1287
114.7005,712.1700
114.3152,710.2113
113.9291,708.2526
113.5433,706.2939
113.1576,704.3351
112.7716,702.3763
112.3855,700.4176
111.9989,698.4589
111.6120,696.5003
111.2245,694.5418
110.8361,692.5834
110.4471,690.6252
110.0576,688.6670
109.6678,686.7089
109.2780,684.7507
108.8880,682.7926
108.4979,680.8345
108.1074,678.8764
107.7112,676.9195
107.3145,674.9626
106.9173,673.0059
106.5195,671.0492
106.1212,669.0926
105.7224,667.1361
105.3234,665.1796
104.9242,663.2232
104.5251,661.2667
104.1265,659.3102
103.7287,657.3534
103.3313,655.3966
102.9341,653.4397
102.5368,651.4828
102.1394,649.5260
101.7416,647.5692
101.3434,645.6125
100.9449,643.6559
100.5460,641.6994
100.1468,639.7429
99.7474,637.7865
99.3487,635.8299
98.9503,633.8732
98.5522,631.9165
98.1546,629.9597
97.7576,628.0027
97.3612,626.0457
96.9652,624.0884
96.5695,622.1312
96.1735,620.1740
95.7771,618.2168
95.3795,616.2598
94.9801,614.3032
94.5798,612.3468
94.1794,610.3904
93.7794,608.4338
93.3804,606.4771
92.9828,604.5200
92.5867,602.5626
92.1921,600.6048
91.7989,598.6467
91.4069,596.6884
91.0155,594.7299
90.6239,592.7714
90.2317,590.8131
89.8382,588.8550
89.4433,586.8972
89.0467,584.9398
88.6484,582.9826
88.2483,581.0259
87.8444,579.0699
87.4391,577.1143
87.0329,575.1588
86.6266,573.2034
86.2209,571.2479
85.8164,569.2921
85.4137,567.3360
85.0110,565.3799
84.6084,563.4238
84.2057,561.4677
83.8030,559.5116
83.4003,557.5555
82.9977,555.5994
82.5950,553.6433
82.1913,551.6874
81.7876,549.7316
81.3839,547.7757
80.9802,545.8199
80.5765,543.8641
80.1726,541.9083
79.7687,539.9526
79.3649,537.9969
78.9620,536.0411
78.5600,534.0851
78.1589,532.1290
77.7613,530.1721
77.3646,528.2151
76.9689,526.2581
76.5741,524.3008
76.1803,522.3434
75.7923,520.3849
75.4043,518.4264
75.0162,516.4679
74.6282,514.5095
74.2402,512.5511
73.8551,510.5922
73.4701,508.6334
73.0851,506.6745
72.7001,504.7158
72.3151,502.7570
71.9301,500.7984
71.5451,498.8398
71.1602,496.8812
70.7752,494.9227
70.3903,492.9643
70.0054,491.0060
69.6142,489.0490
69.2220,487.0923
68.8287,485.1359
68.4344,483.1799
68.0389,481.2242
67.6422,479.2689
67.2445,477.3140
66.8457,475.3593
66.4423,473.4057
66.0389,471.4521
65.6356,469.4987
65.2322,467.5452
64.8289,465.5917
64.4255,463.6382
64.0261,461.6839
63.6267,459.7296
63.2300,457.7746
62.8333,455.8195
62.4366,453.8643
62.0399,451.9091
61.6432,449.9539
61.2464,447.9985
60.8496,446.0431
60.4529,444.0876
60.0681,442.1297
59.6833,440.1717
59.2985,438.2137
58.9137,436.2556
58.5289,434.2975
58.1441,432.3393
57.7593,430.3811
57.3744,428.4228
56.9896,426.4642
56.6047,424.5056
56.2197,422.5468
55.8348,420.5879
55.4498,418.6287
55.0638,416.6695
54.6769,414.7103
54.2895,412.7509
53.8967,410.7924
53.5033,408.8338
53.1093,406.8752
52.7145,404.9165
52.3191,402.9579
51.9177,401.0003
51.5156,399.0427
51.1125,397.0852
50.7084,395.1278
50.3034,393.1704
49.8978,391.2131
49.4919,389.2557
49.0863,387.2981
48.6812,385.3402
48.2767,383.3822
47.8710,381.4243
47.4660,379.4661
47.0609,377.5079
46.6558,375.5496
46.2507,373.5912
45.8457,371.6328
45.4432,369.6738
45.0408,367.7148
44.6384,365.7558
44.2381,363.7965
43.8378,361.8372
43.4375,359.8780
43.0373,357.9189
42.6371,355.9601
42.2369,354.0013
41.8366,352.0426
41.4362,350.0840
41.0373,348.1252
40.6387,346.1663
40.2405,344.2072
39.8426,342.2481
39.4452,340.2888
39.0527,338.3285
38.6617,336.3677
38.2729,334.4064
37.8871,332.4444
37.5012,330.4823
37.1153,328.5201
36.7294,326.5579
36.3474,324.5949
35.9654,322.6318
35.5833,320.6688
35.2013,318.7057
34.8193,316.7426
34.4373,314.7795
34.0553,312.8165
33.6764,310.8528
33.2975,308.8891
32.9186,306.9254
32.5397,304.9618
32.1608,302.9981
31.7858,301.0337
31.4108,299.0694
31.0358,297.1050
30.6607,295.1406
30.2874,293.1759
29.9140,291.2112
29.5407,289.2466
29.1673,287.2819
28.7972,285.3166
28.4297,283.3509
28.0623,281.3851
27.6948,279.4193
27.3274,277.4536
26.9600,275.4878
26.5926,273.5221
26.2224,271.5569
25.8523,269.5917
25.4822,267.6266
25.1116,265.6615
24.7401,263.6967
24.3668,261.7322
23.9912,259.7682
23.6127,257.8048
23.2258,255.8431
22.8350,253.8821
22.4416,251.9218
22.0466,249.9618
21.6471,248.0027
21.2431,246.0446
20.8345,244.0875
20.4211,242.1315
20.0026,240.1766
19.5826,238.2220
19.1615,236.2677
18.7399,234.3136
18.3178,232.3598
17.8957,230.4059
17.4735,228.4523
17.0513,226.4987
16.6289,224.5452
16.2064,222.5920
15.7840,220.6389
15.3619,218.6858
14.9406,216.7327
14.5202,214.7797
14.1007,212.8266
13.6819,210.8735
13.2674,208.9198
12.8529,206.9662
12.4385,205.0128
12.0241,203.0596
11.6097,201.1066
11.1954,199.1537
10.7805,197.2012
10.3653,195.2489
9.9502,193.2967
9.5354,191.3445
9.1242,189.3918
8.7139,187.4390
8.3048,185.4861
7.8966,183.5332
7.4892,181.5802
7.0826,179.6271
6.6786,177.6736
6.2746,175.7202
5.8706,173.7669
5.4667,171.8138
5.0659,169.8601
4.6650,167.9066
4.2642,165.9533
3.8635,164.0002
3.4717,162.0454
3.0800,160.0908
2.6882,158.1364
2.2966,156.1822
1.9049,154.2281
1.5133,152.2742
1.1217,150.3204
0.7301,148.3667
0.3456,146.4117
-0.0389,144.4568
-0.4234,142.5019
-0.8079,140.5470
-1.1924,138.5921
-1.5769,136.6372
-1.9614,134.6822
-2.3459,132.7272
-2.7270,130.7715
-3.1080,128.8157
-3.4838,126.8588
-3.8595,124.9019
-4.2352,122.9450
-4.6110,120.9881
-4.9842,119.0307
-5.3574,117.0733
-5.7306,115.1159
-6.1039,113.1585
-6.4771,111.2012
-6.8503,109.2438
-7.2235,107.2866
-7.5967,105.3293
-7.9699,103.3721
-8.3431,101.4149
-8.7114,99.4568
-9.0798,97.4987
-9.4481,95.5407
-9.8164,93.5827
-10.1802,91.6239
-10.5440,89.6651
-10.9077,87.7064
-11.2658,85.7466
-11.6220,83.7865
-11.9767,81.8262
-12.3304,79.8657
-12.6836,77.9052
-13.0369,75.9447
-13.3908,73.9844
-13.7463,72.0244
-14.1038,70.0648
-14.4692,68.1068
-14.8418,66.1502
-15.2213,64.1950
-15.6071,62.2411
-15.9982,60.2883
-16.3931,58.3364
-16.7906,56.3851
-17.1894,54.4340
-17.5884,52.4830
-17.9877,50.5321
-18.3871,48.5812
-18.7865,46.6302
-19.1863,44.6794
-19.5865,42.7288
-19.9874,40.7783
-20.3893,38.8278
-20.7923,36.8779
-21.2009,34.9292
-21.6195,32.9825
-22.0526,31.0391
-22.5033,29.0997
-22.9741,27.1653
-23.4702,25.2372
-23.9968,23.3174
-24.5585,21.4079
-25.1600,19.5109
-25.7988,17.6301
-26.4748,15.7615
-27.3261,13.9622
-28.2712,12.2111
-29.2324,10.4772
-30.1340,8.7190
-31.0650,6.9774
-32.0419,5.2611
-33.0800,3.5808
-34.1767,1.9382
-35.3286,0.3351
-36.5269,-1.2324
-37.7633,-2.7691
-39.0384,-4.2722
-40.3531,-5.7397
-41.7123,-7.1658
-43.1201,-8.5432
-44.5767,-9.8680
-46.0806,-11.1391
-47.6233,-12.3623
-49.1968,-13.5447
-50.7980,-14.6895
-52.4237,-15.7997
-54.0734,-16.8742
-55.7467,-17.9121
-57.4395,-18.9184
-59.1482,-19.8985
-60.8798,-20.8384
-62.6405,-21.7233
-64.4290,-22.5502
-66.2467,-23.3152
-68.0857,-24.0287
-69.9352,-24.7001
-71.8025,-25.3166
-73.6895,-25.8681
-75.5928,-26.3576
-77.5095,-26.7885
-79.4375,-27.1678
-81.3749,-27.5012
-83.3220,-27.7802
-85.2789,-27.9958
-87.2424,-28.1607
-89.2101,-28.2875
-91.1816,-28.4003
-93.1585,-28.5232
-95.1420,-28.6184
-97.1311,-28.6609
-99.1224,-28.6256
-101.1091,-28.4878
-103.0902,-28.2780
-105.0675,-28.0265
-107.0397,-27.7332
-109.0050,-27.3985
-110.9624,-27.0250
-112.9112,-26.6153
-114.8552,-26.1712
-116.7913,-25.6961
-118.7194,-25.1928
-120.6411,-24.6604
-122.5502,-24.0999
-124.4486,-23.5138
-126.3402,-22.9036
-128.2246,-22.2725
-130.1011,-21.6167
-131.9675,-20.9323
-133.8236,-20.2147
-135.6680,-19.4692
-137.5014,-18.7001
-139.3266,-17.9110
-141.1434,-17.1023
-142.9509,-16.2728
-144.7485,-15.4214
-146.5368,-14.5510
-148.3172,-13.6643
-150.0908,-12.7635
-151.8566,-11.8478
-153.6142,-10.9162
-155.3627,-9.9675
-157.1045,-9.0067
-158.8428,-8.0385
-160.5811,-7.0674
-162.3162,-6.0957
-164.0464,-5.1191
-165.7683,-4.1338
-167.4877,-3.1425
-169.2080,-2.1492
-170.9323,-1.1581
-172.6530,-0.1608
-174.3632,0.8516
-176.0685,1.8718
-177.7715,2.9001
-179.4711,3.9341
-181.1669,4.9725
-182.8590,6.0141
-184.5515,7.0598
-186.2430,8.1074
-187.9338,9.1557
-189.6245,10.2038
-191.3158,11.2504
-193.0080,12.2951
-194.7015,13.3374
-196.3963,14.3771
-198.0926,15.4140
-199.7906,16.4481
-201.4902,17.4792
-203.1930,18.5047
-204.8989,19.5248
-206.6075,20.5401
-208.3187,21.5508
-210.0321,22.5576
-211.7473,23.5610
-213.4641,24.5614
-215.1822,25.5593
-216.9013,26.5549
-218.6202,27.5488
-220.3390,28.5423
-222.0579,29.5365
-223.7758,30.5322
-225.4930,31.5288
-227.2097,32.5261
-228.9261,33.5240
-230.6426,34.5222
-232.3588,35.5208
-234.0743,36.5202
-235.7894,37.5215
-237.5032,38.5252
-239.2152,39.5322
-240.9251,40.5432
-242.6332,41.5574
-244.3400,42.5740
-246.0465,43.5912
-247.7537,44.6071
-249.4623,45.6209
-251.1725,46.6318
-252.8841,47.6403
-254.5968,48.6470
-256.3102,49.6524
-258.0240,50.6572
-259.7382,51.6615
-261.4523,52.6659
-263.1665,53.6703
-264.8806,54.6750
-266.5948,55.6798
-268.3089,56.6848
-270.0230,57.6900
-271.7372,58.6954
-273.4514,59.7013
-275.1654,60.7077
-276.8793,61.7147
-278.5930,62.7224
-280.3064,63.7309
-282.0197,64.7401
-283.7328,65.7500
-285.4457,66.7607
-287.1584,67.7721
-288.8706,68.7844
-290.5824,69.7978
-292.2935,70.8125
-294.0043,71.8280
-295.7150,72.8436
-297.4254,73.8585
-299.1360,74.8719
-300.8480,75.8844
-302.5610,76.8951
-304.2751,77.9035
-305.9906,78.9092
-307.7074,79.9122
-309.4254,80.9123
-311.1447,81.9096
-312.8651,82.9039
-314.5865,83.8955
-316.3087,84.8850
-318.0313,85.8722
-319.7543,86.8576
-321.4775,87.8415
-323.2007,88.8241
-324.9238,89.8055
-326.6471,90.7860
-328.3710,91.7646
-330.0955,92.7404
-331.8220,93.7131
-333.5511,94.6817
-335.2825,95.6450
-337.0158,96.6052
-338.7500,97.5636
-340.4886,98.5139
-342.2310,99.4580
-343.9763,100.3974
-345.7248,101.3319
-347.4773,102.2609
-349.2325,103.1861
-350.9902,104.1079
-352.7497,105.0281
-354.5100,105.9480
-356.2720,106.8659
-358.0369,107.7803
-359.8056,108.6892
-361.5790,109.5911
-363.3591,110.4804
-365.1489,111.3521
-366.9501,112.2007
-368.7642,113.0206
-370.5933,113.8077
-372.4379,114.5571
-374.2996,115.2645
-376.1789,115.9256
-378.0751,116.5353
-379.9886,117.0888
-381.9173,117.5809
-383.8607,118.0125
-385.8175,118.3842
-387.7848,118.6963
-389.7606,118.9493
-391.7434,119.1438
-393.7314,119.2831
-395.7228,119.3704
-397.7151,119.4090
-399.7079,119.4052
-401.7002,119.3658
-403.6915,119.2951
-405.6815,119.1975
-407.6694,119.0752
-409.6553,118.9278
-411.6391,118.7551
-413.6199,118.5570
-415.5976,118.3337
-417.5721,118.0858
-419.5430,117.8138
-421.5103,117.5199
-423.4745,117.2064
-425.4355,116.8753
-427.3935,116.5288
-429.3483,116.1657
-431.2996,115.7851
-433.2469,115.3862
-435.1900,114.9681
-437.1287,114.5299
-439.0622,114.0709
-440.9905,113.5913
-442.9138,113.0909
-444.8323,112.5719
-446.7467,112.0364
-448.6570,111.4869
-450.5634,110.9242
-452.4662,110.3493
-454.3654,109.7630
-456.2615,109.1662
-458.1528,108.5564
-460.0387,107.9303
-461.9190,107.2849
-463.7914,106.6173
-465.6526,105.9189
-467.4995,105.1839
-469.3289,104.4066
-471.1365,103.5814
-472.9202,102.7041
-474.6749,101.7718
-476.3944,100.7818
-478.0732,99.7316
-479.7040,98.6110
-481.2753,97.4115
-482.7744,96.1261
-484.1898,94.7505
-485.5082,93.2810
-486.7125,91.7185
-487.7940,90.0682
-488.7433,88.3336
-489.5551,86.5299
-490.2299,84.6676
-490.7669,82.7577
-491.1678,80.8152
-491.4363,78.8492
-491.5761,76.8687
-491.5921,74.8849
-491.4901,72.9027
-491.2719,70.9289
-490.9395,68.9718
-490.4958,67.0371
-489.9435,65.1307
-489.2923,63.2557
-488.5518,61.4145
-487.7348,59.6049
-486.8389,57.8318
-485.8625,56.1017
-484.8355,54.4011
-483.7602,52.7297
-482.6399,51.0887
-481.4770,49.4774
-480.2757,47.8933
-479.0426,46.3342
-477.7824,44.7962
-476.4999,43.2762
-475.1985,41.7725
-473.8812,40.2824
-472.5509,38.8033
-471.2108,37.3329
-469.8638,35.8687
-468.5130,34.4075
-467.1618,32.9465
-465.8142,31.4830
-464.4704,30.0157
-463.1311,28.5436
-461.7969,27.0660
-460.4696,25.5829
-459.1486,24.0947
-457.8337,22.6012
-456.5247,21.1023
-455.2215,19.5985
-453.9234,18.0903
-452.6302,16.5780
-451.3417,15.0617
-450.0563,13.5429
-448.7728,12.0224
-447.4921,10.5003
-446.2208,8.9710
-444.9609,7.4310
-443.7162,5.8788
-442.4873,4.3145
-441.2755,2.7375
-440.0811,1.1460
-438.9064,-0.4593
-437.7517,-2.0776
-436.6166,-3.7092
-435.5014,-5.3532
-434.4069,-7.0087
-433.3354,-8.6803
-432.2912,-10.3694
-431.2780,-12.0780
-430.2993,-13.8080
-429.3640,-15.5625
-428.4809,-17.3444
-427.6397,-19.1472
-426.8298,-20.9643
-426.0478,-22.7940
-425.2901,-24.6347
-424.5583,-26.4859
-423.8549,-28.3482
-423.1790,-30.2210
-422.5298,-32.1036
-421.9063,-33.9950
-421.3099,-35.8960
-420.7429,-37.8065
-420.2074,-39.7256
-419.7053,-41.6555
-419.2385,-43.5954
-418.8093,-45.5443
-418.4197,-47.5019
