x,z
11.9907,512.4703
13.6912,511.4237
15.3927,510.3765
17.0954,509.3286
18.7980,508.2809
20.5006,507.2331
22.2033,506.1852
23.8980,505.1243
25.5929,504.0632
27.2876,503.0022
28.9822,501.9413
30.6766,500.8805
32.3709,499.8197
34.0652,498.7590
35.7595,497.6983
37.4537,496.6376
39.1478,495.5769
40.8418,494.5164
42.5360,493.4557
44.2301,492.3951
45.9045,491.3032
47.5789,490.2114
49.2534,489.1195
50.8754,487.9437
52.4974,486.7678
54.1194,485.5919
55.8082,484.5226
57.4971,483.4534
59.1860,482.3841
60.8749,481.3148
62.5639,480.2454
64.2529,479.1760
65.9420,478.1066
67.6310,477.0372
69.3201,475.9679
71.0091,474.8985
72.6981,473.8291
74.3871,472.7597
76.0789,471.6947
77.7707,470.6297
79.4625,469.5647
81.1543,468.4997
82.8461,467.4347
84.5379,466.3696
86.2298,465.3046
87.9216,464.2396
89.6145,463.1763
91.3075,462.1130
93.0004,461.0497
94.6934,459.9864
96.3864,458.9231
98.0794,457.8598
99.7724,456.7964
101.4654,455.7331
103.1595,454.6713
104.8536,453.6096
106.5478,452.5478
108.2419,451.4860
109.9361,450.4242
111.6302,449.3624
113.3244,448.3006
115.0186,447.2387
116.7149,446.1803
118.4112,445.1219
120.1075,444.0635
121.8038,443.0051
123.5002,441.9467
125.1965,440.8882
126.8929,439.8298
128.5892,438.7714
130.2856,437.7130
131.9819,436.6545
133.6783,435.5961
135.3746,434.5376
137.0710,433.4792
138.7674,432.4207
140.4637,431.3623
142.1601,430.3039
143.8565,429.2454
145.5529,428.1870
147.2493,427.1285
148.9457,426.0700
150.6422,425.0115
152.3386,423.9531
154.0350,422.8946
155.7314,421.8361
157.4261,420.7748
159.1207,419.7136
160.8154,418.6523
162.5100,417.5910
164.2047,416.5298
165.8993,415.4685
167.5939,414.4072
169.2886,413.3459
170.9810,412.2812
172.6735,411.2165
174.3660,410.1518
176.0585,409.0871
177.7509,408.0223
179.4434,406.9576
181.1358,405.8929
182.8283,404.8282
184.5206,403.7633
186.2130,402.6985
187.9053,401.6336
189.5977,400.5688
191.2901,399.5039
192.9824,398.4391
194.6748,397.3742
196.3671,396.3093
198.0595,395.2444
199.7519,394.1795
201.4442,393.1147
203.1366,392.0498
204.8289,390.9849
206.5212,389.9201
208.2136,388.8552
209.9060,387.7903
211.5984,386.7254
213.2908,385.6605
214.9833,384.5956
216.6757,383.5306
