x,z
85.7415,4.5561
90.7431,4.5495
95.7448,4.5435
100.7465,4.5381
105.7482,4.5332
110.7498,4.5288
115.7515,4.5250
120.7532,4.5219
125.7549,4.5193
130.7565,4.5174
135.7582,4.5161
140.7599,4.5155
145.7616,4.5155
150.7632,4.5163
155.7649,4.5177
160.7666,4.5198
165.7683,4.5227
170.7699,4.5263
175.7716,4.5307
180.7733,4.5358
185.7749,4.5418
190.7766,4.5485
195.7783,4.5561
200.7799,4.5645
205.7816,4.5737
210.7832,4.5838
215.7849,4.5947
220.7865,4.6064
225.7881,4.6188
230.7898,4.6320
235.7913,4.6459
240.7929,4.6606
245.7945,4.6759
250.7960,4.6918
255.7975,4.7084
260.7990,4.7256
265.8004,4.7433
270.8018,4.7617
275.8032,4.7805
280.8045,4.7999
285.8057,4.8197
290.8070,4.8401
295.8081,4.8608
300.8093,4.8820
305.8103,4.9036
310.8114,4.9255
315.8123,4.9478
320.8132,4.9704
325.8140,4.9934
330.8148,5.0166
335.8155,5.0400
340.8161,5.0637
345.8166,5.0876
350.8171,5.1116
355.8174,5.1359
360.8177,5.1602
365.8179,5.1847
370.8180,5.2093
375.8180,5.2339
380.8183,5.2594
385.8213,5.2933
390.8310,5.3465
395.8512,5.4299
400.8816,5.5361
405.8894,5.5123
410.8261,5.1350
415.6430,4.1804
420.2887,2.4275
424.5886,-0.2115
428.2041,-3.6400
431.0449,-7.6923
433.3717,-12.1283
435.3807,-16.7397
436.8967,-21.4715
437.7298,-26.3141
438.0251,-31.2807
437.9889,-36.3785
437.4652,-41.4303
436.0409,-46.1299
433.6744,-50.3804
430.6172,-54.2495
427.0753,-57.7746
423.1401,-60.9180
418.8875,-63.6321
414.3938,-65.8691
409.7311,-67.5954
404.9439,-68.8759
400.0647,-69.8185
395.1258,-70.5308
390.1594,-71.1199
385.1850,-71.6566
380.2068,-72.1679
375.2280,-72.6776
370.2517,-73.2099
365.2803,-73.7823
360.3132,-74.3883
355.3490,-75.0160
350.3865,-75.6531
345.4243,-76.2876
340.4611,-76.9073
335.4957,-77.5002
330.5265,-78.0542
325.5525,-78.5579
320.5735,-79.0112
315.5904,-79.4217
310.6038,-79.7975
305.6145,-80.1464
300.6232,-80.4764
295.6309,-80.7954
290.6381,-81.1114
285.6458,-81.4322
280.6545,-81.7651
275.6644,-82.1115
270.6755,-82.4707
265.6877,-82.8420
260.7009,-83.2247
255.7150,-83.6180
250.7300,-84.0212
245.7459,-84.4335
240.7624,-84.8543
235.7797,-85.2827
230.7976,-85.7181
225.8160,-86.1597
220.8348,-86.6067
215.8541,-87.0586
210.8737,-87.5144
205.8936,-87.9735
200.9137,-88.4351
195.9339,-88.8985
190.9542,-89.3634
185.9746,-89.8296
180.9951,-90.2969
176.0156,-90.7653
171.0362,-91.2344
166.0569,-91.7043
161.0775,-92.1747
156.0982,-92.6455
151.1189,-93.1166
146.1395,-93.5878
141.1602,-94.0589
136.1808,-94.5298
131.2014,-95.0004
126.2219,-95.4705
121.2424,-95.9400
116.2628,-96.4087
111.2831,-96.8764
106.3033,-97.3431
101.3233,-97.8085
96.3433,-98.2726
91.3631,-98.7351
86.3828,-99.1959
81.4023,-99.6549
76.4217,-100.1120
71.4409,-100.5669
66.4598,-101.0196
61.4786,-101.4698
56.4972,-101.9174
51.5155,-102.3624
46.5336,-102.8045
41.5514,-103.2435
36.5690,-103.6794
31.5863,-104.1120
26.6033,-104.5412
21.6200,-104.9667
16.6364,-105.3888
11.6526,-105.8076
6.6685,-106.2232
1.6841,-106.6359
-3.3005,-107.0458
-8.2853,-107.4531
-13.2703,-107.8579
-18.2555,-108.2605
-23.2409,-108.6610
-28.2265,-109.0595
-33.2122,-109.4563
-38.1980,-109.8516
-43.1840,-110.2454
-48.1701,-110.6380
-53.1562,-111.0296
-58.1425,-111.4203
-63.1288,-111.8103
-68.1152,-112.1997
-73.1016,-112.5888
-78.0881,-112.9777
-83.0746,-113.3666
-88.0610,-113.7556
-93.0475,-114.1450
-98.0339,-114.5349
-103.0203,-114.9254
-108.0067,-115.3168
-112.9930,-115.7093
-117.9791,-116.1029
-122.9653,-116.4979
-127.9512,-116.8945
-132.9371,-117.2928
-137.9229,-117.6930
-142.9084,-118.0952
-147.8939,-118.4997
-152.8791,-118.9063
-157.8643,-119.3148
-162.8493,-119.7249
-167.8342,-120.1361
-172.8190,-120.5483
-177.8037,-120.9609
-182.7884,-121.3739
-187.7731,-121.7867
-192.7578,-122.1992
-197.7425,-122.6109
-202.7272,-123.0215
-207.7119,-123.4308
-212.6968,-123.8384
-217.6817,-124.2439
-222.6667,-124.6471
-227.6518,-125.0476
-232.6371,-125.4452
-237.6225,-125.8398
-242.6081,-126.2322
-247.5936,-126.6233
-252.5792,-127.0139
-257.5647,-127.4048
-262.5502,-127.7968
