x,z
101.5454,-288.1269
106.5449,-288.1586
111.5445,-288.1901
116.5440,-288.2209
121.5434,-288.2506
126.5427,-288.2787
131.5420,-288.3045
136.5411,-288.3277
141.5402,-288.3478
146.5392,-288.3641
151.5380,-288.3764
156.5368,-288.3841
161.5355,-288.3869
166.5341,-288.3844
171.5326,-288.3762
176.5312,-288.3620
181.5297,-288.3412
186.5281,-288.3136
191.5266,-288.2788
196.5252,-288.2363
201.5237,-288.1858
206.5223,-288.1269
211.5210,-288.0592
216.5197,-287.9823
221.5185,-287.8958
226.5175,-287.7993
231.5166,-287.6925
236.5157,-287.5755
241.5150,-287.4500
246.5143,-287.3185
251.5135,-287.1833
256.5127,-287.0468
261.5116,-286.9112
266.5104,-286.7789
271.5088,-286.6522
276.5069,-286.5335
281.5046,-286.4252
286.5019,-286.3295
291.4986,-286.2488
296.4947,-286.1855
301.4902,-286.1418
306.4850,-286.1201
311.4790,-286.1227
316.4722,-286.1520
321.4669,-286.1990
326.4707,-286.2306
331.4917,-286.2105
336.5381,-286.1026
341.5807,-285.9345
346.5109,-285.8702
351.3373,-285.9498
356.3447,-285.9069
361.7228,-285.5971
366.7280,-286.0351
370.3771,-288.5052
372.8695,-292.6335
374.9080,-297.3413
376.8955,-302.0223
378.8616,-306.6567
380.8129,-311.2613
382.7558,-315.8528
384.6958,-320.4448
386.6341,-325.0398
388.5708,-329.6377
390.5060,-334.2382
392.4398,-338.8411
394.3722,-343.4463
396.3035,-348.0536
398.2338,-352.6628
400.1631,-357.2737
402.0916,-361.8862
404.0193,-366.5000
405.9465,-371.1150
407.8732,-375.7310
409.7995,-380.3478
411.7255,-384.9652
413.6515,-389.5831
415.5774,-394.2013
417.5033,-398.8195
419.4295,-403.4376
421.3560,-408.0555
423.2830,-412.6729
425.2105,-417.2896
427.1386,-421.9055
429.0676,-426.5204
430.9974,-431.1341
432.9282,-435.7464
434.8602,-440.3572
436.7934,-444.9662
438.7279,-449.5733
440.6639,-454.1783
442.6015,-458.7810
444.5408,-463.3812
446.4819,-467.9788
448.4250,-472.5736
450.3695,-477.1659
452.3132,-481.7584
454.2531,-486.3541
456.1865,-490.9563
458.1104,-495.5681
460.0220,-500.1924
461.9186,-504.8326
463.7971,-509.4916
465.6565,-514.1715
467.5168,-518.8580
469.4139,-523.5251
471.3841,-528.1466
473.4634,-532.6964
475.6880,-537.1483
478.0942,-541.4759
480.7180,-545.6533
483.5956,-549.6542
486.7384,-553.4692
490.1072,-557.1240
493.6563,-560.6484
497.3400,-564.0721
501.1128,-567.4250
504.9291,-570.7369
508.7431,-574.0377
512.5093,-577.3571
516.1885,-580.7220
519.7852,-584.1378
523.3222,-587.6015
526.8223,-591.1097
530.3093,-594.6592
533.8405,-598.2429
537.5154,-601.8303
541.4942,-604.7691
546.0071,-605.6558
550.3344,-603.4594
551.9300,-599.0252
551.1466,-594.0386
549.9038,-589.1737
548.4885,-584.3786
546.9454,-579.6269
545.3090,-574.9068
543.6142,-570.2063
541.8936,-565.5143
540.1603,-560.8263
538.4167,-556.1417
