x,z
625.7504,-183.3121
630.7457,-183.5412
635.7412,-183.7707
640.7368,-184.0004
645.7326,-184.2304
650.7286,-184.4608
655.7247,-184.6914
660.7209,-184.9221
665.7169,-185.1524
670.7125,-185.3817
675.7074,-185.6097
680.7014,-185.8357
685.6942,-186.0593
690.6856,-186.2801
695.6754,-186.4975
700.6634,-186.7108
705.6517,-186.9108
710.6453,-187.0770
715.6496,-187.1883
720.6699,-187.2235
725.6950,-187.1110
730.6473,-186.5779
735.4349,-185.3194
739.9967,-183.3121
744.2959,-180.7491
748.3208,-177.7954
752.1147,-174.5420
755.7283,-171.0694
759.2124,-167.4585
762.6127,-163.7823
765.9398,-160.0574
769.1882,-156.2751
772.3526,-152.4268
775.4276,-148.5039
778.4083,-144.4999
781.2922,-140.4169
784.0769,-136.2592
786.7604,-132.0312
789.3406,-127.7370
791.8151,-123.3811
794.1819,-118.9676
796.4389,-114.5009
798.5838,-109.9852
800.6151,-105.4247
802.5353,-100.8216
804.3486,-96.1775
806.0595,-91.4941
807.6722,-86.7730
809.1910,-82.0157
810.6203,-77.2240
811.9643,-72.3993
813.2275,-67.5434
814.4090,-62.6579
815.4339,-57.7464
816.1724,-52.8142
816.4928,-47.8663
816.2637,-42.9078
815.3569,-37.9678
813.6674,-33.2452
811.1044,-29.0075
807.7447,-25.3550
803.8723,-22.1802
799.7344,-19.3859
795.3896,-16.9633
790.8519,-14.9245
786.1352,-13.2815
781.2574,-12.0363
776.2881,-11.0518
771.3351,-10.0899
766.5068,-8.9101
761.9116,-7.2722
757.6417,-4.9633
753.6789,-1.9602
750.0110,1.6721
746.9858,5.8084
745.0956,10.2993
744.6492,15.0198
745.4016,19.8603
746.5787,24.7107
747.9224,29.5508
749.3143,34.3819
750.7037,39.2055
752.0871,44.0235
753.4618,48.8377
754.8254,53.6500
756.1753,58.4621
757.5089,63.2761
758.8238,68.0936
760.1172,72.9166
761.3869,77.7468
762.6318,82.5850
763.8530,87.4308
765.0516,92.2835
766.2287,97.1426
767.3853,102.0076
768.5226,106.8778
769.6416,111.7528
770.7436,116.6319
771.8295,121.5147
772.9012,126.4004
773.9618,131.2883
