x,z
-845.3069,228.2839
-840.3082,228.2709
-835.3095,228.2597
-830.3107,228.2503
-825.3119,228.2428
-820.3132,228.2373
-815.3143,228.2339
-810.3155,228.2325
-805.3167,228.2329
-800.3178,228.2348
-795.3190,228.2381
-790.3202,228.2426
-785.3214,228.2480
-780.3227,228.2541
-775.3240,228.2606
-770.3254,228.2675
-765.3269,228.2744
-760.3285,228.2812
-755.3301,228.2876
-750.3319,228.2934
-745.3337,228.2984
-740.3357,228.3024
-735.3379,228.3052
-730.3402,228.3065
-725.3426,228.3061
-720.3452,228.3038
-715.3480,228.2995
-710.3510,228.2928
-705.3541,228.2839
-700.3568,228.2805
-695.3574,228.2991
-690.3545,228.3566
-685.3466,228.4697
-680.3323,228.6540
-675.3282,228.7756
-670.3843,228.4190
-665.5751,227.1367
-661.5358,224.4562
-658.8107,220.3432
-656.7239,215.6061
-655.3733,210.7647
-655.4490,206.0911
-657.4582,201.8057
-660.7808,197.8488
-664.3873,194.0591
-667.5235,190.2787
-670.3171,186.3611
-673.0678,182.1630
-675.6709,177.6444
-677.2893,172.9520
-677.0402,168.2564
-674.8246,163.8284
-671.3668,160.0446
-667.3078,157.1239
-662.9178,154.7936
-658.3963,152.6898
-653.8725,150.5774
-649.3558,148.4421
-644.8436,146.2916
-640.3332,144.1334
-635.8222,141.9751
-631.3082,139.8236
-626.7907,137.6805
-622.2704,135.5441
-617.7482,133.4126
-613.2248,131.2843
-608.7010,129.1574
-604.1775,127.0301
-599.6551,124.9007
-595.1346,122.7675
-590.6168,120.6285
-586.1023,118.4822
-581.5918,116.3271
-577.0847,114.1648
-572.5799,111.9973
-568.0765,109.8270
-563.5734,107.6561
-559.0696,105.4868
-554.5642,103.3215
-550.0561,101.1624
-545.5444,99.0117
-541.0280,96.8716
-536.5059,94.7445
-531.9771,92.6326
-527.4406,90.5381
-522.8954,88.4633
-518.3405,86.4104
-513.7749,84.3817
-509.1977,82.3795
-504.6077,80.4059
-500.0040,78.4633
-495.3855,76.5539
-490.7514,74.6800
-486.1005,72.8437
-481.4321,71.0475
-476.7459,69.2943
-472.0421,67.5871
-467.3209,65.9289
-462.5824,64.3229
-457.8266,62.7720
-453.0538,61.2795
-448.2641,59.8482
-443.4575,58.4814
-438.6343,57.1820
-433.7945,55.9532
-428.9386,54.7958
-424.0679,53.7043
-419.1839,52.6718
-414.2882,51.6916
-409.3823,50.7569
-404.4677,49.8608
-399.5458,48.9967
-394.6182,48.1576
-389.6865,47.3368
-384.7520,46.5276
-379.8165,45.7231
-374.8810,44.9173
-369.9461,44.1091
-365.0116,43.2987
-360.0774,42.4864
-355.1437,41.6727
-350.2103,40.8577
-345.2772,40.0419
-340.3444,39.2255
-335.4118,38.4088
-330.4794,37.5923
-325.5472,36.7761
-320.6152,35.9608
-315.6832,35.1464
-310.7513,34.3335
-305.8194,33.5222
-300.8875,32.7130
-295.9556,31.9061
-291.0236,31.1019
-286.0915,30.3007
-281.1593,29.5028
-276.2269,28.7086
-271.2943,27.9183
-266.3614,27.1319
-261.4284,26.3476
-256.4953,25.5625
-251.5621,24.7742
-246.6291,23.9801
-241.6961,23.1774
-236.7634,22.3636
-231.8309,21.5360
-226.8988,20.6921
-221.9671,19.8293
-217.0359,18.9448
-212.1072,18.0323
-207.1883,17.0741
-202.2878,16.0503
-197.4142,14.9411
-192.5759,13.7266
-187.7814,12.3870
-183.0392,10.9024
-178.3577,9.2529
-173.7455,7.4188
-169.2111,5.3801
-164.7628,3.1172
-160.4074,0.6276
-156.1481,-2.0621
-151.9881,-4.9226
-147.9306,-7.9243
-143.9785,-11.0380
-140.1354,-14.2426
-136.4059,-17.5434
-132.7950,-20.9501
-129.3075,-24.4726
-125.9484,-28.1207
-122.7218,-31.9034
-119.6167,-35.8107
-116.6068,-39.8135
-113.6648,-43.8818
-110.7638,-47.9857
-107.8766,-52.0953
-104.9799,-56.1849
-102.0706,-60.2528
-99.1528,-64.3055
-96.2303,-68.3492
-93.3070,-72.3903
-90.3868,-76.4351
-87.4717,-80.4872
-84.5610,-84.5458
-81.6533,-88.6094
-78.7475,-92.6767
-75.8423,-96.7464
-72.9366,-100.8170
-70.0291,-104.8873
-67.1186,-108.9558
-64.2040,-113.0212
-61.2839,-117.0821
-58.3574,-121.1373
-55.4257,-125.1875
-52.4923,-129.2354
-49.5612,-133.2839
-46.6361,-137.3358
-43.7206,-141.3939
-40.8187,-145.4612
-37.9339,-149.5403
-35.0702,-153.6343
-32.2312,-157.7458
-29.4208,-161.8778
-26.6427,-166.0331
-23.9046,-170.2161
-21.2209,-174.4336
-18.6064,-178.6927
-16.0763,-183.0006
-13.6455,-187.3644
-11.3242,-191.7883
-9.1091,-196.2680
-6.9940,-200.7977
-4.9729,-205.3714
-3.0397,-209.9833
-1.1886,-214.6275
0.5838,-219.3006
2.2781,-224.0013
3.8949,-228.7284
5.4348,-233.4807
6.8983,-238.2570
8.2861,-243.0562
9.5985,-247.8771
10.8363,-252.7185
11.9999,-257.5792
13.0900,-262.4581
14.1071,-267.3540
15.0504,-272.2656
15.9172,-277.1915
16.7045,-282.1301
17.4093,-287.0801
18.0286,-292.0399
18.5594,-297.0081
18.9986,-301.9833
19.3434,-306.9639
19.5906,-311.9485
19.7374,-316.9356
19.7809,-321.9238
19.7266,-326.9124
19.5874,-331.9013
19.3768,-336.8906
19.1082,-341.8802
18.7952,-346.8703
18.4511,-351.8607
18.0894,-356.8516
17.7235,-361.8430
17.3668,-366.8347
17.0328,-371.8270
16.7340,-376.8197
16.4715,-381.8129
16.2402,-386.8064
16.0349,-391.8002
15.8504,-396.7943
15.6814,-401.7885
15.5227,-406.7829
15.3690,-411.7772
15.2151,-416.7716
15.0558,-421.7658
14.8857,-426.7598
14.7006,-431.7537
14.5005,-436.7473
14.2870,-441.7408
14.0618,-446.7341
13.8265,-451.7274
13.5827,-456.7207
13.3321,-461.7141
13.0763,-466.7075
12.8170,-471.7010
12.5557,-476.6948
12.2941,-481.6887
12.0341,-486.6829
11.7808,-491.6774
11.5411,-496.6719
11.3221,-501.6665
11.1305,-506.6610
10.9734,-511.6553
10.8577,-516.6492
10.7904,-521.6428
10.7784,-526.6358
10.8286,-531.6282
10.9480,-536.6199
11.1427,-541.6107
11.4142,-546.5992
11.7622,-551.5843
12.1867,-556.5643
12.6876,-561.5379
13.2647,-566.5036
13.9180,-571.4600
14.6473,-576.4057
15.4525,-581.3392
16.3335,-586.2592
17.2902,-591.1641
18.3205,-596.0532
19.4170,-600.9280
20.5711,-605.7901
21.7743,-610.6414
23.0181,-615.4836
24.2939,-620.3185
25.5932,-625.1478
26.9074,-629.9733
28.2281,-634.7967
29.5466,-639.6199
30.8545,-644.4445
32.1483,-649.2713
33.4326,-654.0993
34.7128,-658.9272
35.9945,-663.7538
37.2830,-668.5779
38.5839,-673.3984
39.9026,-678.2139
41.2446,-683.0234
42.6153,-687.8255
44.0201,-692.6192
45.4647,-697.4031
46.9533,-702.1760
48.4878,-706.9365
50.0692,-711.6832
51.6986,-716.4146
53.3773,-721.1292
55.1064,-725.8257
56.8869,-730.5025
58.7200,-735.1581
60.6069,-739.7912
62.5486,-744.4003
64.5464,-748.9840
66.6014,-753.5407
68.7146,-758.0691
70.8873,-762.5677
73.1206,-767.0350
75.4156,-771.4696
77.7734,-775.8700
80.1952,-780.2348
82.6822,-784.5625
85.2354,-788.8518
87.8559,-793.1010
90.5449,-797.3089
93.3005,-801.4758
96.1183,-805.6034
98.9935,-809.6938
101.9215,-813.7490
104.8977,-817.7708
107.9175,-821.7613
110.9761,-825.7224
114.0690,-829.6561
117.1914,-833.5643
120.3389,-837.4491
123.5067,-841.3124
126.6909,-845.1586
129.8878,-848.9926
133.0939,-852.8198
136.3054,-856.6453
139.5187,-860.4744
142.7398,-864.3016
146.0027,-868.0901
149.3466,-871.7974
152.8107,-875.3810
156.4341,-878.7984
160.2546,-882.0078
164.2785,-884.9857
168.4814,-887.7264
172.8370,-890.2247
177.3196,-892.4759
