x,z
-306.2183,-417.4359
-301.2270,-417.7629
-296.2349,-418.0807
-291.2418,-418.3888
-286.2479,-418.6859
-281.2535,-418.9704
-276.2586,-419.2405
-271.2637,-419.4945
-266.2688,-419.7308
-261.2743,-419.9475
-256.2803,-420.1431
-251.2872,-420.3157
-246.2951,-420.4629
-241.3031,-420.5749
-236.3101,-420.6373
-231.3149,-420.6358
-226.3160,-420.5562
-221.3143,-420.3887
-216.3136,-420.1308
-211.3181,-419.7810
-206.3319,-419.3374
-201.3590,-418.7985
-196.4019,-418.1642
-191.4607,-417.4359
-186.5359,-416.6151
-181.6277,-415.7033
-176.7366,-414.7019
-171.8627,-413.6125
-167.0064,-412.4366
-162.1680,-411.1756
-157.3480,-409.8308
-152.5539,-408.3903
-147.8049,-406.8204
-143.1215,-405.0856
-138.5239,-403.1502
-134.0284,-400.9879
-129.6301,-398.6209
-125.3175,-396.0869
-121.0788,-393.4235
-116.9023,-390.6686
-112.7762,-387.8536
-108.6871,-384.9925
-104.6218,-382.0959
-100.5669,-379.1748
-96.5131,-376.2362
-92.4892,-373.2522
-88.5454,-370.1747
-84.7320,-366.9559
-81.0993,-363.5479
-77.6799,-359.9266
-74.4789,-356.1056
-71.4986,-352.1017
-68.7415,-347.9320
-66.2099,-343.6133
-63.9064,-339.1626
-61.8332,-334.5969
-59.9929,-329.9331
-58.3879,-325.1882
-57.0162,-320.3785
-55.8643,-315.5191
-54.9167,-310.6249
-54.1578,-305.7107
-53.5716,-300.7891
-53.1391,-295.8537
-52.8397,-290.8873
-52.6525,-285.8728
-52.5556,-280.7936
-52.4447,-275.6781
-52.0879,-270.6249
-51.2419,-265.7383
-49.6636,-261.1228
-47.1589,-256.9098
-43.7702,-253.3596
-39.6157,-250.7572
-34.9039,-249.1157
-29.9242,-248.2049
-24.9012,-247.7888
-19.8838,-247.6381
-14.8844,-247.5104
-9.8948,-247.1265
-4.9220,-246.2165
-0.1358,-244.6460
4.2096,-242.3510
7.8592,-239.2680
10.5625,-235.3372
12.2920,-230.6865
13.3455,-225.7152
14.0070,-220.6927
14.5030,-215.6687
15.0181,-210.6696
15.5686,-205.6941
16.1229,-200.7329
16.6497,-195.7771
17.1175,-190.8174
17.5058,-185.8475
17.8208,-180.8678
18.0731,-175.8797
18.2732,-170.8850
18.4314,-165.8849
18.5584,-160.8810
18.6645,-155.8749
18.7603,-150.8680
18.8562,-145.8619
18.9609,-140.8576
19.0744,-135.8554
19.1947,-130.8548
19.3196,-125.8556
19.4469,-120.8574
19.5744,-115.8599
19.7001,-110.8627
19.8217,-105.8657
19.9371,-100.8684
20.0445,-95.8706
20.1445,-90.8722
20.2391,-85.8733
20.3302,-80.8740
20.4199,-75.8743
20.5100,-70.8744
20.6026,-65.8742
20.6995,-60.8740
20.8029,-55.8737
20.9145,-50.8734
21.0364,-45.8733
21.1705,-40.8733
21.3188,-35.8736
21.4832,-30.8743
21.6658,-25.8753
21.8684,-20.8769
22.0930,-15.8790
22.3416,-10.8818
22.6182,-5.8856
22.9436,-0.8940
23.3464,4.0881
23.8554,9.0560
24.4986,14.0048
25.2743,18.9351
26.1394,23.8554
27.0475,28.7743
27.9527,33.7006
28.8124,38.6423
29.6436,43.5918
30.5120,48.5293
31.4843,53.4344
32.6274,58.2870
33.9762,63.0773
35.4906,67.8206
37.1194,72.5357
38.8116,77.2414
40.5171,81.9560
42.2206,86.6807
43.9545,91.3935
45.7545,96.0703
47.6563,100.6874
49.6841,105.2293
51.8124,109.7164
54.0030,114.1780
56.2178,118.6438
58.4209,123.1411
60.6139,127.6668
62.8285,132.1930
65.0970,136.6913
67.4519,141.1330
69.9254,145.4897
72.5499,149.7329
75.3580,153.8340
78.3819,157.7645
81.6534,161.4962
85.1778,165.0132
88.9253,168.3153
92.8637,171.4041
96.9607,174.2806
101.1847,176.9536
105.5070,179.4621
109.8995,181.8527
114.3342,184.1722
118.7830,186.4671
123.2263,188.7702
127.6632,191.0827
132.0956,193.4017
136.5251,195.7241
140.9535,198.0469
145.3826,200.3671
149.8141,202.6818
154.2497,204.9880
158.6913,207.2826
163.1402,209.5632
167.5961,211.8304
172.0587,214.0851
176.5272,216.3283
181.0013,218.5611
185.4803,220.7846
189.9636,222.9997
194.4508,225.2076
198.9413,227.4092
203.4345,229.6057
207.9300,231.7979
212.4270,233.9871
216.9252,236.1742
221.4239,238.3602
225.9226,240.5463
230.4208,242.7334
234.9179,244.9226
239.4133,247.1149
243.9067,249.3111
248.3982,251.5111
252.8879,253.7143
257.3762,255.9202
261.8632,258.1285
266.3493,260.3387
270.8345,262.5503
275.3193,264.7629
279.8037,266.9760
284.2881,269.1891
288.7726,271.4018
293.2576,273.6136
297.7432,275.8241
302.2297,278.0329
306.7173,280.2394
311.2062,282.4432
315.6968,284.6438
320.1892,286.8409
324.6835,289.0340
329.1796,291.2238
333.6771,293.4106
338.1758,295.5953
342.6753,297.7783
347.1754,299.9602
351.6757,302.1417
356.1759,304.3234
360.6758,306.5058
365.1750,308.6896
369.6732,310.8754
374.1702,313.0638
378.6656,315.2553
383.1591,317.4506
387.6504,319.6502
392.1393,321.8549
396.6254,324.0651
401.1084,326.2815
405.5881,328.5045
410.0646,330.7339
414.5382,332.9692
419.0090,335.2100
423.4772,337.4561
427.9430,339.7068
432.4066,341.9619
436.8683,344.2209
441.3282,346.4835
445.7864,348.7492
450.2433,351.0176
454.6990,353.2883
459.1537,355.5609
463.6077,357.8351
468.0610,360.1103
472.5139,362.3863
476.9666,364.6625
481.4194,366.9386
485.8723,369.2143
490.3254,371.4895
494.7786,373.7646
499.2319,376.0400
503.6850,378.3159
508.1380,380.5927
512.5906,382.8708
517.0429,385.1505
521.4947,387.4322
525.9468,389.7138
530.4070,391.9779
534.8855,394.2007
539.3926,396.3583
543.9386,398.4273
548.5247,400.4049
553.1420,402.3122
557.7807,404.1718
562.4313,406.0063
567.0846,407.8372
571.7372,409.6724
576.3895,411.5099
581.0423,413.3478
585.6961,415.1839
590.3517,417.0161
595.0097,418.8425
599.6707,420.6609
604.3354,422.4693
609.0045,424.2656
613.6786,426.0478
618.3583,427.8137
623.0443,429.5613
627.7372,431.2886
632.4378,432.9935
637.1466,434.6739
641.8643,436.3277
646.5915,437.9530
651.3290,439.5475
656.0769,441.1102
660.8351,442.6419
665.6030,444.1435
670.3802,445.6160
675.1664,447.0602
679.9610,448.4773
684.7638,449.8681
689.5741,451.2337
694.3918,452.5749
699.2162,453.8927
704.0471,455.1881
708.8839,456.4621
713.7263,457.7156
718.5738,458.9496
723.4260,460.1651
728.2826,461.3629
733.1430,462.5441
738.0069,463.7097
742.8740,464.8602
747.7442,465.9958
752.6176,467.1165
757.4941,468.2223
762.3739,469.3132
767.2568,470.3893
772.1429,471.4504
777.0322,472.4968
781.9248,473.5283
786.8206,474.5442
791.7203,475.5412
796.6243,476.5153
801.5332,477.4627
806.4476,478.3793
811.3680,479.2614
816.2950,480.1050
821.2290,480.9061
826.1708,481.6609
831.1206,482.3664
836.0777,483.0267
841.0411,483.6482
846.0094,484.2372
850.9817,484.8005
855.9567,485.3443
860.9333,485.8751
865.9104,486.3995
870.8868,486.9240
875.8618,487.4498
880.8361,487.9613
885.8104,488.4393
890.7859,488.8645
895.7633,489.2176
900.7436,489.4793
905.7278,489.6304
910.7167,489.6516
915.7114,489.5236
920.7108,489.2279
925.7039,488.7501
930.6753,488.0775
935.6099,487.1975
940.4924,486.0972
945.3075,484.7640
950.0401,483.1852
954.6750,481.3481
959.1968,479.2399
963.5879,476.8519
967.8223,474.1884
971.8726,471.2563
975.7111,468.0627
979.3102,464.6143
982.6424,460.9182
985.6801,456.9814
988.3958,452.8107
990.7618,448.4132
992.7647,443.8047
994.4732,439.0538
995.9569,434.2376
997.1151,429.3711
997.7876,424.4478
997.8679,419.4943
997.3109,414.5703
996.1889,409.7107
994.6957,404.9221
992.9908,400.2083
991.1088,395.5701
