x,z
19.3047,-321.3157
24.3043,-321.3194
29.3038,-321.3229
34.3034,-321.3261
39.3030,-321.3289
44.3027,-321.3314
49.3023,-321.3334
54.3019,-321.3350
59.3015,-321.3360
64.3011,-321.3365
69.3007,-321.3364
74.3002,-321.3357
79.2998,-321.3343
84.2993,-321.3322
89.2988,-321.3293
94.2983,-321.3256
99.2978,-321.3211
104.2972,-321.3157
109.2966,-321.3093
114.2959,-321.3020
119.2952,-321.2937
124.2944,-321.2843
129.2936,-321.2738
134.2928,-321.2622
139.2918,-321.2494
144.2909,-321.2354
149.2898,-321.2201
154.2887,-321.2035
159.2875,-321.1856
164.2863,-321.1662
169.2849,-321.1455
174.2835,-321.1232
179.2820,-321.0995
184.2804,-321.0742
189.2787,-321.0473
194.2770,-321.0187
199.2751,-320.9885
204.2731,-320.9565
209.2710,-320.9228
214.2688,-320.8873
219.2666,-320.8499
224.2642,-320.8107
229.2620,-320.7699
234.2599,-320.7273
239.2581,-320.6832
244.2567,-320.6376
249.2557,-320.5905
254.2552,-320.5420
259.2554,-320.4922
264.2562,-320.4411
269.2579,-320.3889
274.2605,-320.3355
279.2642,-320.2811
284.2688,-320.2259
289.2739,-320.1719
294.2786,-320.1221
299.2821,-320.0791
304.2836,-320.0460
309.2821,-320.0254
314.2770,-320.0203
319.2675,-320.0296
324.2544,-320.0356
329.2384,-320.0160
334.2206,-319.9487
339.2017,-319.8115
344.1826,-319.5822
349.1643,-319.2386
354.1455,-318.7637
359.1196,-318.1528
364.0794,-317.4027
369.0177,-316.5107
373.9271,-315.4735
378.8005,-314.2883
383.6306,-312.9521
388.4101,-311.4618
393.1319,-309.8145
397.7885,-308.0071
402.3728,-306.0368
406.8775,-303.9004
411.2955,-301.5950
415.6194,-299.1178
419.8432,-296.4707
423.9619,-293.6591
427.9705,-290.6886
431.8638,-287.5647
435.6368,-284.2931
439.2845,-280.8792
442.8017,-277.3287
446.1835,-273.6472
449.4248,-269.8402
452.5205,-265.9133
455.4655,-261.8720
458.2549,-257.7220
460.8835,-253.4688
463.3468,-249.1182
465.6424,-244.6769
467.7685,-240.1519
469.7232,-235.5501
471.5047,-230.8785
473.1112,-226.1441
474.5408,-221.3538
475.7918,-216.5145
476.8623,-211.6333
477.7505,-206.7171
478.4546,-201.7729
478.9727,-196.8076
479.3030,-191.8282
479.4440,-186.8415
479.3966,-181.8538
479.1628,-176.8710
478.7447,-171.8989
478.1444,-166.9436
477.3639,-162.0107
476.4053,-157.1064
475.2726,-152.2357
473.9788,-147.4007
472.5390,-142.6027
470.9684,-137.8428
469.2822,-133.1223
467.4957,-128.4425
465.6239,-123.8045
463.6821,-119.2066
461.6851,-114.6394
459.6476,-110.0926
457.5846,-105.5559
455.5108,-101.0189
453.4410,-96.4712
451.3897,-91.9028
449.3573,-87.3146
447.3237,-82.7230
445.2678,-78.1458
443.1683,-73.6004
441.0037,-69.1046
438.7529,-64.6760
436.3916,-60.3332
433.8486,-56.1129
431.0130,-52.0666
427.7746,-48.2467
424.1039,-44.7234
