x,z
0.2645,6.7822
2.0789,5.9408
3.8939,5.1008
5.7093,4.2617
7.5249,3.4230
9.3407,2.5846
11.1565,1.7461
12.9718,0.9067
14.7865,0.0659
16.6000,-0.7774
18.4119,-1.6238
20.2220,-2.4742
22.0298,-3.3293
23.8349,-4.1901
25.6371,-5.0574
27.4363,-5.9307
29.2327,-6.8096
31.0267,-7.6936
32.8184,-8.5822
34.6081,-9.4747
36.3963,-10.3705
38.1832,-11.2685
39.9694,-12.1680
41.7552,-13.0684
43.5407,-13.9694
45.3260,-14.8709
47.1110,-15.7728
48.8956,-16.6752
50.6806,-17.5771
52.4664,-18.4774
54.2532,-19.3755
56.0415,-20.2710
57.8288,-21.1683
59.6133,-22.0711
61.3930,-22.9834
63.1658,-23.9090
64.9340,-24.8435
66.6998,-25.7824
68.4655,-26.7213
70.2336,-27.6560
71.9995,-28.5949
73.7588,-29.5460
75.5042,-30.5227
77.2279,-31.5380
78.9492,-32.5568
80.6676,-33.5799
82.3827,-34.6076
84.0942,-35.6410
85.8026,-36.6793
87.5085,-37.7217
89.2127,-38.7676
90.9153,-39.8164
92.6166,-40.8676
94.3168,-41.9207
96.0160,-42.9751
97.7146,-44.0300
99.4128,-45.0844
101.1115,-46.1377
102.8113,-47.1889
104.5123,-48.2384
106.2152,-49.2864
107.9196,-50.3321
109.6263,-51.3757
111.3542,-52.3851
113.0832,-53.3921
114.8044,-54.4119
116.5231,-55.4354
118.2447,-56.4542
119.9743,-57.4602
121.7056,-58.4630
123.4325,-59.4725
125.1492,-60.4989
126.8629,-61.5300
128.5809,-62.5539
130.3009,-63.5745
132.0203,-64.5959
133.7366,-65.6227
135.4494,-66.6553
137.1587,-67.6939
138.8640,-68.7392
140.5655,-69.7904
142.2636,-70.8472
143.9587,-71.9088
145.6511,-72.9747
147.3410,-74.0444
149.0287,-75.1176
150.7144,-76.1939
152.3989,-77.2721
154.0820,-78.3526
155.7634,-79.4355
157.4433,-80.5209
159.1215,-81.6089
160.7979,-82.6995
162.4725,-83.7929
164.1453,-84.8891
165.8163,-85.9881
167.4868,-87.0877
169.1584,-88.1856
170.8325,-89.2797
172.5107,-90.3675
174.1900,-91.4537
175.8686,-92.5408
177.5450,-93.6315
179.2174,-94.7282
180.8863,-95.8304
182.5521,-96.9371
184.2154,-98.0475
185.8768,-99.1608
187.5369,-100.2761
189.1965,-101.3919
190.8567,-102.5070
192.5182,-103.6199
194.1809,-104.7311
195.8444,-105.8410
197.5083,-106.9504
199.1720,-108.0599
200.8356,-109.1697
202.4982,-110.2807
204.1589,-111.3947
205.8167,-112.5129
207.4720,-113.6349
209.1251,-114.7601
210.7764,-115.8878
212.4263,-117.0177
214.0746,-118.1497
215.7212,-119.2845
217.3668,-120.4205
219.0125,-121.5565
220.6591,-122.6911
222.3074,-123.8233
223.9581,-124.9520
225.6118,-126.0764
227.2670,-127.1985
228.9222,-128.3205
230.5760,-129.4446
232.2272,-130.5727
233.8743,-131.7067
235.5207,-132.8418
237.1697,-133.9732
238.8245,-135.0963
240.4833,-136.2134
242.1445,-137.3269
243.8065,-138.4392
245.4682,-139.5520
247.1284,-140.6671
248.7874,-141.7841
250.4454,-142.9025
252.1029,-144.0218
253.7599,-145.1417
255.4168,-146.2618
257.0739,-147.3816
258.7312,-148.5011
260.3891,-149.6198
262.0484,-150.7365
263.7100,-151.8497
265.3749,-152.9579
267.0407,-154.0647
268.7051,-155.1737
270.3683,-156.2844
272.0309,-157.3961
273.6933,-158.5082
275.3548,-159.6215
277.0149,-160.7370
278.6729,-161.8554
280.3286,-162.9774
281.9825,-164.1020
283.6346,-165.2292
285.2848,-166.3590
286.9334,-167.4913
288.5802,-168.6261
290.2258,-169.7625
291.8710,-170.8994
293.5165,-172.0359
295.1623,-173.1719
296.8084,-174.3074
298.4549,-175.4424
300.1035,-176.5742
301.7507,-177.7079
303.3948,-178.8462
305.0341,-179.9915
306.6731,-181.1369
308.3027,-182.2958
309.9301,-183.4566
311.5215,-184.6653
313.2296,-185.7249
314.8280,-186.9377
316.3259,-188.2721
317.7379,-189.6961
319.0690,-191.1953
320.3223,-192.7541
321.5081,-194.3600
322.6364,-196.0004
323.7130,-197.6719
324.7027,-199.3983
325.5863,-201.1750
326.3508,-203.0089
326.7307,-204.9768
327.0448,-206.9366
327.5165,-208.8484
327.8885,-210.7886
328.1478,-212.7380
328.2852,-214.7015
328.3087,-216.6783
328.2257,-218.6487
328.0431,-220.6128
327.7588,-222.5702
327.3724,-224.5037
326.8823,-226.4168
326.2913,-228.3083
325.6062,-230.1657
324.8123,-231.9798
323.8968,-233.7368
322.8542,-235.4088
321.6932,-237.0007
320.4234,-238.5166
319.2382,-240.1059
318.0034,-241.6793
316.6823,-243.1911
315.2354,-244.5817
