x,z
-297.3699,611.6146
-297.2211,613.6092
-297.0722,615.6037
-296.9234,617.5983
-296.7746,619.5928
-296.6257,621.5873
-296.4769,623.5818
-296.3281,625.5763
-296.1764,627.5706
-296.0248,629.5649
-295.8732,631.5591
-295.7215,633.5535
-295.5699,635.5477
-295.4182,637.5419
-295.2666,639.5359
-295.1150,641.5300
-294.9633,643.5242
-294.8117,645.5182
-294.6601,647.5123
-294.5085,649.5067
-294.3568,651.5012
-294.2052,653.4958
-294.0536,655.4903
-293.9020,657.4847
-293.7504,659.4791
-293.5988,661.4734
-293.4471,663.4677
-293.2955,665.4619
-293.1439,667.4561
-292.9923,669.4504
-292.8406,671.4446
-292.6890,673.4388
-292.5374,675.4330
-292.3857,677.4272
-292.2341,679.4213
-292.0825,681.4154
-291.9308,683.4095
-291.7792,685.4036
-291.6277,687.3977
-291.4760,689.3918
-291.3327,691.3865
-291.1957,693.3815
-291.0630,695.3768
-290.9326,697.3724
-290.8023,699.3679
-290.6699,701.3633
-290.5332,703.3585
-290.3897,705.3531
-290.2374,707.3472
-290.0850,709.3412
-289.9327,711.3353
-289.7803,713.3292
-289.6280,715.3231
-289.4756,717.3170
-289.3233,719.3108
-289.1709,721.3045
-289.0186,723.2982
-288.8663,725.2920
-288.7139,727.2856
-288.5616,729.2792
-288.4093,731.2729
-288.2569,733.2666
-288.1046,735.2603
-287.9522,737.2540
-287.8026,739.2477
-287.6529,741.2415
-287.5033,743.2352
-287.3536,745.2289
-287.2040,747.2227
-287.0544,749.2164
-286.9047,751.2101
-286.7550,753.2040
-286.6040,755.1979
-286.4530,757.1918
-286.3020,759.1856
-286.1510,761.1795
-286.0000,763.1733
-285.8489,765.1672
-285.6979,767.1610
-285.5469,769.1548
-285.3959,771.1486
-285.2404,773.1421
-285.0850,775.1356
-284.9295,777.1291
-284.7740,779.1226
-284.6185,781.1161
-284.4630,783.1096
-284.3075,785.1031
-284.1521,787.0966
-283.9966,789.0901
-283.8411,791.0836
-283.6857,793.0768
-283.5302,795.0701
-283.3748,797.0634
-283.2172,799.0564
-283.0597,801.0494
-282.9021,803.0425
-282.7445,805.0356
-282.5869,807.0287
-282.4293,809.0219
-282.2718,811.0151
-282.1142,813.0083
-281.9566,815.0016
-281.7990,816.9948
-281.6414,818.9877
-281.4839,820.9805
-281.3263,822.9734
-281.1687,824.9662
-281.0111,826.9589
-280.8536,828.9517
-280.6960,830.9443
-280.5385,832.9370
-280.3809,834.9295
-280.2234,836.9221
-280.0658,838.9145
-279.9083,840.9069
-279.7508,842.8993
-279.5932,844.8918
-279.4357,846.8843
-279.2781,848.8768
-279.1206,850.8693
-278.9501,852.8608
-278.7796,854.8524
-278.6091,856.8438
-278.4386,858.8350
-278.2680,860.8262
-278.0975,862.8174
-277.9269,864.8087
-277.7564,866.7998
-277.5858,868.7910
-277.4153,870.7822
-277.2449,872.7737
-277.0829,874.7656
-276.9208,876.7575
-276.7588,878.7495
-276.5968,880.7415
-276.4348,882.7336
-276.2727,884.7256
-276.1106,886.7177
-275.9486,888.7097
-275.7865,890.7017
-275.6245,892.6937
-275.4624,894.6857
-275.3004,896.6776
-275.1383,898.6694
-274.9763,900.6613
-274.8142,902.6531
-274.6522,904.6447
-274.4902,906.6364
-274.3281,908.6280
-274.1660,910.6193
-274.0040,912.6105
-273.8419,914.6017
-273.6739,916.5916
-273.5052,918.5810
-273.3353,920.5704
-273.1657,922.5596
-272.9963,924.5500
-272.8262,926.5420
-272.6555,928.5355
-272.3671,930.5198
-271.9984,932.4924
-271.5790,934.4527
-271.1372,936.4069
-270.7018,938.3610
-270.2282,940.3069
-269.6851,942.2404
-269.0458,944.1410
-268.2809,945.9975
-267.4009,947.8090
-266.4211,949.5629
-265.3406,951.2644
-264.1672,952.9036
-262.9081,954.4733
-261.5623,955.9753
-260.1478,957.4069
-258.6709,958.7761
-257.1336,960.0753
-255.5392,961.2960
-253.8830,962.4355
-252.1711,963.4755
-250.4050,964.4204
-248.5947,965.2708
-246.7490,966.0278
-244.8712,966.7033
-242.9823,967.3296
-241.0927,967.9448
-239.2049,968.5723
-237.3135,969.1946
-235.4102,969.7950
-233.4819,970.3331
-231.5284,970.7653
-229.5481,971.0539
-227.5494,971.1594
-225.5562,971.2061
-223.5664,971.3978
-221.5721,971.6406
-219.5707,971.8399
-217.5670,971.9012
-215.5605,971.9230
-213.5549,971.8639
-211.5573,971.6818
-209.5630,971.4543
-207.5730,971.1895
-205.5900,970.8958
-203.6110,970.5799
-201.6349,970.2495
-199.6633,969.9055
-197.6951,969.5487
-195.7296,969.1797
-193.7669,968.7991
-191.8069,968.4075
-189.8492,968.0061
-187.8941,967.5963
-185.9416,967.1815
-183.9912,966.7651
-182.0418,966.3501
-180.0921,965.9379
-178.1423,965.5299
-176.1910,965.1276
-174.2343,964.7311
-172.2754,964.3431
-170.3162,963.9550
-168.3552,963.5665
-166.3940,963.1780
-164.4326,962.7896
-162.4712,962.4011
-160.5098,962.0126
-158.5484,961.6242
-156.5869,961.2357
-154.6253,960.8474
-152.6637,960.4590
-150.7023,960.0706
-148.7412,959.6824
-146.7804,959.2943
-144.8197,958.9063
-142.8590,958.5182
-140.8983,958.1301
-138.9376,957.7421
-136.9770,957.3541
-135.0164,956.9660
-133.0559,956.5778
-131.0955,956.1896
-129.1350,955.8015
-127.1745,955.4133
-125.2139,955.0250
-123.2559,954.6251
-121.2972,954.2251
-119.3383,953.8251
-117.3793,953.4251
-115.4201,953.0250
-113.4608,952.6249
-111.5013,952.2247
-109.5422,951.8246
-107.5838,951.4247
-105.6255,951.0248
-103.6671,950.6249
-101.7093,950.2250
-99.7515,949.8253
-97.7937,949.4255
-95.8362,949.0257
-93.8788,948.6260
-91.9213,948.2263
-89.9625,947.8320
-88.0036,947.4377
-86.0447,947.0434
-84.0857,946.6491
-82.1262,946.2547
-80.1667,945.8603
-78.2074,945.4659
-76.2481,945.0715
-74.2890,944.6772
-72.3300,944.2829
-70.3713,943.8886
-68.4132,943.4944
-66.4551,943.1003
-64.4972,942.7062
-62.5388,942.3120
-60.5802,941.9177
-58.6224,941.5203
-56.6638,941.1227
-54.7031,940.7249
-52.7422,940.3270
-50.7812,939.9290
-48.8195,939.5310
-46.8576,939.1329
-44.8954,938.7348
-42.9353,938.3369
-40.9749,937.9436
-39.0145,937.5502
-37.0545,937.1570
-35.0949,936.7638
-33.1352,936.3705
-31.1752,935.9773
-29.2145,935.5839
-27.2537,935.1906
-25.2930,934.7972
-23.3324,934.4038
-21.3717,934.0105
-19.4111,933.6171
-17.4521,933.2241
-15.4932,932.8310
-13.5343,932.4379
-11.5748,932.0448
-9.6151,931.6516
-7.6953,931.0831
-5.7859,930.4664
-3.8808,929.8310
-1.9742,929.2067
-0.0590,928.6224
1.8721,928.1072
3.8264,927.6902
5.7819,927.2780
7.7374,926.8599
9.6898,926.4262
11.6358,925.9666
13.5738,925.4717
15.5032,924.9453
17.4241,924.3909
19.3377,923.8121
21.2440,923.2092
23.1425,922.5823
25.0327,921.9319
26.9149,921.2587
28.7432,920.4305
30.5476,919.5391
32.3573,918.6766
34.2092,917.9332
36.0518,917.1667
37.8835,916.3776
39.7054,915.5649
41.5163,914.7293
43.3173,913.8709
45.1081,912.9907
46.8881,912.0901
48.6570,911.1688
50.4153,910.2264
52.1616,909.2634
53.8944,908.2790
55.6147,907.2715
57.3208,906.2408
59.0127,905.1856
60.6899,904.1063
62.3519,903.0042
64.0012,901.8786
65.6361,900.7316
67.2564,899.5640
68.8620,898.3768
70.4535,897.1697
72.0308,895.9431
73.5911,894.6985
75.1361,893.4346
76.6663,892.1505
78.1792,890.8470
79.6743,889.5233
81.1522,888.1776
82.6111,886.8102
84.0495,885.4209
85.4691,884.0110
86.8700,882.5832
88.2532,881.1394
89.6207,879.6803
90.9732,878.2081
92.3086,876.7213
93.6259,875.2171
94.9238,873.6960
96.2010,872.1580
97.4572,870.6020
98.6915,869.0287
99.9037,867.4385
101.0940,865.8317
102.2621,864.2092
103.4078,862.5715
104.5329,860.9195
105.6379,859.2540
106.7213,857.5781
107.7845,855.8911
108.8290,854.1917
109.8544,852.4811
110.8599,850.7604
111.8470,849.0280
112.8154,847.2844
113.7668,845.5313
114.7011,843.7682
115.6182,841.9957
116.5173,840.2148
117.3986,838.4250
118.2624,836.6262
119.1102,834.8203
119.9435,833.0098
120.7655,831.1934
121.5756,829.3713
122.3721,827.5456
123.1555,825.7134
123.9250,823.8748
124.6790,822.0310
125.4172,820.1809
126.1390,818.3240
126.8417,816.4609
127.5249,814.5911
128.1888,812.7140
128.8322,810.8310
129.4551,808.9423
130.0585,807.0467
130.6427,805.1458
131.2083,803.2401
131.7565,801.3289
132.2864,799.4128
132.7995,797.4928
133.2973,795.5684
133.7812,793.6404
134.2527,791.7095
134.7133,789.7758
135.1611,787.8389
135.5943,785.8980
136.0113,783.9530
136.4103,782.0038
136.7895,780.0510
137.1488,778.0954
137.4888,776.1357
137.8101,774.1720
138.1115,772.2117
138.3948,770.2485
138.6566,768.2818
138.9039,766.3145
139.1344,764.3453
139.5135,762.3998
139.9424,760.4578
140.3212,758.5053
140.5500,756.5308
140.7653,754.5542
140.9804,752.5771
141.1956,750.6000
141.4108,748.6228
141.6260,746.6448
141.8413,744.6669
142.0565,742.6891
142.2718,740.7101
142.4870,738.7308
142.7023,736.7515
142.9176,734.7708
143.1340,732.7889
143.3504,730.8068
143.5669,728.8242
143.7755,726.8384
144.1386,724.8779
144.5546,722.9286
144.9227,720.9719
145.1414,718.9879
145.3795,717.0071
145.6367,715.0286
145.9128,713.0525
146.2123,711.0812
146.5393,709.1158
146.8919,707.1548
147.2678,705.1992
147.6649,703.2487
148.0818,701.3002
148.5154,699.3555
148.9673,697.4155
149.4396,695.4799
149.9306,693.5483
150.4390,691.6213
150.9637,689.6992
151.5029,687.7801
152.0583,685.8652
152.6321,683.9556
153.2266,682.0519
153.8441,680.1542
154.4830,678.2626
155.1423,676.3779
155.8212,674.4990
156.5185,672.6259
157.2329,670.7588
157.9659,668.8989
158.7188,667.0466
159.4926,665.2028
160.2888,663.3684
161.1100,661.5447
161.9535,659.7313
162.8172,657.9271
163.6986,656.1308
164.5954,654.3422
165.5076,652.5615
166.4378,650.7894
167.3872,649.0274
168.3552,647.2762
169.3422,645.5339
170.3467,643.8018
171.3677,642.0806
172.4050,640.3702
173.4587,638.6704
174.5278,636.9821
175.6121,635.3054
176.7120,633.6397
177.8274,631.9850
178.9579,630.3408
180.1038,628.7056
181.2643,627.0807
182.4396,625.4669
183.6281,623.8666
184.8315,622.2772
186.0493,620.6989
187.2805,619.1321
188.5263,617.5765
189.7872,616.0330
191.0634,614.5020
192.3549,612.9829
