x,z
127.8931,-9.4102
132.8950,-9.4087
137.8968,-9.4056
142.8985,-9.4010
147.9002,-9.3948
152.9019,-9.3869
157.9035,-9.3773
162.9050,-9.3660
167.9065,-9.3529
172.9079,-9.3381
177.9092,-9.3214
182.9104,-9.3029
187.9116,-9.2824
192.9127,-9.2610
197.9137,-9.2411
202.9146,-9.2251
207.9154,-9.2158
212.9161,-9.2156
217.9166,-9.2271
222.9170,-9.2529
227.9172,-9.2955
232.9175,-9.3541
237.9194,-9.4102
242.9246,-9.4392
247.9351,-9.4170
252.9516,-9.3162
257.9517,-9.0455
262.8905,-8.4523
267.7223,-7.3814
272.4012,-5.6776
276.7971,-3.2062
280.5434,0.1106
283.3288,4.2425
285.1096,8.8883
285.9274,13.7255
286.1843,18.6558
286.4180,23.6938
286.6485,28.7866
286.6211,33.8457
286.1947,38.8196
285.4055,43.7146
284.3048,48.5416
282.9440,53.3116
281.3743,58.0357
279.6470,62.7247
277.8134,67.3898
275.9248,72.0418
274.0310,76.6915
272.1553,81.3439
270.2971,85.9991
268.4548,90.6568
266.6272,95.3170
264.8126,99.9794
263.0097,104.6440
261.2171,109.3105
259.4332,113.9788
257.6568,118.6487
255.8862,123.3202
254.1201,127.9929
252.3570,132.6669
250.5956,137.3418
248.8343,142.0176
247.0717,146.6941
245.3063,151.3712
243.5369,156.0487
241.7672,160.7290
240.0085,165.4178
238.2726,170.1214
236.5716,174.8459
234.9003,179.5877
233.1755,184.2980
231.2913,188.9150
229.1421,193.3770
226.6257,197.6236
223.7086,201.6209
220.4160,205.3576
216.7748,208.8233
212.8119,212.0071
208.5479,214.7745
203.9866,216.6836
199.1615,217.5106
194.1853,217.6846
189.1728,217.6933
184.1619,217.6982
179.1528,217.7003
174.1454,217.6999
169.1393,217.6972
164.1346,217.6922
159.1310,217.6852
154.1284,217.6764
149.1267,217.6659
144.1256,217.6539
139.1251,217.6406
134.1249,217.6260
129.1250,217.6105
124.1251,217.5941
119.1251,217.5770
114.1250,217.5595
109.1244,217.5416
104.1233,217.5235
99.1216,217.5054
94.1195,217.4876
89.1169,217.4701
84.1141,217.4531
79.1111,217.4369
74.1079,217.4216
69.1046,217.4074
64.1014,217.3944
59.0984,217.3829
54.0955,217.3730
49.0929,217.3650
44.0907,217.3589
39.0890,217.3550
34.0878,217.3535
29.0872,217.3544
24.0874,217.3581
19.0883,217.3645
14.0893,217.3643
9.0887,217.3359
4.0847,217.2566
-0.9245,217.1050
-5.9358,216.9156
-10.9398,216.7988
-15.9267,216.8703
-20.8866,217.2458
-25.8108,218.0074
-30.6950,219.0975
-35.5363,220.4218
-40.3317,221.8864
-45.0798,223.3989
-49.8071,224.8990
-54.5622,226.3516
-59.3940,227.7221
-64.3509,228.9772
-69.2725,230.3379
-73.5209,232.6080
-76.5827,236.2631
-78.3818,240.8413
-78.9523,245.7889
-78.6796,250.8315
-78.0636,255.8338
-77.3233,260.7813
-76.5541,265.7112
-75.8074,270.6448
-75.0806,275.5831
-74.3671,280.5256
-73.6607,285.4720
-72.9550,290.4218
-72.2436,295.3747
-71.5202,300.3303
-70.7784,305.2882
-70.0134,310.2478
-69.2406,315.2063
-68.4906,320.1593
-67.7944,325.1023
-67.1747,330.0310
-66.5423,334.9440
-65.7251,339.8422
-64.5492,344.7263
-62.8405,349.5952
-60.3964,354.1287
-56.9555,357.3375
-52.4911,358.7370
-47.4788,359.0668
-42.3986,359.1276
-37.3705,359.1518
-32.3762,359.1542
-27.3973,359.1492
-22.4158,359.1510
-17.4230,359.1660
-12.4212,359.1915
-7.4131,359.2247
-2.4016,359.2626
2.6106,359.3023
7.6207,359.3409
12.6260,359.3754
17.6236,359.4029
22.6115,359.4211
27.5949,359.4351
32.5841,359.4547
37.5895,359.4900
42.6210,359.5526
47.6563,359.8286
52.6065,360.8322
56.8295,363.1788
59.0721,367.2148
59.4103,372.1133
58.8135,377.2690
58.3036,382.3113
57.9902,387.2462
57.6929,392.1922
57.3694,397.1707
57.0252,402.1694
56.6658,407.1762
56.2969,412.1791
55.9226,417.1731
55.5464,422.1603
55.1714,427.1430
54.8008,432.1236
54.4379,437.1046
54.0858,442.0882
53.7478,447.0770
53.4270,452.0731
53.1227,457.0781
52.7916,462.0829
52.3652,467.0722
51.7748,472.0307
50.9507,476.9427
49.7595,481.7585
47.9612,486.3717
45.4769,490.7165
42.5158,494.8045
39.2901,498.6583
35.8851,502.3188
32.3439,505.8333
28.7095,509.2487
25.0243,512.6113
21.3115,515.9472
17.5764,519.2628
13.8232,522.5639
10.0563,525.8560
6.2799,529.1441
2.4982,532.4311
-1.2847,535.7193
-5.0648,539.0112
-8.8379,542.3092
-12.6000,545.6159
-16.3469,548.9336
-20.0746,552.2649
-23.7802,555.6110
-27.4730,558.9631
-31.1692,562.3063
-34.8850,565.6258
-38.6367,568.9067
-42.4406,572.1341
-46.3131,575.2931
-50.2702,578.3689
-54.3284,581.3465
-58.5032,584.1983
-62.8068,586.8302
-67.2503,589.1272
-71.8449,590.9741
-76.5952,592.2849
-81.4724,593.1213
-86.4373,593.5922
-91.4506,593.8065
-96.4740,593.8710
-101.4894,593.8486
-106.4974,593.7612
-111.4994,593.6289
-116.4968,593.4720
-121.4911,593.3106
-126.4836,593.1650
-131.4757,593.0553
-136.4689,593.0019
-141.4645,593.0227
-146.4625,593.1157
-151.4624,593.2677
-156.4636,593.4655
-161.4657,593.6958
-166.4680,593.9454
